‾	Überstrich
😥	Gesicht, Schweiß, enttäuscht, erleichtert, knapp, traurig, trauriges aber erleichtertes Gesicht, ängstlich
😢	Gesicht, Smiley, Träne, traurig, weinen, weinendes Gesicht
😭	Gesicht, Smiley, Tränen, Tränenfluss, flennen, heulen, heulendes Gesicht, schluchzen, traurig, weinen
😱	Angst, Gesicht, Munch, Panik, Schrei, omg, schreien, schreiend, vor Angst schreiendes Gesicht, ängstlich
😖	Gesicht, Smiley, bestürzt, frustriert, konfus, verwirrt, verwirrtes Gesicht, verzweifelt
😣	Fokus, Gesicht, Konzentration, Kopfschmerzen, ausdauernd, durchhalten, entschlossenes Gesicht, konzentrieren
😞	Gesicht, Smiley, enttäuscht, enttäuschtes Gesicht, leider, schade, traurig, verloren
😓	Angstschweiß, Augen, Gesicht, Kopfschmerzen, Schweiß, Smiley, bedrückt, bedrücktes Gesicht mit Schweiß, geschlossen
😩	Fehlschlag, Gesicht, Smiley, erschöpft, erschöpftes Gesicht, hungrig, müde, nein, unglücklich
😫	Gesicht, Smiley, müde, müdes Gesicht, niesen, traurig
🥱	Gesicht, Smiley, gelangweilt, gähnen, gähnend, gähnendes Gesicht, langweilig, müde, schnarch, zzz, öde
😤	Gesicht, erleichtert, gewonnen, schnaubendes Gesicht
😡	Gesicht, Rot angelaufener Smiley, rot, schmollendes Gesicht, wütend
😠	Gesicht, Smiley, Wut, böse, verärgert, verärgertes Gesicht, wütend, zornig, ärgern
🤬	Gesicht, Gesicht mit Symbolen über dem Mund, Mund, Schimpfwort, Smiley, Symbole, Wut, Zensur, fluchen, schimpfen, verdammt, wütend, Ärger, ärgern
😈	Dämon, Dämonin, Fantasie, Hörner, Märchen, Satan, Smiley, Teufel, böse, grinsen, grinsendes Gesicht mit Hörnern, lila, violett
👿	Dämon, Dämonin, Fantasie, Fantasy, Gesicht, Hörner, Kobold, Märchen, Satan, Teufel, Teufelchen, böse, lila, violett, wütend, wütendes Gesicht mit Hörnern
💀	Gesicht, Knochen, Märchen, Schädel, Tod, Totenkopf, tot, yolo
☠️	Gesicht, Knochen, Piratenflagge, Schädel, Tod, Totenkopf, Totenkopf mit gekreuzten Knochen, gekreuzt, tot
💩	Kot, Kothaufen, Mist
🤡	Clown, Clown-Gesicht, Gesicht
👹	Gesicht, Japan, Maske, Monster, Märchen, Oger, Ungeheuer, gruselig, japanisch
👺	Gesicht, Japan, Kobold, Maske, Monster, Märchen, Tengu, Ungeheuer, gemein, japanisch, wütend
👻	Fantasy, Geist, Gesicht, Gespenst, Halloween, Märchen, Spuk, Zunge, buh, gruselig
👽️	Alien, All, Außerirdische, Außerirdischer, Fantasy, Gesicht, Monster, Märchen, UFO, Weltraum, Wesen, außerirdisch
👾	Computerspiel-Monster, Gesicht, Monster, UFO
🤖	Gesicht, Monster, Roboter, Robotergesicht, Roboterkopf
😺	Gesicht, Katze, Katzengesicht, Mund, Smiley, Tier, grinsen, grinsende Katze, lachen, lol, lustig, offen
😸	Augen, Gesicht, Katze, Katzengesicht, Smiley, Tier, grinsen, grinsende Katze mit lachenden Augen, lachen
😹	Freude, Freudentränen, Gesicht, Katze, Katze mit Freudentränen, Katzengesicht, Smiley, Tier, Tränen, lachen
😻	Augen, Gesicht, Herzaugen, Herzen, Katze, Katzengesicht, Liebe, Smiley, Tier, lachen, lachende Katze mit Herzen als Augen, lächeln, verliebt
😼	Gesicht, Katze, Katzengesicht, Smiley, Tier, grinsen, ironisch, lachen, lächeln, verwegen, verwegen lächelnde Katze
😽	Augen, Gesicht, Katze, Katzengesicht, Kuss, Küsschen, Küsse, Smiley, Tier, Wangen, geschlossen, küssen, küssende Katze, rot
🙀	Angst, Gesicht, Katze, Katzengesicht, Panik, Schock, Schrei, Smiley, Tier, erschöpft, erschöpfte Katze, schockiert, schreien, überrascht
😿	Gesicht, Katze, Katzengesicht, Smiley, Tier, Träne, traurig, weinen, weinende Katze
😾	Gesicht, Katze, Katzengesicht, Schmollmund, Smiley, Tier, schmollen, schmollende Katze, verärgert
🙈	Affe, Affengesicht, Augen, Geheimnis, Geste, Tier, böse, gemein, nein, omg, sehen, sich die Augen zuhaltendes Affengesicht, verboten, vergessen, verstecken, zuhalten
🙉	Affe, Affengesicht, Geheimnis, Geste, Ohren, Tier, böse, gemein, hören, nein, sich die Ohren zuhaltendes Affengesicht, verboten, zuhalten, zuhören
🙊	Affe, Affengesicht, Geheimnis, Geste, Hand, Mund, Tier, böse, gemein, heimlich, leise, nein, sagen, sich den Mund zuhaltendes Affengesicht, sprechen, still, ups, verboten, zuhalten
💌	Brief, Herz, Liebe, Liebesbrief, Post, Siegel
💘	Herz, Herz mit Pfeil, Liebe, Pfeil
💝	Herz, Herz mit Schleife, Hochzeitstag, Jahrestag, Küsschen, Küsse, Liebe, Schleife, Valentinstag, xoxo
💖	Aufregung, Gefühl, Herz, Liebe, Morgen, Nacht, funkeln, funkelndes Herz, glitzern, rosa, xoxo
💗	Aufregung, Gefühl, Herz, Herzschlag, Küsschen, Küsse, Liebe, Nervosität, Puls, nervös, wachsen, wachsendes Herz, xoxo
💓	Gefühl, Herz, Herzschlag, Liebe, Puls, pulsieren, schlagen, schlagendes Herz
💞	Emotion, Gefühl, Herz, Herzen, Hochzeitstag, Jahrestag, Liebe, kreisen, kreisende Herzen, süß
💕	Date, Gefühl, Herz, Herzen, Hochzeitstag, Jahrestag, Küsschen, Küsse, Liebe, Rendezvous, xoxo, zwei, zwei Herzen
💟	Deko, Emotion, Gefühl, Herz, Herzdekoration, Liebe, lila, violett, weiß
❣️	Ausrufezeichen, Herz, Herz als Ausrufezeichen, Satzzeichen
💔	Gefühl, Herz, Herzschmerz, Liebeskummer, Schmerz, Trennung, allein, gebrochen, gebrochenes Herz, traurig, zerbrochen
❤‍🔥	Herz in Flammen, Leidenschaft, Liebe, brennendes Herz
❤‍🩹	Besserung, Herz mit Verband, genesen
❤️	Herz, rotes Herz
🩷	Gefühl, Herz, Liebe, gefallen, gefällt, mag, mögen, niedlich, pink, pinkes Herz, rosa, süß, verliebt
🧡	Herz, Liebe, orange, oranges Herz
💛	Gefühl, Herz, Liebe, gelb, gelbes Herz, herzlich
💚	Gefühl, Herz, Liebe, grün, grünes Herz, romantisch
💙	Gefühl, Herz, Liebe, blau, blaues Herz, romantisch
🩵	Emotion, Gefühl, Herz, Liebe, aquamarin, gefallen, gefällt, hdl, hellblau, hellblaues Herz, mag, mögen, niedlich, süß, türkis, zyan
💜	Gefühl, Herz, Liebe, beste, hdl, lila, lila Herz, lilafarben, violett
🤎	Herz, braun, braunes Herz
🖤	Herz, böse, schwarz, schwarzes Herz
🩶	Emotion, Herz, Liebe, grau, graues Herz, hdl, schieferfarben, silber, silberfarben
🤍	Herz, weiß, weißes Herz
💋	Gefühl, Knutsch, Kuss, Kussabdruck, Liebe, Lippen, Lippenstift, küssen, romantisch, sexy
💯	100, 100 Punkte, Punktestand, volle Punktzahl
💢	Comic, Wut, Ärger
💥	Bombe, Boom, Comic, Explosion, Kollision, Zusammenstoß, explodieren, kollidieren, zusammenstoßen
💫	Benommenheit, Comic, Komet, Stern, Sterne, Sternschnuppe, benommen, schwindlig
💦	Comic, Schweiß, Schweißtropfen, Training, Tropfen, Wasser, feucht, nass, schwitzen, trainieren
💨	Comic, Staubwolke, rennen, weglaufen
🕳️	Loch, schwarz
💬	Comic, Dialog, Gespräch, Sprechblase, Sprechblase mit drei Punkten, Unterhaltung
👁‍🗨	Auge, Auge in Sprechblase, Dialog, Sprechblase, Zeuge, reden, sprechen
🗨️	Dialog, Sprechblase links, Unterhaltung, reden, sprechen
🗯️	Sprechblase, Sprechblase für wütende Aussage rechts, wütend
💭	Comic, Gedankenblase, Nachdenken
💤	Buchstaben, Comic, Nickerchen, Schlaf, Schlafen, Schnarchen, ZZZ, gähn, langweilig, müde, öde
👋	Hand, auf Wiedersehen, bis später, ciao, guten Tag, hallo, hey, hi, tschüs, tschüss, winken, winkende Hand
👋🏻	Hand, auf Wiedersehen, bis später, ciao, guten Tag, hallo, helle Hautfarbe, hey, hi, tschüs, tschüss, winken, winkende Hand: helle Hautfarbe
👋🏼	Hand, auf Wiedersehen, bis später, ciao, guten Tag, hallo, hey, hi, mittelhelle Hautfarbe, tschüs, tschüss, winken, winkende Hand: mittelhelle Hautfarbe
👋🏽	Hand, auf Wiedersehen, bis später, ciao, guten Tag, hallo, hey, hi, mittlere Hautfarbe, tschüs, tschüss, winken, winkende Hand: mittlere Hautfarbe
👋🏾	Hand, auf Wiedersehen, bis später, ciao, guten Tag, hallo, hey, hi, mitteldunkle Hautfarbe, tschüs, tschüss, winken, winkende Hand: mitteldunkle Hautfarbe
👋🏿	Hand, auf Wiedersehen, bis später, ciao, dunkle Hautfarbe, guten Tag, hallo, hey, hi, tschüs, tschüss, winken, winkende Hand: dunkle Hautfarbe
🤚	Hand, erhoben, erhobene Hand von hinten, erhobener Handrücken
🤚🏻	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: helle Hautfarbe, erhobener Handrücken, helle Hautfarbe
🤚🏼	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mittelhelle Hautfarbe, erhobener Handrücken, mittelhelle Hautfarbe
🤚🏽	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mittlere Hautfarbe, erhobener Handrücken, mittlere Hautfarbe
🤚🏾	Hand, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: mitteldunkle Hautfarbe, erhobener Handrücken, mitteldunkle Hautfarbe
🤚🏿	Hand, dunkle Hautfarbe, erhoben, erhobene Hand von hinten, erhobene Hand von hinten: dunkle Hautfarbe, erhobener Handrücken
🖐️	5, Finger, Hand, Hand mit gespreizten Fingern, fünf, gespreizt
🖐🏻	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: helle Hautfarbe, fünf, gespreizt, helle Hautfarbe
🖐🏼	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mittelhelle Hautfarbe, fünf, gespreizt, mittelhelle Hautfarbe
🖐🏽	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mittlere Hautfarbe, fünf, gespreizt, mittlere Hautfarbe
🖐🏾	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: mitteldunkle Hautfarbe, fünf, gespreizt, mitteldunkle Hautfarbe
🖐🏿	5, Finger, Hand, Hand mit gespreizten Fingern, Hand mit gespreizten Fingern: dunkle Hautfarbe, dunkle Hautfarbe, fünf, gespreizt
✋️	5, Hand, Handfläche, Stopp, erhoben, erhobene Hand, halt, high five, schlag ein, warte
✋🏻	5, Hand, Handfläche, Stopp, erhoben, erhobene Hand: helle Hautfarbe, halt, helle Hautfarbe, high five, schlag ein, warte
✋🏼	5, Hand, Handfläche, Stopp, erhoben, erhobene Hand: mittelhelle Hautfarbe, halt, high five, mittelhelle Hautfarbe, schlag ein, warte
✋🏽	5, Hand, Handfläche, Stopp, erhoben, erhobene Hand: mittlere Hautfarbe, halt, high five, mittlere Hautfarbe, schlag ein, warte
✋🏾	5, Hand, Handfläche, Stopp, erhoben, erhobene Hand: mitteldunkle Hautfarbe, halt, high five, mitteldunkle Hautfarbe, schlag ein, warte
✋🏿	5, Hand, Handfläche, Stopp, dunkle Hautfarbe, erhoben, erhobene Hand: dunkle Hautfarbe, halt, high five, schlag ein, warte
🖖	Finger, Gruß, Hand, Hände, grüßen, spreizen, vulkanischer Gruß
🖖🏻	Finger, Gruß, Hand, Hände, grüßen, helle Hautfarbe, spreizen, vulkanischer Gruß: helle Hautfarbe
🖖🏼	Finger, Gruß, Hand, Hände, grüßen, mittelhelle Hautfarbe, spreizen, vulkanischer Gruß: mittelhelle Hautfarbe
🖖🏽	Finger, Gruß, Hand, Hände, grüßen, mittlere Hautfarbe, spreizen, vulkanischer Gruß: mittlere Hautfarbe
🖖🏾	Finger, Gruß, Hand, Hände, grüßen, mitteldunkle Hautfarbe, spreizen, vulkanischer Gruß: mitteldunkle Hautfarbe
🖖🏿	Finger, Gruß, Hand, Hände, dunkle Hautfarbe, grüßen, spreizen, vulkanischer Gruß: dunkle Hautfarbe
🫱	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, nach rechts weisende Hand, rechts, reichen, schütteln, weisen
🫱🏻	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, helle Hautfarbe, nach rechts weisende Hand: helle Hautfarbe, rechts, reichen, schütteln, weisen
🫱🏼	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, mittelhelle Hautfarbe, nach rechts weisende Hand: mittelhelle Hautfarbe, rechts, reichen, schütteln, weisen
🫱🏽	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, mittlere Hautfarbe, nach rechts weisende Hand: mittlere Hautfarbe, rechts, reichen, schütteln, weisen
🫱🏾	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, mitteldunkle Hautfarbe, nach rechts weisende Hand: mitteldunkle Hautfarbe, rechts, reichen, schütteln, weisen
🫱🏿	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, dunkle Hautfarbe, nach rechts weisende Hand: dunkle Hautfarbe, rechts, reichen, schütteln, weisen
🫱🏻‍🫲🏼	Handschlag, Handschlag: helle Hautfarbe, mittelhelle Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mittelhelle Hautfarbe
🫱🏻‍🫲🏽	Handschlag, Handschlag: helle Hautfarbe, mittlere Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mittlere Hautfarbe
🫱🏻‍🫲🏾	Handschlag, Handschlag: helle Hautfarbe, mitteldunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mitteldunkle Hautfarbe
🫱🏻‍🫲🏿	Handschlag, Handschlag: helle Hautfarbe, dunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, helle Hautfarbe
🫱🏼‍🫲🏻	Handschlag, Handschlag: mittelhelle Hautfarbe, helle Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mittelhelle Hautfarbe
🫱🏼‍🫲🏽	Handschlag, Handschlag: mittelhelle Hautfarbe, mittlere Hautfarbe, Hände, Händeschütteln, Vereinbarung, mittelhelle Hautfarbe, mittlere Hautfarbe
🫱🏼‍🫲🏾	Handschlag, Handschlag: mittelhelle Hautfarbe, mitteldunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
🫱🏼‍🫲🏿	Handschlag, Handschlag: mittelhelle Hautfarbe, dunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mittelhelle Hautfarbe
🫱🏽‍🫲🏻	Handschlag, Handschlag: mittlere Hautfarbe, helle Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mittlere Hautfarbe
🫱🏽‍🫲🏼	Handschlag, Handschlag: mittlere Hautfarbe, mittelhelle Hautfarbe, Hände, Händeschütteln, Vereinbarung, mittelhelle Hautfarbe, mittlere Hautfarbe
🫱🏽‍🫲🏾	Handschlag, Handschlag: mittlere Hautfarbe, mitteldunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, mitteldunkle Hautfarbe, mittlere Hautfarbe
🫱🏽‍🫲🏿	Handschlag, Handschlag: mittlere Hautfarbe, dunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mittlere Hautfarbe
🫱🏾‍🫲🏻	Handschlag, Handschlag: mitteldunkle Hautfarbe, helle Hautfarbe, Hände, Händeschütteln, Vereinbarung, helle Hautfarbe, mitteldunkle Hautfarbe
🫱🏾‍🫲🏼	Handschlag, Handschlag: mitteldunkle Hautfarbe, mittelhelle Hautfarbe, Hände, Händeschütteln, Vereinbarung, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
🫱🏾‍🫲🏽	Handschlag, Handschlag: mitteldunkle Hautfarbe, mittlere Hautfarbe, Hände, Händeschütteln, Vereinbarung, mitteldunkle Hautfarbe, mittlere Hautfarbe
🫱🏾‍🫲🏿	Handschlag, Handschlag: mitteldunkle Hautfarbe, dunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mitteldunkle Hautfarbe
🫱🏿‍🫲🏻	Handschlag, Handschlag: dunkle Hautfarbe, helle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, helle Hautfarbe
🫱🏿‍🫲🏼	Handschlag, Handschlag: dunkle Hautfarbe, mittelhelle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mittelhelle Hautfarbe
🫱🏿‍🫲🏽	Handschlag, Handschlag: dunkle Hautfarbe, mittlere Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mittlere Hautfarbe
🫱🏿‍🫲🏾	Handschlag, Handschlag: dunkle Hautfarbe, mitteldunkle Hautfarbe, Hände, Händeschütteln, Vereinbarung, dunkle Hautfarbe, mitteldunkle Hautfarbe
🫲	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, links, nach links weisende Hand, reichen, schütteln, weisen
🫲🏻	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, helle Hautfarbe, links, nach links weisende Hand: helle Hautfarbe, reichen, schütteln, weisen
🫲🏼	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, links, mittelhelle Hautfarbe, nach links weisende Hand: mittelhelle Hautfarbe, reichen, schütteln, weisen
🫲🏽	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, links, mittlere Hautfarbe, nach links weisende Hand: mittlere Hautfarbe, reichen, schütteln, weisen
🫲🏾	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, links, mitteldunkle Hautfarbe, nach links weisende Hand: mitteldunkle Hautfarbe, reichen, schütteln, weisen
🫲🏿	Hand, Hände, Händeschütteln, ausgestreckt, ausstrecken, dunkle Hautfarbe, links, nach links weisende Hand: dunkle Hautfarbe, reichen, schütteln, weisen
🫳	Hand, Hand mit Handfläche nach unten, Handfläche, Handgeste, abweisen, fallen lassen, fallenlassen, hau ab, unten, verscheuchen, wegscheuchen, wegschicken
🫳🏻	Hand, Hand mit Handfläche nach unten: helle Hautfarbe, Handfläche, Handgeste, abweisen, fallen lassen, fallenlassen, hau ab, helle Hautfarbe, unten, verscheuchen, wegscheuchen, wegschicken
🫳🏼	Hand, Hand mit Handfläche nach unten: mittelhelle Hautfarbe, Handfläche, Handgeste, abweisen, fallen lassen, fallenlassen, hau ab, mittelhelle Hautfarbe, unten, verscheuchen, wegscheuchen, wegschicken
🫳🏽	Hand, Hand mit Handfläche nach unten: mittlere Hautfarbe, Handfläche, Handgeste, abweisen, fallen lassen, fallenlassen, hau ab, mittlere Hautfarbe, unten, verscheuchen, wegscheuchen, wegschicken
🫳🏾	Hand, Hand mit Handfläche nach unten: mitteldunkle Hautfarbe, Handfläche, Handgeste, abweisen, fallen lassen, fallenlassen, hau ab, mitteldunkle Hautfarbe, unten, verscheuchen, wegscheuchen, wegschicken
🫳🏿	Hand, Hand mit Handfläche nach unten: dunkle Hautfarbe, Handfläche, Handgeste, abweisen, dunkle Hautfarbe, fallen lassen, fallenlassen, hau ab, unten, verscheuchen, wegscheuchen, wegschicken
🫴	Angebot, Hand, Hand mit Handfläche nach oben, Handfläche, Handgeste, anbieten, darbieten, einladen, entgegenstrecken, kommen, locken, oben, reichen
🫴🏻	Angebot, Hand, Hand mit Handfläche nach oben: helle Hautfarbe, Handfläche, Handgeste, anbieten, darbieten, einladen, entgegenstrecken, helle Hautfarbe, kommen, locken, oben, reichen
🫴🏼	Angebot, Hand, Hand mit Handfläche nach oben: mittelhelle Hautfarbe, Handfläche, Handgeste, anbieten, darbieten, einladen, entgegenstrecken, kommen, locken, mittelhelle Hautfarbe, oben, reichen
🫴🏽	Angebot, Hand, Hand mit Handfläche nach oben: mittlere Hautfarbe, Handfläche, Handgeste, anbieten, darbieten, einladen, entgegenstrecken, kommen, locken, mittlere Hautfarbe, oben, reichen
🫴🏾	Angebot, Hand, Hand mit Handfläche nach oben: mitteldunkle Hautfarbe, Handfläche, Handgeste, anbieten, darbieten, einladen, entgegenstrecken, kommen, locken, mitteldunkle Hautfarbe, oben, reichen
🫴🏿	Angebot, Hand, Hand mit Handfläche nach oben: dunkle Hautfarbe, Handfläche, Handgeste, anbieten, darbieten, dunkle Hautfarbe, einladen, entgegenstrecken, kommen, locken, oben, reichen
🫷	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, links, nach links schiebende Hand, nein, schieben, warte mal, warten
🫷🏻	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, helle Hautfarbe, links, nach links schiebende Hand: helle Hautfarbe, nein, schieben, warte mal, warten
🫷🏼	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, links, mittelhelle Hautfarbe, nach links schiebende Hand: mittelhelle Hautfarbe, nein, schieben, warte mal, warten
🫷🏽	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, links, mittlere Hautfarbe, nach links schiebende Hand: mittlere Hautfarbe, nein, schieben, warte mal, warten
🫷🏾	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, links, mitteldunkle Hautfarbe, nach links schiebende Hand: mitteldunkle Hautfarbe, nein, schieben, warte mal, warten
🫷🏿	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, dunkle Hautfarbe, links, nach links schiebende Hand: dunkle Hautfarbe, nein, schieben, warte mal, warten
🫸	Halt, Hand, High 5, High five, Moment, Schluss, Stopp, drücken, nach rechts schiebende Hand, nein, rechts, schieben, warte mal, warten
