‾	nadčrtano
👁‍🗨	dialog, oblaček z govorom, oko, oko v oblačku z govorom, priča
🗨️	dialog, govor, levi oblaček z govorom
🗯️	balon, desni oblaček z jeznim govorom, divje, jezno, oblaček
💭	balon, ideja, misel, oblaček, oblaček z mislimi, strip
💤	lahko noč, noč, spanec, spanje, strip, utrujen, zzz
👋	adijo, dlan, mahajoča dlan, mahanje, mahati, pozdrav, si tu?, telo, živjo
👋🏻	adijo, dlan, mahajoča dlan, mahajoča dlan: svetel ten kože, mahanje, mahati, pozdrav, si tu?, svetel ten kože, telo, živjo
👋🏼	adijo, dlan, mahajoča dlan, mahajoča dlan: srednje svetel ten kože, mahanje, mahati, pozdrav, si tu?, srednje svetel ten kože, telo, živjo
👋🏽	adijo, dlan, mahajoča dlan, mahajoča dlan: srednji ten kože, mahanje, mahati, pozdrav, si tu?, srednji ten kože, telo, živjo
👋🏾	adijo, dlan, mahajoča dlan, mahajoča dlan: srednje temen ten kože, mahanje, mahati, pozdrav, si tu?, srednje temen ten kože, telo, živjo
👋🏿	adijo, dlan, mahajoča dlan, mahajoča dlan: temen ten kože, mahanje, mahati, pozdrav, si tu?, telo, temen ten kože, živjo
🤚	dlan, dvignjena, dvignjena hrbtna stran dlani, hrbtna stran
🤚🏻	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: svetel ten kože, hrbtna stran, svetel ten kože
🤚🏼	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednje svetel ten kože, hrbtna stran, srednje svetel ten kože
🤚🏽	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednji ten kože, hrbtna stran, srednji ten kože
🤚🏾	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: srednje temen ten kože, hrbtna stran, srednje temen ten kože
🤚🏿	dlan, dvignjena, dvignjena hrbtna stran dlani, dvignjena hrbtna stran dlani: temen ten kože, hrbtna stran, temen ten kože
🖐️	dlan, dvignjena dlan z razprtimi prsti, prst, razprto, telo
🖐🏻	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: svetel ten kože, prst, razprto, svetel ten kože, telo
🖐🏼	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednje svetel ten kože, prst, razprto, srednje svetel ten kože, telo
🖐🏽	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednji ten kože, prst, razprto, srednji ten kože, telo
🖐🏾	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: srednje temen ten kože, prst, razprto, srednje temen ten kože, telo
🖐🏿	dlan, dvignjena dlan z razprtimi prsti, dvignjena dlan z razprtimi prsti: temen ten kože, prst, razprto, telo, temen ten kože
✋️	5, dlan, dvignjena dlan, petka, stop
✋🏻	5, dlan, dvignjena dlan, dvignjena dlan: svetel ten kože, petka, stop, svetel ten kože
✋🏼	5, dlan, dvignjena dlan, dvignjena dlan: srednje svetel ten kože, petka, srednje svetel ten kože, stop
✋🏽	5, dlan, dvignjena dlan, dvignjena dlan: srednji ten kože, petka, srednji ten kože, stop
✋🏾	5, dlan, dvignjena dlan, dvignjena dlan: srednje temen ten kože, petka, srednje temen ten kože, stop
✋🏿	5, dlan, dvignjena dlan, dvignjena dlan: temen ten kože, petka, stop, temen ten kože
🖖	dlan, prst, spock, telo, vulkan, vulkanski pozdrav
🖖🏻	dlan, prst, spock, svetel ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: svetel ten kože
🖖🏼	dlan, prst, spock, srednje svetel ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednje svetel ten kože
🖖🏽	dlan, prst, spock, srednji ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednji ten kože
🖖🏾	dlan, prst, spock, srednje temen ten kože, telo, vulkan, vulkanski pozdrav, vulkanski pozdrav: srednje temen ten kože
🖖🏿	dlan, prst, spock, telo, temen ten kože, vulkan, vulkanski pozdrav, vulkanski pozdrav: temen ten kože
🫱	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, stisk roke
🫱🏻	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, roka, obrnjena v desno: svetel ten kože, stisk roke, svetel ten kože
🫱🏼	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, roka, obrnjena v desno: srednje svetel ten kože, srednje svetel ten kože, stisk roke
🫱🏽	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, roka, obrnjena v desno: srednji ten kože, srednji ten kože, stisk roke
🫱🏾	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, roka, obrnjena v desno: srednje temen ten kože, srednje temen ten kože, stisk roke
🫱🏿	desna roka, desno, obrnjena v desno, roka, roka, obrnjena v desno, roka, obrnjena v desno: temen ten kože, stisk roke, temen ten kože
🫱🏻‍🫲🏼	dogovor, roka, rokovanje, rokovanje: svetel ten kože in srednje svetel ten kože, sporazum, srednje svetel ten kože, srečanje, svetel ten kože
🫱🏻‍🫲🏽	dogovor, roka, rokovanje, rokovanje: svetel ten kože in srednji ten kože, sporazum, srednji ten kože, srečanje, svetel ten kože
🫱🏻‍🫲🏾	dogovor, roka, rokovanje, rokovanje: svetel ten kože in srednje temen ten kože, sporazum, srednje temen ten kože, srečanje, svetel ten kože
🫱🏻‍🫲🏿	dogovor, roka, rokovanje, rokovanje: svetel ten kože in temen ten kože, sporazum, srečanje, svetel ten kože, temen ten kože
🫱🏼‍🫲🏻	dogovor, roka, rokovanje, rokovanje: srednje svetel ten kože in svetel ten kože, sporazum, srednje svetel ten kože, srečanje, svetel ten kože
🫱🏼‍🫲🏽	dogovor, roka, rokovanje, rokovanje: srednje svetel ten kože in srednji ten kože, sporazum, srednje svetel ten kože, srednji ten kože, srečanje
🫱🏼‍🫲🏾	dogovor, roka, rokovanje, rokovanje: srednje svetel ten kože in srednje temen ten kože, sporazum, srednje svetel ten kože, srednje temen ten kože, srečanje
🫱🏼‍🫲🏿	dogovor, roka, rokovanje, rokovanje: srednje svetel ten kože in temen ten kože, sporazum, srednje svetel ten kože, srečanje, temen ten kože
🫱🏽‍🫲🏻	dogovor, roka, rokovanje, rokovanje: srednji ten kože in svetel ten kože, sporazum, srednji ten kože, srečanje, svetel ten kože
🫱🏽‍🫲🏼	dogovor, roka, rokovanje, rokovanje: srednji ten kože in srednje svetel ten kože, sporazum, srednje svetel ten kože, srednji ten kože, srečanje
🫱🏽‍🫲🏾	dogovor, roka, rokovanje, rokovanje: srednji ten kože in srednje temen ten kože, sporazum, srednje temen ten kože, srednji ten kože, srečanje
🫱🏽‍🫲🏿	dogovor, roka, rokovanje, rokovanje: srednji ten kože in temen ten kože, sporazum, srednji ten kože, srečanje, temen ten kože
🫱🏾‍🫲🏻	dogovor, roka, rokovanje, rokovanje: srednje temen ten kože in svetel ten kože, sporazum, srednje temen ten kože, srečanje, svetel ten kože
🫱🏾‍🫲🏼	dogovor, roka, rokovanje, rokovanje: srednje temen ten kože in srednje svetel ten kože, sporazum, srednje svetel ten kože, srednje temen ten kože, srečanje
🫱🏾‍🫲🏽	dogovor, roka, rokovanje, rokovanje: srednje temen ten kože in srednji ten kože, sporazum, srednje temen ten kože, srednji ten kože, srečanje
🫱🏾‍🫲🏿	dogovor, roka, rokovanje, rokovanje: srednje temen ten kože in temen ten kože, sporazum, srednje temen ten kože, srečanje, temen ten kože
🫱🏿‍🫲🏻	dogovor, roka, rokovanje, rokovanje: temen ten kože in svetel ten kože, sporazum, srečanje, svetel ten kože, temen ten kože
🫱🏿‍🫲🏼	dogovor, roka, rokovanje, rokovanje: temen ten kože in srednje svetel ten kože, sporazum, srednje svetel ten kože, srečanje, temen ten kože
🫱🏿‍🫲🏽	dogovor, roka, rokovanje, rokovanje: temen ten kože in srednji ten kože, sporazum, srednji ten kože, srečanje, temen ten kože
🫱🏿‍🫲🏾	dogovor, roka, rokovanje, rokovanje: temen ten kože in srednje temen ten kože, sporazum, srednje temen ten kože, srečanje, temen ten kože
🫲	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, stisk roke
🫲🏻	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, roka, obrnjena v levo: svetel ten kože, stisk roke, svetel ten kože
🫲🏼	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, roka, obrnjena v levo: srednje svetel ten kože, srednje svetel ten kože, stisk roke
🫲🏽	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, roka, obrnjena v levo: srednji ten kože, srednji ten kože, stisk roke
🫲🏾	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, roka, obrnjena v levo: srednje temen ten kože, srednje temen ten kože, stisk roke
🫲🏿	leva roka, levo, obrnjena v levo, roka, roka, obrnjena v levo, roka, obrnjena v levo: temen ten kože, stisk roke, temen ten kože
🫳	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol
🫳🏻	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol, roka z dlanjo navzdol: svetel ten kože, svetel ten kože
🫳🏼	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol, roka z dlanjo navzdol: srednje svetel ten kože, srednje svetel ten kože
🫳🏽	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol, roka z dlanjo navzdol: srednji ten kože, srednji ten kože
🫳🏾	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol, roka z dlanjo navzdol: srednje temen ten kože, srednje temen ten kože
🫳🏿	nehati, odslovitev, opustitev, pobiranje, roka, roka z dlanjo navzdol, roka z dlanjo navzdol: temen ten kože, temen ten kože
🫴	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, ujeti
🫴🏻	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, roka z dlanjo navzgor: svetel ten kože, svetel ten kože, ujeti
🫴🏼	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, roka z dlanjo navzgor: srednje svetel ten kože, srednje svetel ten kože, ujeti
🫴🏽	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, roka z dlanjo navzgor: srednji ten kože, srednji ten kože, ujeti
🫴🏾	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, roka z dlanjo navzgor: srednje temen ten kože, srednje temen ten kože, ujeti
🫴🏿	namig, ne vem, ponuditi, ponuditi roko, pridi, priti, roka z dlanjo navzgor, roka z dlanjo navzgor: temen ten kože, temen ten kože, ujeti
🫷	blokiranje, dlan, ki potiska v levo, levo, petka, potiskanje, premor, roka, stop, ustavitev, v levo, zavrnitev, čakaj
🫷🏻	blokiranje, dlan, ki potiska v levo: svetel ten kože, levo, petka, potiskanje, premor, roka, stop, svetel ten kože, ustavitev, v levo, zavrnitev, čakaj
🫷🏼	blokiranje, dlan, ki potiska v levo: srednje svetel ten kože, levo, petka, potiskanje, premor, roka, srednje svetel ten kože, stop, ustavitev, v levo, zavrnitev, čakaj
🫷🏽	blokiranje, dlan, ki potiska v levo: srednji ten kože, levo, petka, potiskanje, premor, roka, srednji ten kože, stop, ustavitev, v levo, zavrnitev, čakaj
🫷🏾	blokiranje, dlan, ki potiska v levo: srednje temen ten kože, levo, petka, potiskanje, premor, roka, srednje temen ten kože, stop, ustavitev, v levo, zavrnitev, čakaj
🫷🏿	blokiranje, dlan, ki potiska v levo: temen ten kože, levo, petka, potiskanje, premor, roka, stop, temen ten kože, ustavitev, v levo, zavrnitev, čakaj
🫸	blokiranje, desno, dlan, ki potiska v desno, petka, potiskanje, premor, roka, stop, ustavitev, v desno, zavrnitev, čakaj
🫸🏻	blokiranje, desno, dlan, ki potiska v desno: svetel ten kože, petka, potiskanje, premor, roka, stop, svetel ten kože, ustavitev, v desno, zavrnitev, čakaj
🫸🏼	blokiranje, desno, dlan, ki potiska v desno: srednje svetel ten kože, petka, potiskanje, premor, roka, srednje svetel ten kože, stop, ustavitev, v desno, zavrnitev, čakaj
🫸🏽	blokiranje, desno, dlan, ki potiska v desno: srednji ten kože, petka, potiskanje, premor, roka, srednji ten kože, stop, ustavitev, v desno, zavrnitev, čakaj
🫸🏾	blokiranje, desno, dlan, ki potiska v desno: srednje temen ten kože, petka, potiskanje, premor, roka, srednje temen ten kože, stop, ustavitev, v desno, zavrnitev, čakaj
🫸🏿	blokiranje, desno, dlan, ki potiska v desno: temen ten kože, petka, potiskanje, premor, roka, stop, temen ten kože, ustavitev, v desno, zavrnitev, čakaj
👌	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, seveda, super, telo, v redu
👌🏻	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, roka, ki kaže V REDU: svetel ten kože, seveda, super, svetel ten kože, telo, v redu
👌🏼	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, roka, ki kaže V REDU: srednje svetel ten kože, seveda, srednje svetel ten kože, super, telo, v redu
👌🏽	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, roka, ki kaže V REDU: srednji ten kože, seveda, srednji ten kože, super, telo, v redu
👌🏾	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, roka, ki kaže V REDU: srednje temen ten kože, seveda, srednje temen ten kože, super, telo, v redu
👌🏿	OK, dlan, ki kaže V REDU, odlično, razumem, roka, roka, ki kaže V REDU, roka, ki kaže V REDU: temen ten kože, seveda, super, telo, temen ten kože, v redu
🤌	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, sarkastično, stisnjen, stisnjeni skupaj, utihni
🤌🏻	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, prsti, stisnjeni skupaj: svetel ten kože, sarkastično, stisnjen, stisnjeni skupaj, svetel ten kože, utihni
🤌🏼	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, prsti, stisnjeni skupaj: srednje svetel ten kože, sarkastično, srednje svetel ten kože, stisnjen, stisnjeni skupaj, utihni
🤌🏽	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, prsti, stisnjeni skupaj: srednji ten kože, sarkastično, srednji ten kože, stisnjen, stisnjeni skupaj, utihni
🤌🏾	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, prsti, stisnjeni skupaj: srednje temen ten kože, sarkastično, srednje temen ten kože, stisnjen, stisnjeni skupaj, utihni
🤌🏿	dlan, izpraševanje, kretnja z roko, pomiri se, počakaj, prsti, prsti, stisnjeni skupaj, prsti, stisnjeni skupaj: temen ten kože, sarkastično, stisnjen, stisnjeni skupaj, temen ten kože, utihni
🤏	majhna količina, malo, roka s ščepcem
🤏🏻	majhna količina, malo, roka s ščepcem, roka s ščepcem: svetel ten kože, svetel ten kože
🤏🏼	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednje svetel ten kože, srednje svetel ten kože
🤏🏽	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednji ten kože, srednji ten kože
🤏🏾	majhna količina, malo, roka s ščepcem, roka s ščepcem: srednje temen ten kože, srednje temen ten kože
🤏🏿	majhna količina, malo, roka s ščepcem, roka s ščepcem: temen ten kože, temen ten kože
✌️	dlan, dlan s prstoma, ki kažeta znak za zmago, mir, roka, v, zmaga
✌🏻	dlan, dlan s prstoma, ki kažeta znak za zmago: svetel ten kože, mir, roka, svetel ten kože, v, zmaga
✌🏼	dlan, dlan s prstoma, ki kažeta znak za zmago: srednje svetel ten kože, mir, roka, srednje svetel ten kože, v, zmaga
✌🏽	dlan, dlan s prstoma, ki kažeta znak za zmago: srednji ten kože, mir, roka, srednji ten kože, v, zmaga
✌🏾	dlan, dlan s prstoma, ki kažeta znak za zmago: srednje temen ten kože, mir, roka, srednje temen ten kože, v, zmaga
✌🏿	dlan, dlan s prstoma, ki kažeta znak za zmago: temen ten kože, mir, roka, temen ten kože, v, zmaga
🤞	prekrižani prsti, prsti, roka, sreča
🤞🏻	prekrižani prsti, prekrižani prsti: svetel ten kože, prsti, roka, sreča, svetel ten kože
🤞🏼	prekrižani prsti, prekrižani prsti: srednje svetel ten kože, prsti, roka, srednje svetel ten kože, sreča
🤞🏽	prekrižani prsti, prekrižani prsti: srednji ten kože, prsti, roka, srednji ten kože, sreča
🤞🏾	prekrižani prsti, prekrižani prsti: srednje temen ten kože, prsti, roka, srednje temen ten kože, sreča
🤞🏿	prekrižani prsti, prekrižani prsti: temen ten kože, prsti, roka, sreča, temen ten kože
🫰	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, srce, tlesk
🫰🏻	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, roka s prekrižanima kazalcem in palcem: svetel ten kože, srce, svetel ten kože, tlesk
🫰🏼	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, roka s prekrižanima kazalcem in palcem: srednje svetel ten kože, srce, srednje svetel ten kože, tlesk
🫰🏽	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, roka s prekrižanima kazalcem in palcem: srednji ten kože, srce, srednji ten kože, tlesk
🫰🏾	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, roka s prekrižanima kazalcem in palcem: srednje temen ten kože, srce, srednje temen ten kože, tlesk
🫰🏿	denar, drago, ljubezen, pri srcu, priljubljeno, roka s prekrižanima kazalcem in palcem, roka s prekrižanima kazalcem in palcem: temen ten kože, srce, temen ten kože, tlesk
🤟	RTM, ljubim te, roka, trije prsti, znak za ljubim te
🤟🏻	RTM, ljubim te, roka, svetel ten kože, trije prsti, znak za ljubim te, znak za ljubim te: svetel ten kože
🤟🏼	RTM, ljubim te, roka, srednje svetel ten kože, trije prsti, znak za ljubim te, znak za ljubim te: srednje svetel ten kože
🤟🏽	RTM, ljubim te, roka, srednji ten kože, trije prsti, znak za ljubim te, znak za ljubim te: srednji ten kože
🤟🏾	RTM, ljubim te, roka, srednje temen ten kože, trije prsti, znak za ljubim te, znak za ljubim te: srednje temen ten kože
