‾	horná čiara
😓	bolesť hlavy, deprimovaná, nervozita, pot, skľúčená, skľúčená tvár s potom, smajlík, strach, studené, tvár, tvár s kvapkou potu
😩	hladný, nahnevaný, plač, smajlík, tvár, unavená, unavený, ustatá, ustatá tvár
😫	kýchať, smajlík, smutný, tvár, unavená, unavená tvár, zamračený smajlík, únava
🥱	unavený, unudený, znudený, zívajúca tvár, zívať
😤	hnev, nahnevaný, rozčúlený, smajlík, triumf, tvár, tvár s parou z nosa, vytočený, víťazná, zlostný
😡	hnev, nahnevaná, nazlostená, podráždená tvár, smajlík, trucujúca, tvár, zlostný, zlosť, červená
😠	frustrovaný, hnev, nahnevaná, nahnevaná tvár, nazlostená, nešťastný, smajlík, tvár, zamračený, zlosť
🤬	cenzúra, hnev, nadávajúca tvár, nadávanie, nadávať, nadávky, nahnevaný, rozčúlený, smajlík, smajlík so symbolmi pred ústami, tvár, vulgárna
😈	diabol, fantasy, fialový čert, rohy, rozprávka, smajlík, smejúca sa tvár s rohami, smejúca sa tvár s rohmi, tvár, úsmev, čert
👿	diabol, démon, fantasy, nahnevaná tvár s rohmi, nahnevaný, rozprávka, smutný, tvár, čert, čertík
💀	lebka, rozprávka, smrtka, smrť, stvorenie, telo, tvár
☠️	lebka, lebka s prekríženými kosťami, pirát, skrížené hnáty, smrtka, smrť, stvorenie, telo, tvár
💩	hnoj, hovienko, hovno, komixové, stolica, strašidlo, stvorenie, tvár, zápach
🤡	klaun, oslava, party, tvár, tvár klauna, zábava
👹	diabol, fantasy, japonská, netvor, obluda, príšera, rozprávka, strašidlo, stvorenie, tvár
👺	fantasy, japonská, netvor, obluda, rozprávka, stvorenie, tvár, výraz, škrat, škriatok
👻	bubák, duch, fantasy, netvor, obluda, rozprávka, strašidlo, stvorenie, tvár
👽️	bytosť, fantasy, mimozemšťan, obluda, rozprávka, stvorenie, tvár, ufo, ufón, vesmír
👾	fantasy, mimozemská príšera, mimozemšťan, netvor, obluda, pixely, počítačová hra, rozprávka, stvorenie, tvár, ufo, vesmír, vesmírne monštrum, votrelec
🤖	automat, netvor, robot, strašidlo, stvorenie, tvár, tvár robota
😺	mačka, otvorené, smejúca sa mačacia tvár s otvorenými ústami, tvár, zviera, úsmev, ústa, škeriaca sa mačka
😸	mačka, oko, tvár, úsmev, úškrn, úškľabok, škeriaca sa mačacia tvár so smejúcimi sa očami, škeriaca sa mačka s prižmúrenými očami
😹	mačacia tvár plačúca od smiechu, mačka, mačka plače od smiechu, plač, radosť, slza, smiech, tvár
😻	láska, mačka, oko, rande, smejúca sa mačacia tvár s očami v tvare srdiečok, smejúca sa mačka so srdiečkami, srdce, tvár, úsmev
😼	ironická, mačacia tvár s úškľabkom, mačka, mačka s úškľabkom, tvár, uštipačná, úsmev, úškrn
😽	bozk, bozkávajúca mačacia tvár so zatvorenými očami, bozkávajúca mačka, mačka, oko, poslať bozk, tvár
🙀	mačka, och, prekvapená, tvár, unavená, unavená mačacia tvár, ustatá, vyčerpaná mačka, zviera
😿	mačka, plač, plačúca mačacia tvár, plačúca mačka, slza, smutná, tvár
😾	domáce zviera, mačka, nahnevaná mačka, podráždená, podráždená mačka, príroda, trucujúca, trucujúca mačacia tvár, tvár, zviera
🙈	gesto, nevidím, nevidím zlo, nie, oko, opica, oči, pozerať, príroda, skrývať, tvár, vidieť, zakázané, zlo, zlé, zviera
🙉	gesto, nepočujem, nepočujem zlo, nie, opica, príroda, tvár, ucho, uši, zakázané, zlo, zlé, zviera
🙊	gesto, hovoriť, nehovorím, nehovorím zlo, nie, opica, príroda, tajomstvo, ticho, tvár, ups, zakázané, zlo, zlé, zviera
💌	list, láska, milostný list, pošta, romanca, srdce, valentín, zásielka, ľúbostný, ľúbostný list
💘	amor, city, kupid, kupido, láska, rande, romanca, srdce, srdce so šípom, šíp
💝	emócia, láska, srdce, srdce so stuhou, stuha, valentín, výročie
💖	emócia, ligotanie, ligotavé srdce, láska, radosť, srdce, trblietajúce sa srdce, trblietanie, vzrušené
💗	láska, nervózne, pulz, radosť, rastúce, rastúce srdce, srdce, tlkot srdca, vzrušené
💓	buchot srdca, emócia, láska, milujem ťa, pulz, pulzovanie, srdce, tlkot, tlkot srdca, tlčúce, tlčúce srdce
💞	city, emócia, krúžiace, krúžiace srdcia, láska, otáčajúce sa, srdce, výročie
💕	dve srdcia, emócia, láska, rande, ružová, srdce, výročie
💟	biele srdce, emócia, fialové srdce, ily, láska, ozdoba v tvare srdca, srdce
❣️	emócia, interpunkcia, láska, srdce, výkričník, výkričník v tvare srdca, znak, zvolanie
💔	emócia, rozchod, smútok, srdce, zlomené, zlomené srdce, zlomiť
❤‍🔥	horiace srdce, láska, oheň, srdce, túžba
❤‍🩹	dobre, lepšie, srdce s obväzom, uzdravovať sa, zdravšie, zotavovať sa
❤️	cit, emócia, láska, srdce, červené, červené srdce
🩷	láska, páči, roztomilé, ružové, ružové srdce, srdce
🧡	láska, oranžové, oranžové srdce, srdce
💛	emócia, láska, srdce, srdcový, žlté, žlté srdce
💚	emócia, láska, srdce, zelené, zelené srdce
💙	emócia, láska, modré, modré srdce, srdce
🩵	azúrové, roztomilé, sivozelené, srdce, svetlomodré, svetlomodré srdce
💜	city, emócia, fialové, fialové srdce, láska, purpurové, srdce
🤎	hnedé, hnedé srdce, srdce
🖤	hra, karty, podlosť, smútok, srdce, zlo, čierne, čierne srdce
🩶	láska, sivé, sivé srdce, srdce, strieborné, šedé
🤍	biele, biele srdce, srdce
💋	bozk, emócia, odtlačok, odtlačok pier, pery, pusa, romanca, sexi
💯	100, plný počet, skóre, sto, sto bodov, súhlas, určite
💢	hnev, japonský symbol hnevu, komiks, komixové, nahnevané, symbol hnevu, zlosť
💥	bang, bomba, buch, bum, explózia, komiks, komixové, náraz, výbuch, zrážka
💫	hviezda, hviezdičky, komiks, komixové, kométa, mdloby, mám závrat, padajúca hviezda, závrat
💦	cvičenie, komiks, komixové, kvapky, kvapky potu, pot, príroda, voda, špliechajúce
💨	beh, bežať, bežiaci, dym, komiks, komixové, letím, oblak, ponáhľať, príroda, trieliť, utekať, utekám, vietor, zadychčaný
🕳️	diera, jama, kanál
💬	balón, bublina, dialóg, hovoriť, komiks, komixové, písať, reč, rečová bublina, sms, text
👁‍🗨	bublina, dialóg, oko, oko v bubline, reč, svedok
🗨️	dialóg, komiks, reč, ľavá bublina, ľavá rečová bublina
🗯️	balón, bublina, hnev, komiks, nahnevaný, pravá rečová bublina (hnev), zlosť, zúrivý
💭	balón, bublina, bublina myšlienky, komiks, komixové, myšlienka, nápad, oblak, sen, sny, vynález
💤	chrápanie, chŕ, komiks, spánok, unavený, zzz, únava
👋	ahoj, dovi, kývanie, mávajúca ruka, mávať, pozdrav, pá, ruka, čau
👋🏻	ahoj, dovi, kývanie, mávajúca ruka, mávajúca ruka: svetlý tón pleti, mávať, pozdrav, pá, ruka, svetlý tón pleti, čau
👋🏼	ahoj, dovi, kývanie, mávajúca ruka, mávajúca ruka: stredne svetlý tón pleti, mávať, pozdrav, pá, ruka, stredne svetlý tón pleti, čau
👋🏽	ahoj, dovi, kývanie, mávajúca ruka, mávajúca ruka: stredný tón pleti, mávať, pozdrav, pá, ruka, stredný tón pleti, čau
👋🏾	ahoj, dovi, kývanie, mávajúca ruka, mávajúca ruka: stredne tmavý tón pleti, mávať, pozdrav, pá, ruka, stredne tmavý tón pleti, čau
👋🏿	ahoj, dovi, kývanie, mávajúca ruka, mávajúca ruka: tmavý tón pleti, mávať, pozdrav, pá, ruka, tmavý tón pleti, čau
🤚	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, telo, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky
🤚🏻	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, svetlý tón pleti, telo, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky: svetlý tón pleti
🤚🏼	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, stredne svetlý tón pleti, telo, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky: stredne svetlý tón pleti
🤚🏽	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, stredný tón pleti, telo, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky: stredný tón pleti
🤚🏾	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, stredne tmavý tón pleti, telo, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky: stredne tmavý tón pleti
🤚🏿	5 prstov, chrbát ruky, dlaň, pozdrav, prst, ruka, spakruky, stop, telo, tmavý tón pleti, zastavenie, zastavujúca ruka s vystretou dlaňou, zdvihnutá, zdvihnutá ruka spakruky: tmavý tón pleti
🖐️	5, prst, roztiahnutá, roztiahnutá ruka, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, telo
🖐🏻	5, prst, roztiahnutá, roztiahnutá ruka: svetlý tón pleti, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, svetlý tón pleti, telo
🖐🏼	5, prst, roztiahnutá, roztiahnutá ruka: stredne svetlý tón pleti, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, stredne svetlý tón pleti, telo
🖐🏽	5, prst, roztiahnutá, roztiahnutá ruka: stredný tón pleti, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, stredný tón pleti, telo
🖐🏾	5, prst, roztiahnutá, roztiahnutá ruka: stredne tmavý tón pleti, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, stredne tmavý tón pleti, telo
🖐🏿	5, prst, roztiahnutá, roztiahnutá ruka: tmavý tón pleti, roztiahnuté, ruka, ruka s roztiahnutými prstami, stop, telo, tmavý tón pleti
✋️	5, pozdrav, päť, ruka, stop, stáť, telo, zdvihnutá ruka, zodvihnutá ruka
✋🏻	5, pozdrav, päť, ruka, stop, stáť, svetlý tón pleti, telo, zdvihnutá ruka, zdvihnutá ruka: svetlý tón pleti, zodvihnutá ruka
✋🏼	5, pozdrav, päť, ruka, stop, stredne svetlý tón pleti, stáť, telo, zdvihnutá ruka, zdvihnutá ruka: stredne svetlý tón pleti, zodvihnutá ruka
✋🏽	5, pozdrav, päť, ruka, stop, stredný tón pleti, stáť, telo, zdvihnutá ruka, zdvihnutá ruka: stredný tón pleti, zodvihnutá ruka
✋🏾	5, pozdrav, päť, ruka, stop, stredne tmavý tón pleti, stáť, telo, zdvihnutá ruka, zdvihnutá ruka: stredne tmavý tón pleti, zodvihnutá ruka
✋🏿	5, pozdrav, päť, ruka, stop, stáť, telo, tmavý tón pleti, zdvihnutá ruka, zdvihnutá ruka: tmavý tón pleti, zodvihnutá ruka
🖖	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, telo, vulkán, vulkánsky pozdrav
🖖🏻	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, svetlý tón pleti, telo, vulkán, vulkánsky pozdrav, vulkánsky pozdrav: svetlý tón pleti
🖖🏼	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, stredne svetlý tón pleti, telo, vulkán, vulkánsky pozdrav, vulkánsky pozdrav: stredne svetlý tón pleti
🖖🏽	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, stredný tón pleti, telo, vulkán, vulkánsky pozdrav, vulkánsky pozdrav: stredný tón pleti
🖖🏾	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, stredne tmavý tón pleti, telo, vulkán, vulkánsky pozdrav, vulkánsky pozdrav: stredne tmavý tón pleti
🖖🏿	Spock, Vulkán, pozdrav, pozdrav kap. Spocka, prst, ruka, spock, star trek, telo, tmavý tón pleti, vulkán, vulkánsky pozdrav, vulkánsky pozdrav: tmavý tón pleti
🫱	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava, vpravo
🫱🏻	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava: svetlý tón pleti, svetlý tón pleti, vpravo
🫱🏼	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava: stredne svetlý tón pleti, stredne svetlý tón pleti, vpravo
🫱🏽	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava: stredný tón pleti, stredný tón pleti, vpravo
🫱🏾	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava: stredne tmavý tón pleti, stredne tmavý tón pleti, vpravo
🫱🏿	doprava, podanie ruky, potrasenie rukou, pravá ruka, ruka, ruka doprava: tmavý tón pleti, tmavý tón pleti, vpravo
🫱🏻‍🫲🏼	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: svetlý tón pleti, stredne svetlý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏻‍🫲🏽	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: svetlý tón pleti, stredný tón pleti, potriasť, ruka, rukou, stredný tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏻‍🫲🏾	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: svetlý tón pleti, stredne tmavý tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏻‍🫲🏿	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: svetlý tón pleti, tmavý tón pleti, potriasť, ruka, rukou, stretnutie, svetlý tón pleti, súhlas, telo, tmavý tón pleti
🫱🏼‍🫲🏻	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne svetlý tón pleti, svetlý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏼‍🫲🏽	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne svetlý tón pleti, stredný tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stredný tón pleti, stretnutie, súhlas, telo
🫱🏼‍🫲🏾	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne svetlý tón pleti, stredne tmavý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stredne tmavý tón pleti, stretnutie, súhlas, telo
🫱🏼‍🫲🏿	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne svetlý tón pleti, tmavý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫱🏽‍🫲🏻	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredný tón pleti, svetlý tón pleti, potriasť, ruka, rukou, stredný tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏽‍🫲🏼	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredný tón pleti, stredne svetlý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stredný tón pleti, stretnutie, súhlas, telo
🫱🏽‍🫲🏾	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredný tón pleti, stredne tmavý tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stredný tón pleti, stretnutie, súhlas, telo
🫱🏽‍🫲🏿	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredný tón pleti, tmavý tón pleti, potriasť, ruka, rukou, stredný tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫱🏾‍🫲🏻	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne tmavý tón pleti, svetlý tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stretnutie, svetlý tón pleti, súhlas, telo
🫱🏾‍🫲🏼	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne tmavý tón pleti, stredne svetlý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stredne tmavý tón pleti, stretnutie, súhlas, telo
🫱🏾‍🫲🏽	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne tmavý tón pleti, stredný tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stredný tón pleti, stretnutie, súhlas, telo
🫱🏾‍🫲🏿	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: stredne tmavý tón pleti, tmavý tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫱🏿‍🫲🏻	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: tmavý tón pleti, svetlý tón pleti, potriasť, ruka, rukou, stretnutie, svetlý tón pleti, súhlas, telo, tmavý tón pleti
🫱🏿‍🫲🏼	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: tmavý tón pleti, stredne svetlý tón pleti, potriasť, ruka, rukou, stredne svetlý tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫱🏿‍🫲🏽	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: tmavý tón pleti, stredný tón pleti, potriasť, ruka, rukou, stredný tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫱🏿‍🫲🏾	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: tmavý tón pleti, stredne tmavý tón pleti, potriasť, ruka, rukou, stredne tmavý tón pleti, stretnutie, súhlas, telo, tmavý tón pleti
🫲	doľava, podanie ruky, potrasenie rukou, ruka, ruka doľava, vľavo, ľavá ruka
🫲🏻	doľava, podanie ruky, potrasenie rukou, ruka, ruka doľava: svetlý tón pleti, svetlý tón pleti, vľavo, ľavá ruka
🫲🏼	doľava, podanie ruky, potrasenie rukou, ruka, ruka doľava: stredne svetlý tón pleti, stredne svetlý tón pleti, vľavo, ľavá ruka
🫲🏽	doľava, podanie ruky, potrasenie rukou, ruka, ruka doľava: stredný tón pleti, stredný tón pleti, vľavo, ľavá ruka
🫲🏾	doľava, podanie ruky, potrasenie rukou, ruka, ruka doľava: stredne tmavý tón pleti, stredne tmavý tón pleti, vľavo, ľavá ruka
