‾	oorheendruk, oorstreep, vinkulum
🥸	bril, gesig, incognito, masker, neus, snor, spioen, vermom, vermomde gesig, wenkbrou
😎	bril, fantasties, gesig, glimlag, glimlaggende gesig met sonbril, helder, koel, ontspanne, oog, son, sonbril
🤓	bleeksiel, bleeksielgesig, bril, gesig, ghwar, japie, kenner, slimkop, sukkelaar, vrotterd
🧐	bedompig, deftig, elegant, gesig met oogglas, monokel, ryk, welgesteld
😕	beneweld, ek weet nie, frons, gesig, hartseer, hm, jammer, onseker, verward, verwarde gesig, verwarrend
🫤	frustrasie, gefrustreerd, gesig met dwars mond, onseker, skepties, teleurgesteld, twyfel, verward, verwarring, wat ook al
😟	bekommerd, bekommerde gesig, gesig, gespanne, hartseer, kommer, senuweeagtig, senuwees, skoenlappers, stres, verras
🙁	effens fronsende gesig, frons, gesig, gesig wat effens frons, hartseer
☹️	frons, fronsende gesig, gesig, gesig wat frons, hartseer
😮	ek glo jou nie, gesig, gesig met oop mond, geskok, mond, ongelooflik, onwerklik, oop, simpatie, vergeet, verras
😯	epies, gedemp, gedempte gesig, gesig, stil, stomgeslaan, verbaas, verras
😲	geensins, gesig, geskok, glad nie, hoe nou, verbaas, verstom, verstomde gesig
😳	beïndruk, blaam, blosend, blosende gesig, deur die wind, dis gek, dood, gesig, oefening, ongeloof, ongemaklik, stomgeslaan, verbysterd
🥺	asseblief, genade, gesig, groot asseblief, groot oë, grootoog, hartseer, hondjie-ogies, ontferming, smeek, smekend, soebat, soebat gesig, soebatgesig, waarom nie?
🥹	ag, ag tog, bewondering, dankbaar, dankbaarheid, gesig wat wil huil, hartseer, huil, kwaad, trane van vreugde, trots, verleë
😦	bang, frons, fronsende gesig met oop mond, gesig, mond, onverhoeds betrap, oop, skrikkerig, verrassing, verskrik, wat
😧	bang, beangs, beangste gesig, gesig, gespanne, het vergeet, ongelukkig, verrassing, vreesaanjaend, wat
😨	angstig, bang, bang gesig, bekommerd, bevrees, blaam, gesig, vrees
😰	bang, blou, eek, gejaagd, gesig, gesig met oop mond en koue sweet, koud, mond, oop, senuweeagtig, sweet
😥	angstig, gesig, hartseer, ingewikkeld, nou nou nie, noue ontkoming, sjoe, sweet, teleurgesteld, teleurgestelde maar verligte gesig, verlig
😢	aaklig, bedroef, droewig, emosioneel, gesig, gesig wat huil, hartseer, huil, huilend, huilende gesig, ongelukkig, traan, treurig
😭	gesig, gesig wat hard huil, hartseer, huil, ongelukkig, snik, tjank, tjankbalie, traan, trane
😱	Munch, bang, beangs, bevrees, epies, gesig, gesig wat beangs skree, geskok, skree, skreeuer, verras, vrees
😖	dronkgeslaan, gefrustreer, gesig, hartseer, ineenkrimp, kwaad, oorbluf, oorblufte gesig, op hol, radeloos, verwar, woedend
😣	deurdruk, fokus, gesig, gesig wat vasbyt, hoofpyn, konsentrasie, konsentreer, kopseer, vasbyt
😞	aaklig, bedruk, blaam, gesig, hartseer, misluk, neerslagtig, ongelukkig, teleurgesteld, teleurgestelde gesig, verloor
😓	bang, dit was amper, emosioneel, gesig, gesig met koue sweet, hartseer, kopseer, koud, senuweeagtig, sjoe, sweet
😩	emosioneel, gesig, hartseer, honger, huilend, kwaad, misluk, moeg, nee, ongelukkig, uitgeput, uitgeputte gesig, vaak
😫	gesig, gevoelens, hartseer, koste, moeg, moeë gesig, nies, slapie, vaak
🥱	dut, gaap, gapende gesig, gesig, goeienag, moeg, naand, nag, slaap, slapenstyd, slaperig, vaak, verveeld, wat ook al, watookal, zzz
😤	drif, emosioneel, gesig, gesig met stoom uit neus, kwaad, ontevrede, raserny, stoom, toorn, triomf, vererg, wen, woede, woedend
😡	emosioneel, ergerlik, gesig, kwaad, ongelukkig, ontsteld, ontstoke, pruilend, pruilende gesig, rooi, toorn, woede, woedeaanval, woedend
😠	blameer, emosioneel, gefrustreerd, gesig, kwaad, kwaai gesig, ongelukkig, ontsteld, woedebui, woedend
🤬	gesensor, gesig met simbole op mond, kwaad, sensor, stormdronk, swets, uitvloek, vloek, vloekend, vloeker
😈	boos, duiweltjie, fantasie, gesig, glimlag, glimlaggende gesig met horings, horings, sprokie
👿	boos, demoon, duiwel, gesig, kwaai gesig met horings, kwelgees, onnutsig, rakker, sprokie
💀	dood, ek is dood, gesig, kopbeen, liggaam, monster, skedel, sprokie
☠️	been, beendere, bene, dood, gekruiste beendere, gesig, kopbeen, kopbeen en gekruiste beendere, liggaam, monster, skedel
💩	gesig, mis, mishoop, monster, poef, poefhoop, spotprent, stank, stink, stinkerig, strokie, strokiesprent
🤡	gesig, hanswors, hansworsgesig, komies, nar, narregesig, sirkus
👹	Japannees, dierasie, duiwel, fantasie, gesig, japannees, kreatuur, masker, mensvreter, monster, sprokie, vreesaanjaend
👺	Japannees, fantasie, gemeen, gesig, japannees, kreatuur, masker, monster, sprokie, tokkelos, trol, woedend
👻	Halloween, fantasie, gesig, kreatuur, laf, monster, opgewonde, skrikaanjaend, spook, spookgesig, sprokie
👽️	VVV, boaards, boaardse wese, buiteruimtelik, buiteruimtelike wese, fantasie, gesig, kreatuur, monster, ruimte, sprokie, vreemde wese, vvv
👾	VVV, boaards, boaardse monster, boaardse wese, buiteruimtelik, buiteruimtelike monster, buiteruimtelike wese, fantasie, gesig, kreatuur, monster, ruimte, speletjie, sprokie, vvv
🤖	gesig, gevoelloos, monster, robot, robotgesig
😺	dier, gesig, glimlag, glimlaggende katgesig met oop mond, glimlaggende katgesig met oopmond, kat, mond, oop, oopmond
😸	dier, gesig, glimlag, grinnik, grinnikende katgesig met glimlaggende oë, kat, oog
😹	dier, gesig, kat, katgesig met trane van vreugde, lag, laggend, traan, vreugde
😻	dier, gesig, glimlag, glimlaggende katgesig met hartjiesoë, glimlaggende katgesig met hartvormige oë, hart, kat, liefde, oog
😼	dier, gesig, glimlag, ironies, kat, katgesig met wrang glimlag, wrang
😽	dier, gesig, kat, katgesig met geslote oë wat soen, oog, soen, soenende katgesig met toe oë
🙀	dier, gesig, kat, moeg, o so, verbaas, vermoeid, vermoeide katgesig
😿	dier, gesig, hartseer, huil, huilende katgesig, kat, katgesig wat huil, traan
😾	dier, gesig, kat, pruil, pruilende katgesig
🙈	aap, bang, boos, dier, gebaar, geen, geheim, gesig, kruip weg, kwaad, nie, sien, sien geen kwaad nie, verbode, vergeet, verleë
🙉	aap, boos, dier, gebaar, geen, geheim, gesig, hoor, hoor geen kwaad nie, hoor-geen-kwaad-nie-apie, luister, ore, sjuut, verbode
🙊	aap, boos, dier, gebaar, geen, geheim, geheimhouding, gesig, kwaad, nee, oeps, praat, praat geen kwaad nie, praat-geen-kwaad-nie-apie, stilbly, verbode
💌	Valentyn, brief, hart, liefde, liefdesbrief, pos, romanse
💘	143, Cupido, Kupido, Valentyn, cupido, ek is lief vir jou, emosie, hart, hartjie met pyl, kupido, pyl, romanse
💝	Valentyn, ek is lief vir jou, emosie, hart, hartjie met lint, herinneringsdag, lint, soentjies, valentyn, xoxo
💖	ek is lief vir jou, emosie, goeie nag, hart, oggend, opgewonde, skitter, soentjies, sprankelende hartjie, vonkelend, xoxo
💗	ek is lief vir jou, emosie, groei, groeiend, groeiende hartjie, hart, hartklop, opgewonde, senuweeagtig, soentjies, xoxo
💓	ek is lief vir jou, emosie, hart, hartklop, klop, kloppend, kloppende hartjie, liefde, pols
💞	bewonder, draai, emosie, hart, herinneringsdag, wentel, wentelend, wentelende hartjies
💕	afspraak, ek is lief vir jou, emosie, hart, harte, herinneringsdag, liefde, liefhê, soentjies, twee hartjies
💟	emosie, hart, hartjie, hartversiering, pers hart, wit hart
❣️	dik hartuitroepteken, ek is lief vir jou, hart, leesteken, liefde, merk, teken, uitroep
💔	alleen, breek, emosie, gebroke, gebroke hartjie, hart, hartseer, verpletter
❤‍🔥	brand, hart, hart wat brand, heilige hart, liefde, wellus
❤‍🩹	genees, gesond, gesonder, helend, helende hart, herstel, verbeterend
❤️	emosie, hart, liefde, rooi, rooi hartjie
🩷	hart, hartjie, hou van, liefde, oulik, pienk, pienk hart, spesiaal
🧡	ek is lief vir jou, hart, oranje, oranje hartjie, warm liefde
💛	ek is lief vir jou, emosie, geel, geel hartjie, hart, liefde
💚	143, ek is lief vir jou, emosie, groen, groen hartjie, hart, liefde, romanties
💙	143, blou, blou hartjie, ek is lief vir jou, emosie, hart, liefde, romanse
🩵	groenblou, hart, liefde, ligblou, ligblou hart, oulik, siaan, spesiaal
💜	boesemvriend, ek is lief vir jou, emosie, hart, liefde, pers, pers hartjie
🤎	bruin, bruin hartjie, hartjie, liefde, sjokolade
🖤	boos, boosaardig, goddeloos, hart, sleg, swart, swart hartjie
🩶	143, emosie, grys, grys hart, hart, leikleurig, liefde, silwer, spesiaal
🤍	goeie bedoelings, hartjie, rein, suiwer, wit, wit hartjie
💋	afdruk, afspraak, emosie, hart, lippe, merk, romanse, sexy, soen, soenafdruk, soenmerk, uitgaan
💯	100, beslis, boesemvriend, duidelik, getrou, honderd, honderd punte, huisvriend, persent, stem saam, telling, vol, volpunte
💢	kwaad, ontsteld, strokie, strokiesprent, woede, woedend, woedesimbool
💥	boem, bom, bots, botsing, ontplof, strokie, strokiesprent
💫	duiselig, skitter, skyn, ster, sterre, strokie, strokiesprent, verskietende ster
💦	drup, druppels, druppeltjie, druppeltjies, oefen, oefening, spat, spattend, strokie, strokiesprent, sweet, sweetdruppels, water
💨	blits, blitsig, hardloop, komies, laat wind, nood, rook, spotprent, strokie, strokiesprent, weg, wegskiet, wolk
🕳️	gaping, gat, kol, kolhou, slaggat
💬	SMS, aan die tik, ballon, borrel, dialoog, praat, spraak, spraakballon, strokie, strokiesprent, teks
👁‍🗨	afloer, getuie, oog, oog in praatborrel, oog in spraakborrel, praatborrel, spraakborrel
🗨️	dialoog, spotprent, spraak, spraakborrel links, strokiesprent
🗯️	ballon, borrel, dol van woede, kwaad, woede, woedeborrel regs
💭	ballon, besluite, borrel, dagdroom, dink, dinkballon, dinkborrel, dinkwolkie, drome, droom, idee, strokie, strokiesprent, wolk
💤	goeienag, moeg, naand, slaap, slapend, strokie, strokiesprent, vaak, zzz
👋	haai, hallo, hand, hei, is jy daar, later, liggaam, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand
👋🏻	haai, hallo, hand, hei, is jy daar, later, liggaam, ligte velkleur, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand, wuiwende hand: ligte velkleur
👋🏼	haai, hallo, hand, hei, is jy daar, later, liggaam, medium-ligte velkleur, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand, wuiwende hand: medium-ligte velkleur
👋🏽	haai, hallo, hand, hei, is jy daar, later, liggaam, medium velkleur, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand, wuiwende hand: medium velkleur
👋🏾	haai, hallo, hand, hei, is jy daar, later, liggaam, medium-donker velkleur, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand, wuiwende hand: medium-donker velkleur
👋🏿	donker velkleur, haai, hallo, hand, hei, is jy daar, later, liggaam, sien jou later, totsiens, waai, waaiende hand, wuif, wuiwende hand, wuiwende hand: donker velkleur
🤚	agterkant van hand, hand, handrug, opgelig, verkeersein
🤚🏻	agterkant van hand, hand, handrug, handrug: ligte velkleur, ligte velkleur, opgelig, verkeersein
🤚🏼	agterkant van hand, hand, handrug, handrug: medium-ligte velkleur, medium-ligte velkleur, opgelig, verkeersein
🤚🏽	agterkant van hand, hand, handrug, handrug: medium velkleur, medium velkleur, opgelig, verkeersein
🤚🏾	agterkant van hand, hand, handrug, handrug: medium-donker velkleur, medium-donker velkleur, opgelig, verkeersein
🤚🏿	agterkant van hand, donker velkleur, hand, handrug, handrug: donker velkleur, opgelig, verkeersein
🖐️	hand, hand in die lug met vingers oopgesprei, liggaam, oopgesprei, stop, vinger
🖐🏻	hand, hand in die lug met vingers oopgesprei, hand in die lug met vingers oopgesprei: ligte velkleur, liggaam, ligte velkleur, oopgesprei, stop, vinger
🖐🏼	hand, hand in die lug met vingers oopgesprei, hand in die lug met vingers oopgesprei: medium-ligte velkleur, liggaam, medium-ligte velkleur, oopgesprei, stop, vinger
🖐🏽	hand, hand in die lug met vingers oopgesprei, hand in die lug met vingers oopgesprei: medium velkleur, liggaam, medium velkleur, oopgesprei, stop, vinger
🖐🏾	hand, hand in die lug met vingers oopgesprei, hand in die lug met vingers oopgesprei: medium-donker velkleur, liggaam, medium-donker velkleur, oopgesprei, stop, vinger
🖐🏿	donker velkleur, hand, hand in die lug met vingers oopgesprei, hand in die lug met vingers oopgesprei: donker velkleur, liggaam, oopgesprei, stop, vinger
✋️	hand, hand in die lug, hoë vyf, liggaam, opgeligte hand, stop, vyf
✋🏻	hand, hand in die lug, hand in die lug: ligte velkleur, hoë vyf, liggaam, ligte velkleur, opgeligte hand, stop, vyf
✋🏼	hand, hand in die lug, hand in die lug: medium-ligte velkleur, hoë vyf, liggaam, medium-ligte velkleur, opgeligte hand, stop, vyf
✋🏽	hand, hand in die lug, hand in die lug: medium velkleur, hoë vyf, liggaam, medium velkleur, opgeligte hand, stop, vyf
✋🏾	hand, hand in die lug, hand in die lug: medium-donker velkleur, hoë vyf, liggaam, medium-donker velkleur, opgeligte hand, stop, vyf
✋🏿	donker velkleur, hand, hand in die lug, hand in die lug: donker velkleur, hoë vyf, liggaam, opgeligte hand, stop, vyf
🖖	Spock, Star Trek, Vulkanus, Vulkanusgroet, hand, liggaam, vinger, vulkan, vulkansaluut
🖖🏻	Spock, Star Trek, Vulkanus, Vulkanusgroet, hand, liggaam, ligte velkleur, vinger, vulkan, vulkansaluut, vulkansaluut: ligte velkleur
🖖🏼	Spock, Star Trek, Vulkanus, Vulkanusgroet, hand, liggaam, medium-ligte velkleur, vinger, vulkan, vulkansaluut, vulkansaluut: medium-ligte velkleur
🖖🏽	Spock, Star Trek, Vulkanus, Vulkanusgroet, hand, liggaam, medium velkleur, vinger, vulkan, vulkansaluut, vulkansaluut: medium velkleur
🖖🏾	Spock, Star Trek, Vulkanus, Vulkanusgroet, hand, liggaam, medium-donker velkleur, vinger, vulkan, vulkansaluut, vulkansaluut: medium-donker velkleur
🖖🏿	Spock, Star Trek, Vulkanus, Vulkanusgroet, donker velkleur, hand, liggaam, vinger, vulkan, vulkansaluut, vulkansaluut: donker velkleur
🫱	bereik, bladskud, greep, hand, hand na regs, hou vas, regs, reik uit, skud blad, skud hand
🫱🏻	bereik, bladskud, greep, hand, hand na regs, hand na regs: ligte velkleur, hou vas, ligte velkleur, regs, reik uit, skud blad, skud hand
🫱🏼	bereik, bladskud, greep, hand, hand na regs, hand na regs: medium-ligte velkleur, hou vas, medium-ligte velkleur, regs, reik uit, skud blad, skud hand
🫱🏽	bereik, bladskud, greep, hand, hand na regs, hand na regs: medium velkleur, hou vas, medium velkleur, regs, reik uit, skud blad, skud hand
🫱🏾	bereik, bladskud, greep, hand, hand na regs, hand na regs: medium-donker velkleur, hou vas, medium-donker velkleur, regs, reik uit, skud blad, skud hand
🫱🏿	bereik, bladskud, donker velkleur, greep, hand, hand na regs, hand na regs: donker velkleur, hou vas, regs, reik uit, skud blad, skud hand
🫱🏻‍🫲🏼	bladskud, groet, handskud, handskud: ligte velkleur, medium-ligte velkleur, ligte velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏻‍🫲🏽	bladskud, groet, handskud, handskud: ligte velkleur, medium velkleur, ligte velkleur, medium velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏻‍🫲🏾	bladskud, groet, handskud, handskud: ligte velkleur, medium-donker velkleur, ligte velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏻‍🫲🏿	bladskud, donker velkleur, groet, handskud, handskud: ligte velkleur, donker velkleur, ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏼‍🫲🏻	bladskud, groet, handskud, handskud: medium-ligte velkleur, ligte velkleur, ligte velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏼‍🫲🏽	bladskud, groet, handskud, handskud: medium-ligte velkleur, medium velkleur, medium velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏼‍🫲🏾	bladskud, groet, handskud, handskud: medium-ligte velkleur, medium-donker velkleur, medium-donker velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏼‍🫲🏿	bladskud, donker velkleur, groet, handskud, handskud: medium-ligte velkleur, donker velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏽‍🫲🏻	bladskud, groet, handskud, handskud: medium velkleur, ligte velkleur, ligte velkleur, medium velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏽‍🫲🏼	bladskud, groet, handskud, handskud: medium velkleur, medium-ligte velkleur, medium velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏽‍🫲🏾	bladskud, groet, handskud, handskud: medium velkleur, medium-donker velkleur, medium velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏽‍🫲🏿	bladskud, donker velkleur, groet, handskud, handskud: medium velkleur, donker velkleur, medium velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏾‍🫲🏻	bladskud, groet, handskud, handskud: medium-donker velkleur, ligte velkleur, ligte velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏾‍🫲🏼	bladskud, groet, handskud, handskud: medium-donker velkleur, medium-ligte velkleur, medium-donker velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏾‍🫲🏽	bladskud, groet, handskud, handskud: medium-donker velkleur, medium velkleur, medium velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏾‍🫲🏿	bladskud, donker velkleur, groet, handskud, handskud: medium-donker velkleur, donker velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏿‍🫲🏻	bladskud, donker velkleur, groet, handskud, handskud: donker velkleur, ligte velkleur, ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏿‍🫲🏼	bladskud, donker velkleur, groet, handskud, handskud: donker velkleur, medium-ligte velkleur, medium-ligte velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏿‍🫲🏽	bladskud, donker velkleur, groet, handskud, handskud: donker velkleur, medium velkleur, medium velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫱🏿‍🫲🏾	bladskud, donker velkleur, groet, handskud, handskud: donker velkleur, medium-donker velkleur, medium-donker velkleur, ontmoeting, ooreenkoms, transaksie beklink
🫲	bereik, bladskud, greep, hand, hand na links, hou vas, linkerhand, links, skud blad, skud hand
🫲🏻	bereik, bladskud, greep, hand, hand na links, hand na links: ligte velkleur, hou vas, ligte velkleur, linkerhand, links, skud blad, skud hand
🫲🏼	bereik, bladskud, greep, hand, hand na links, hand na links: medium-ligte velkleur, hou vas, linkerhand, links, medium-ligte velkleur, skud blad, skud hand
🫲🏽	bereik, bladskud, greep, hand, hand na links, hand na links: medium velkleur, hou vas, linkerhand, links, medium velkleur, skud blad, skud hand
🫲🏾	bereik, bladskud, greep, hand, hand na links, hand na links: medium-donker velkleur, hou vas, linkerhand, links, medium-donker velkleur, skud blad, skud hand
