‾	garis atas
🤚🏽	angkat, angkat belakang tapak tangan: ton kulit sederhana, belakang tapak tangan, tangan, ton kulit sederhana
🤚🏾	angkat, angkat belakang tapak tangan: ton kulit sederhana gelap, belakang tapak tangan, tangan, ton kulit sederhana gelap
🤚🏿	angkat, angkat belakang tapak tangan: ton kulit gelap, belakang tapak tangan, tangan, ton kulit gelap
🖐️	badan, jari, renggang, tangan, tangan dengan jari terkepak
🖐🏻	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit cerah, ton kulit cerah
🖐🏼	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana cerah, ton kulit sederhana cerah
🖐🏽	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana, ton kulit sederhana
🖐🏾	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana gelap, ton kulit sederhana gelap
🖐🏿	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit gelap, ton kulit gelap
✋️	5, angkat, angkat tangan, berhenti, lima, tangan, tinggi
✋🏻	5, angkat, angkat tangan: ton kulit cerah, berhenti, lima, tangan, tinggi, ton kulit cerah
✋🏼	5, angkat, angkat tangan: ton kulit sederhana cerah, berhenti, lima, tangan, tinggi, ton kulit sederhana cerah
✋🏽	5, angkat, angkat tangan: ton kulit sederhana, berhenti, lima, tangan, tinggi, ton kulit sederhana
✋🏾	5, angkat, angkat tangan: ton kulit sederhana gelap, berhenti, lima, tangan, tinggi, ton kulit sederhana gelap
✋🏿	5, angkat, angkat tangan: ton kulit gelap, berhenti, lima, tangan, tinggi, ton kulit gelap
🖖	badan, jari, spock, tabik vulcan, tangan, valkan
🖖🏻	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit cerah, tangan, ton kulit cerah, valkan
🖖🏼	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, valkan
🖖🏽	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana, tangan, ton kulit sederhana, valkan
🖖🏾	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, valkan
🖖🏿	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit gelap, tangan, ton kulit gelap, valkan
🫱	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan
🫱🏻	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan: ton kulit cerah, ton kulit cerah
🫱🏼	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan: ton kulit sederhana cerah, ton kulit sederhana cerah
🫱🏽	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan: ton kulit sederhana, ton kulit sederhana
🫱🏾	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan: ton kulit sederhana gelap, ton kulit sederhana gelap
🫱🏿	arah kanan, hulur, jabat tangan, kanan, pegang, salam, tangan, tangan kanan: ton kulit gelap, ton kulit gelap
🫱🏻‍🫲🏼	berjabat tangan, berjabat tangan: ton kulit cerah dan ton kulit sederhana cerah, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana cerah
🫱🏻‍🫲🏽	berjabat tangan, berjabat tangan: ton kulit cerah dan ton kulit sederhana, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana
🫱🏻‍🫲🏾	berjabat tangan, berjabat tangan: ton kulit cerah dan ton kulit sederhana gelap, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana gelap
🫱🏻‍🫲🏿	berjabat tangan, berjabat tangan: ton kulit cerah dan ton kulit gelap, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit gelap
🫱🏼‍🫲🏻	berjabat tangan, berjabat tangan: ton kulit sederhana cerah dan ton kulit cerah, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana cerah
🫱🏼‍🫲🏽	berjabat tangan, berjabat tangan: ton kulit sederhana cerah dan ton kulit sederhana, perjumpaan, persetujuan, tangan, ton kulit sederhana, ton kulit sederhana cerah
🫱🏼‍🫲🏾	berjabat tangan, berjabat tangan: ton kulit sederhana cerah dan ton kulit sederhana gelap, perjumpaan, persetujuan, tangan, ton kulit sederhana cerah, ton kulit sederhana gelap
🫱🏼‍🫲🏿	berjabat tangan, berjabat tangan: ton kulit sederhana cerah dan ton kulit gelap, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana cerah
🫱🏽‍🫲🏻	berjabat tangan, berjabat tangan: ton kulit sederhana dan ton kulit cerah, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana
🫱🏽‍🫲🏼	berjabat tangan, berjabat tangan: ton kulit sederhana dan ton kulit sederhana cerah, perjumpaan, persetujuan, tangan, ton kulit sederhana, ton kulit sederhana cerah
🫱🏽‍🫲🏾	berjabat tangan, berjabat tangan: ton kulit sederhana dan ton kulit sederhana gelap, perjumpaan, persetujuan, tangan, ton kulit sederhana, ton kulit sederhana gelap
🫱🏽‍🫲🏿	berjabat tangan, berjabat tangan: ton kulit sederhana dan ton kulit gelap, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana
🫱🏾‍🫲🏻	berjabat tangan, berjabat tangan: ton kulit sederhana gelap dan ton kulit cerah, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit sederhana gelap
🫱🏾‍🫲🏼	berjabat tangan, berjabat tangan: ton kulit sederhana gelap dan ton kulit sederhana cerah, perjumpaan, persetujuan, tangan, ton kulit sederhana cerah, ton kulit sederhana gelap
🫱🏾‍🫲🏽	berjabat tangan, berjabat tangan: ton kulit sederhana gelap dan ton kulit sederhana, perjumpaan, persetujuan, tangan, ton kulit sederhana, ton kulit sederhana gelap
🫱🏾‍🫲🏿	berjabat tangan, berjabat tangan: ton kulit sederhana gelap dan ton kulit gelap, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana gelap
🫱🏿‍🫲🏻	berjabat tangan, berjabat tangan: ton kulit gelap dan ton kulit cerah, perjumpaan, persetujuan, tangan, ton kulit cerah, ton kulit gelap
🫱🏿‍🫲🏼	berjabat tangan, berjabat tangan: ton kulit gelap dan ton kulit sederhana cerah, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana cerah
🫱🏿‍🫲🏽	berjabat tangan, berjabat tangan: ton kulit gelap dan ton kulit sederhana, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana
🫱🏿‍🫲🏾	berjabat tangan, berjabat tangan: ton kulit gelap dan ton kulit sederhana gelap, perjumpaan, persetujuan, tangan, ton kulit gelap, ton kulit sederhana gelap
🫲	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri
🫲🏻	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri: ton kulit cerah, ton kulit cerah
🫲🏼	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🫲🏽	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri: ton kulit sederhana, ton kulit sederhana
🫲🏾	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🫲🏿	arah kiri, hulur, jabat tangan, kiri, pegang, salam, tangan, tangan kiri: ton kulit gelap, ton kulit gelap
🫳	abaikan, jatuhkan, syuh, tapak tangan ke bawah
🫳🏻	abaikan, jatuhkan, syuh, tapak tangan ke bawah, tapak tangan ke bawah: ton kulit cerah, ton kulit cerah
🫳🏼	abaikan, jatuhkan, syuh, tapak tangan ke bawah, tapak tangan ke bawah: ton kulit sederhana cerah, ton kulit sederhana cerah
🫳🏽	abaikan, jatuhkan, syuh, tapak tangan ke bawah, tapak tangan ke bawah: ton kulit sederhana, ton kulit sederhana
🫳🏾	abaikan, jatuhkan, syuh, tapak tangan ke bawah, tapak tangan ke bawah: ton kulit sederhana gelap, ton kulit sederhana gelap
🫳🏿	abaikan, jatuhkan, syuh, tapak tangan ke bawah, tapak tangan ke bawah: ton kulit gelap, ton kulit gelap
🫴	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tawarkan
🫴🏻	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tapak tangan ke atas: ton kulit cerah, tawarkan, ton kulit cerah
🫴🏼	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tapak tangan ke atas: ton kulit sederhana cerah, tawarkan, ton kulit sederhana cerah
🫴🏽	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tapak tangan ke atas: ton kulit sederhana, tawarkan, ton kulit sederhana
🫴🏾	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tapak tangan ke atas: ton kulit sederhana gelap, tawarkan, ton kulit sederhana gelap
🫴🏿	ajak, mari, mengajak, tangkap, tapak tangan ke atas, tapak tangan ke atas: ton kulit gelap, tawarkan, ton kulit gelap
🫷	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tepuk ria, tunggu
🫷🏻	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tangan menolak ke arah kiri: ton kulit cerah, tepuk ria, ton kulit cerah, tunggu
🫷🏼	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tangan menolak ke arah kiri: ton kulit sederhana cerah, tepuk ria, ton kulit sederhana cerah, tunggu
🫷🏽	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tangan menolak ke arah kiri: ton kulit sederhana, tepuk ria, ton kulit sederhana, tunggu
🫷🏾	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tangan menolak ke arah kiri: ton kulit sederhana gelap, tepuk ria, ton kulit sederhana gelap, tunggu
🫷🏿	arah kiri, berhenti, enggan, menolak, sabar, tangan menolak ke arah kiri, tangan menolak ke arah kiri: ton kulit gelap, tepuk ria, ton kulit gelap, tunggu
🫸	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tepuk ria, tunggu
🫸🏻	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tangan menolak ke arah kanan: ton kulit cerah, tepuk ria, ton kulit cerah, tunggu
🫸🏼	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tangan menolak ke arah kanan: ton kulit sederhana cerah, tepuk ria, ton kulit sederhana cerah, tunggu
🫸🏽	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tangan menolak ke arah kanan: ton kulit sederhana, tepuk ria, ton kulit sederhana, tunggu
🫸🏾	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tangan menolak ke arah kanan: ton kulit sederhana gelap, tepuk ria, ton kulit sederhana gelap, tunggu
🫸🏿	berhenti, enggan, ke arah kanan, menolak, tangan menolak ke arah kanan, tangan menolak ke arah kanan: ton kulit gelap, tepuk ria, ton kulit gelap, tunggu
👌	faham, ok, okey, simbol OK, simbol ok, simbol okey, tangan, tiada masalah
👌🏻	faham, ok, okey, simbol OK, simbol OK: ton kulit cerah, simbol ok, simbol okey, tangan, tiada masalah, ton kulit cerah
👌🏼	faham, ok, okey, simbol OK, simbol OK: ton kulit sederhana cerah, simbol ok, simbol okey, tangan, tiada masalah, ton kulit sederhana cerah
👌🏽	faham, ok, okey, simbol OK, simbol OK: ton kulit sederhana, simbol ok, simbol okey, tangan, tiada masalah, ton kulit sederhana
👌🏾	faham, ok, okey, simbol OK, simbol OK: ton kulit sederhana gelap, simbol ok, simbol okey, tangan, tiada masalah, ton kulit sederhana gelap
👌🏿	faham, ok, okey, simbol OK, simbol OK: ton kulit gelap, simbol ok, simbol okey, tangan, tiada masalah, ton kulit gelap
🤌	gerak isyarat tangan, hah!, jari, jari mencubit, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, tunggu sebentar, wah!
🤌🏻	gerak isyarat tangan, hah!, jari, jari mencubit: ton kulit cerah, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, ton kulit cerah, tunggu sebentar, wah!
🤌🏼	gerak isyarat tangan, hah!, jari, jari mencubit: ton kulit sederhana cerah, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, ton kulit sederhana cerah, tunggu sebentar, wah!
🤌🏽	gerak isyarat tangan, hah!, jari, jari mencubit: ton kulit sederhana, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, ton kulit sederhana, tunggu sebentar, wah!
🤌🏾	gerak isyarat tangan, hah!, jari, jari mencubit: ton kulit sederhana gelap, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, ton kulit sederhana gelap, tunggu sebentar, wah!
🤌🏿	gerak isyarat tangan, hah!, jari, jari mencubit: ton kulit gelap, mencubit, sabar, sarkastik, sekejap, sila diam, soal siasat, ton kulit gelap, tunggu sebentar, wah!
🤏	jari mencubit, sedikit, tangan mencubit
🤏🏻	jari mencubit, sedikit, tangan mencubit, tangan mencubit: ton kulit cerah, ton kulit cerah
🤏🏼	jari mencubit, sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana cerah, ton kulit sederhana cerah
🤏🏽	jari mencubit, sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana, ton kulit sederhana
🤏🏾	jari mencubit, sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana gelap, ton kulit sederhana gelap
🤏🏿	jari mencubit, sedikit, tangan mencubit, tangan mencubit: ton kulit gelap, ton kulit gelap
✌️	aman, kejayaan, simbol kemenangan, tangan, v
✌🏻	aman, kejayaan, simbol kemenangan: ton kulit cerah, tangan, ton kulit cerah, v
✌🏼	aman, kejayaan, simbol kemenangan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, v
✌🏽	aman, kejayaan, simbol kemenangan: ton kulit sederhana, tangan, ton kulit sederhana, v
✌🏾	aman, kejayaan, simbol kemenangan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, v
✌🏿	aman, kejayaan, simbol kemenangan: ton kulit gelap, tangan, ton kulit gelap, v
🤞	jari, nasib, silang, silang jari, tangan
🤞🏻	jari, nasib, silang, silang jari: ton kulit cerah, tangan, ton kulit cerah
🤞🏼	jari, nasib, silang, silang jari: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🤞🏽	jari, nasib, silang, silang jari: ton kulit sederhana, tangan, ton kulit sederhana
🤞🏾	jari, nasib, silang, silang jari: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🤞🏿	jari, nasib, silang, silang jari: ton kulit gelap, tangan, ton kulit gelap
🫰	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, wang
🫰🏻	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, tangan dengan jari telunjuk dan ibu jari bersilang: ton kulit cerah, ton kulit cerah, wang
🫰🏼	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, tangan dengan jari telunjuk dan ibu jari bersilang: ton kulit sederhana cerah, ton kulit sederhana cerah, wang
🫰🏽	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, tangan dengan jari telunjuk dan ibu jari bersilang: ton kulit sederhana, ton kulit sederhana, wang
🫰🏾	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, tangan dengan jari telunjuk dan ibu jari bersilang: ton kulit sederhana gelap, ton kulit sederhana gelap, wang
🫰🏿	bentuk hati, mahal, petik, suka, tangan dengan jari telunjuk dan ibu jari bersilang, tangan dengan jari telunjuk dan ibu jari bersilang: ton kulit gelap, ton kulit gelap, wang
🤟	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu, jari, kamu, sayang kamu, tangan, tiga
🤟🏻	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu: ton kulit cerah, jari, kamu, sayang kamu, tangan, tiga, ton kulit cerah
🤟🏼	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu: ton kulit sederhana cerah, jari, kamu, sayang kamu, tangan, tiga, ton kulit sederhana cerah
🤟🏽	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu: ton kulit sederhana, jari, kamu, sayang kamu, tangan, tiga, ton kulit sederhana
🤟🏾	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu: ton kulit sederhana gelap, jari, kamu, sayang kamu, tangan, tiga, ton kulit sederhana gelap
🤟🏿	ILY, cinta, gerak isyarat, gerak isyarat cinta kamu: ton kulit gelap, jari, kamu, sayang kamu, tangan, tiga, ton kulit gelap
🤘	badan, jari, rock, simbol tanduk, tanduk, tangan
🤘🏻	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit cerah, tanduk, tangan, ton kulit cerah
🤘🏼	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana cerah, tanduk, tangan, ton kulit sederhana cerah
🤘🏽	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana, tanduk, tangan, ton kulit sederhana
🤘🏾	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana gelap, tanduk, tangan, ton kulit sederhana gelap
🤘🏿	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit gelap, tanduk, tangan, ton kulit gelap
🤙	tangan, telefon, telefon saya
🤙🏻	tangan, telefon, telefon saya, telefon saya: ton kulit cerah, ton kulit cerah
🤙🏼	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana cerah, ton kulit sederhana cerah
🤙🏽	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana, ton kulit sederhana
🤙🏾	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana gelap, ton kulit sederhana gelap
🤙🏿	tangan, telefon, telefon saya, telefon saya: ton kulit gelap, ton kulit gelap
👈️	arah kiri, belakang tangan, jari, jari telunjuk tunjuk kiri, kiri, tangan, telunjuk, tunjuk
👈🏻	arah kiri, belakang tangan, jari, jari telunjuk tunjuk kiri: ton kulit cerah, kiri, tangan, telunjuk, ton kulit cerah, tunjuk
👈🏼	arah kiri, belakang tangan, jari, jari telunjuk tunjuk kiri: ton kulit sederhana cerah, kiri, tangan, telunjuk, ton kulit sederhana cerah, tunjuk
