‾	föléhúzás, fölülhúzás, fölülvonás
☠️	arc, csont, csontok, halál, halálfej, kalóz, koponya, koponya csontokkal
💩	arc, büdi, büdös, kaka, kaki, kakiarc, kakihalom, képregény
🤡	bohóc, bohócfej, cirkusz, fej
👹	arc, fantasy, félelmetes, ijesztő, japán, lény, maszk, mese, ogre, szörny, óriás, ördög
👺	arc, fantasy, japán, kobold, lény, maszk, mese, mérges, szörny, álarc
👻	arc, fél, félelmetes, ijesztő, kísértet, lény, mese, szellem, szörny
👽️	földönkívüli, idegen, marslakó, ufó, űrlény
👾	fantasy, földönkívüli, földönkívüli szörny, idegen, játék, pixel, pixeles, szörny, szörnyecske, ufó, űrlény
🤖	arc, robot, robotarc, szörny
😺	arc, cica, macska, mosoly, mosolygó macskaarc nyitott szájjal, nevető macska, nyitott, száj, állat
😸	arc, cica, macska, mosoly, mosolygó, nevetés, nevető macska mosolygó szemmel, nevető macskaarc mosolygó szemmel, szem, állat
😹	arc, cica, kicsordul a könnye, könny, macska, macska örömkönnyekkel, macskaarc örömkönnyekkel, mosoly, nevet, szmájli, állat, örömkönny
😻	arc, cica, macska, mosoly, mosolygó macska szív alakú szemmel, mosolygó macskaarc szív alakú szemmel, szerelem, szmájli, szív, állat
😼	arc, cica, fanyar, ironikus, irónia, macska, macska fanyar mosollyal, macskaarc fanyar mosollyal, mosoly, szmájli
😽	arc, cica, csukott szem, csók, csókoló, csókoló macska, csókoló macskaarc lehunyt szemmel, macska, puszi, szmájli
🙀	arc, fáradt, hűha, ijedt, kimerült, kimerült macska, kimerült macskaarc, macska, meglepett, állat, ó
😿	arc, cica, könny, macska, szmájli, szomorú, sírás, síró, síró macska, síró macskaarc
😾	arc, cica, duzzogás, duzzogó, duzzogó macska, duzzogó macskaarc, macska, mérges, szmájli, állat
🙈	bújócska, elbújik, elfelejt, ijedt, majom, nem, nem figyelek, nem lát semmit, nem láttam semmit, tilos, zavarban van, állat
🙉	fül, hall, majom, nem, nem figyel, nem hall semmit, nem hallottam semmit, tilos, titok, állat
🙊	bocsánat, elnézést, elszóltam magam, hoppá, majom, nem, nem beszél, nem szól semmit, nem szólok semmit, tilos, titok, állat
💌	levél, romantika, szerelem, szerelmes levél, szív
💘	Cupido, nyíl, nyíllal átlőtt szív, romantika, szerelem, szív, Ámor nyila
💝	ajándék, csók, puszi, szalag, szerelem, szív, szív szalaggal, valentin-nap
💖	csillog, izgatott, ragyogás, ragyogó szív, szív
💗	idegesség, izgalom, növekvő szív, szív, szívdobogás
💓	dobogó szív, szerelem, szív, szívdobogás, érted dobog a szívem
💞	forgás, forgó szívek, szerelem, szeretlek, szív, évforduló
💕	két szív, randevú, randi, szerelem, szerelmes szívek, szeretlek, szív, szívek, évforduló
💟	dekoráció, dísz, fehér szív, lila szív, szív, szív formájú dekoráció
❣️	központozás, nagy szív alakú felkiáltójel, szív, írásjel
💔	egyedül, megszakad a szíve, szakít, szakítani, szomorú, szív, összetört, összetört szív
❤‍🔥	lángoló, lángoló szív, szerelem, szív, vágy, égő
❤‍🩹	egészségesebb, felépülő, gyógyuló, gyógyuló szív, javuló, jól van, meggyógyuló
❤️	piros, szerelem, szeretlek, szív, vörös szív
🩷	cuki, rózsaszín, rózsaszín szív, szerelem, szív, tetszik
🧡	narancssárga, narancssárga szív, szív, narancssárga szív, narancssárga
💛	szív, sárga, sárga szív
💚	szív, zöld, zöld szív
💙	kék, kék szív, szív
🩵	cián, pávakék, szív, világoskék, világoskék szív
💜	lila, lila szív, szív
🤎	barna, barna szív, szív
🖤	fekete, fekete szív, gonosz, rossz, szív
🩶	ezüst, pala, szív, szürke, szürke szív
🤍	fehér, fehér szív, szív
💋	ajkak, csók, csóknyom, romantika, rúzs, rúzsfolt, rúzsnyom, szenvedély
💯	100, szám, száz, száz pont, teljes pontszám
💢	a düh szimbóluma, dühös, képregény, mérges
💥	bumm, csattanás, képregény, robbanás, ütközés
💫	csillag, csillagokat lát, fényes, hullócsillag, képregény, szédülés
💦	cseppek, csobbanás, izzadság, izzadságcseppek, képregény, víz
💨	elillan, ereget, ereszt, felhő, futás, füst, gyors, képregény, puki, pukizik, púzik, rohanás, szellent
🕳️	lyuk
💬	beszéd, buborék, gépel, képregény, párbeszéd, sms, szövegbuborék, üzenet
👁‍🗨	párbeszéd, szem, szem szövegbuborékban, szövegbuborék, tanú
🗨️	balra nyíló szövegbuborék, beszéd, buborék, képregény, párbeszéd, szövegbuborék
🗯️	buborék, dühös, jobbra nyíló dühös szövegbuborék, képregény, mérges, szövegbuborék
💭	buborék, felhő, gondol, gondolat, gondolatbuborék, gondolkozik, képregény, álmodozik, álom, ötlet
💤	alszik, alvás, fáradt, képregény, zz, zzz, zzzz, álmos
👋	hello, integet, integetés, integető kéz, kéz, szia, test, viszlát
👋🏻	hello, integet, integetés, integető kéz, integető kéz: világos bőrtónus, kéz, szia, test, világos bőrtónus, viszlát
👋🏼	hello, integet, integetés, integető kéz, integető kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, szia, test, viszlát
👋🏽	hello, integet, integetés, integető kéz, integető kéz: közepes bőrtónus, kéz, közepes bőrtónus, szia, test, viszlát
👋🏾	hello, integet, integetés, integető kéz, integető kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, szia, test, viszlát
👋🏿	hello, integet, integetés, integető kéz, integető kéz: sötét bőrtónus, kéz, szia, sötét bőrtónus, test, viszlát
🤚	felemelt, kéz, kézfej
🤚🏻	felemelt, kéz, kézfej, kézfej: világos bőrtónus, világos bőrtónus
🤚🏼	felemelt, kéz, kézfej, kézfej: közepesen világos bőrtónus, közepesen világos bőrtónus
🤚🏽	felemelt, kéz, kézfej, kézfej: közepes bőrtónus, közepes bőrtónus
🤚🏾	felemelt, kéz, kézfej, kézfej: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🤚🏿	felemelt, kéz, kézfej, kézfej: sötét bőrtónus, sötét bőrtónus
🖐️	felemelt kéz szétálló ujjakkal, kéz, ne tovább, stop, szétálló, test, ujj, állj
🖐🏻	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: világos bőrtónus, kéz, ne tovább, stop, szétálló, test, ujj, világos bőrtónus, állj
🖐🏼	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, ne tovább, stop, szétálló, test, ujj, állj
🖐🏽	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepes bőrtónus, kéz, közepes bőrtónus, ne tovább, stop, szétálló, test, ujj, állj
🖐🏾	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, ne tovább, stop, szétálló, test, ujj, állj
🖐🏿	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: sötét bőrtónus, kéz, ne tovább, stop, szétálló, sötét bőrtónus, test, ujj, állj
✋️	fel, felemelt kéz, kéz, ne tovább, pacsi, stop, tenyér, test, állj
✋🏻	fel, felemelt kéz, felemelt kéz: világos bőrtónus, kéz, ne tovább, pacsi, stop, tenyér, test, világos bőrtónus, állj
✋🏼	fel, felemelt kéz, felemelt kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, ne tovább, pacsi, stop, tenyér, test, állj
✋🏽	fel, felemelt kéz, felemelt kéz: közepes bőrtónus, kéz, közepes bőrtónus, ne tovább, pacsi, stop, tenyér, test, állj
✋🏾	fel, felemelt kéz, felemelt kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, ne tovább, pacsi, stop, tenyér, test, állj
✋🏿	fel, felemelt kéz, felemelt kéz: sötét bőrtónus, kéz, ne tovább, pacsi, stop, sötét bőrtónus, tenyér, test, állj
🖖	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, spock, star trek, star trek-üdvözlet, test, ujj, vulcan
🖖🏻	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: világos bőrtónus, test, ujj, világos bőrtónus, vulcan
🖖🏼	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, közepesen világos bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepesen világos bőrtónus, test, ujj, vulcan
🖖🏽	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, közepes bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepes bőrtónus, test, ujj, vulcan
🖖🏾	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, közepesen sötét bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepesen sötét bőrtónus, test, ujj, vulcan
🖖🏿	Spock, Star Trek, Star Trek-üdvözlet, Vulcan, kéz, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: sötét bőrtónus, sötét bőrtónus, test, ujj, vulcan
🫱	jobb, jobbra néző, jobbra néző kéz, kéz
🫱🏻	jobb, jobbra néző, jobbra néző kéz, jobbra néző kéz: világos bőrtónus, kéz, világos bőrtónus
🫱🏼	jobb, jobbra néző, jobbra néző kéz, jobbra néző kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus
🫱🏽	jobb, jobbra néző, jobbra néző kéz, jobbra néző kéz: közepes bőrtónus, kéz, közepes bőrtónus
🫱🏾	jobb, jobbra néző, jobbra néző kéz, jobbra néző kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus
🫱🏿	jobb, jobbra néző, jobbra néző kéz, jobbra néző kéz: sötét bőrtónus, kéz, sötét bőrtónus
🫱🏻‍🫲🏼	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: világos bőrtónus és közepesen világos bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏻‍🫲🏽	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: világos bőrtónus és közepes bőrtónus, közepes bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏻‍🫲🏾	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏻‍🫲🏿	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: világos bőrtónus és sötét bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, világos bőrtónus, üdvözlés
🫱🏼‍🫲🏻	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen világos bőrtónus és világos bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏼‍🫲🏽	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen világos bőrtónus és közepes bőrtónus, közepes bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏼‍🫲🏾	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏼‍🫲🏿	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen világos bőrtónus és sötét bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫱🏽‍🫲🏻	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepes bőrtónus és világos bőrtónus, közepes bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏽‍🫲🏼	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepes bőrtónus és közepesen világos bőrtónus, közepes bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏽‍🫲🏾	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepes bőrtónus és közepesen sötét bőrtónus, közepes bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏽‍🫲🏿	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepes bőrtónus és sötét bőrtónus, közepes bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫱🏾‍🫲🏻	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen sötét bőrtónus és világos bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, találkozás, világos bőrtónus, üdvözlés
🫱🏾‍🫲🏼	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen sötét bőrtónus és közepesen világos bőrtónus, közepesen sötét bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏾‍🫲🏽	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen sötét bőrtónus és közepes bőrtónus, közepes bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, találkozás, üdvözlés
🫱🏾‍🫲🏿	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: közepesen sötét bőrtónus és sötét bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫱🏿‍🫲🏻	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: sötét bőrtónus és világos bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, világos bőrtónus, üdvözlés
🫱🏿‍🫲🏼	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: sötét bőrtónus és közepesen világos bőrtónus, közepesen világos bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫱🏿‍🫲🏽	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: sötét bőrtónus és közepes bőrtónus, közepes bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫱🏿‍🫲🏾	alku, alkut köt, kezet ráz, kéz, kézfogás, kézfogás: sötét bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, megegyezés, megállapodás, sötét bőrtónus, találkozás, üdvözlés
🫲	bal, balra néző, balra néző kéz, kéz
🫲🏻	bal, balra néző, balra néző kéz, balra néző kéz: világos bőrtónus, kéz, világos bőrtónus
🫲🏼	bal, balra néző, balra néző kéz, balra néző kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus
🫲🏽	bal, balra néző, balra néző kéz, balra néző kéz: közepes bőrtónus, kéz, közepes bőrtónus
🫲🏾	bal, balra néző, balra néző kéz, balra néző kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus
🫲🏿	bal, balra néző, balra néző kéz, balra néző kéz: sötét bőrtónus, kéz, sötét bőrtónus
🫳	elejt, hess, lefelé néző kéz, mellőz
🫳🏻	elejt, hess, lefelé néző kéz, lefelé néző kéz: világos bőrtónus, mellőz, világos bőrtónus
🫳🏼	elejt, hess, közepesen világos bőrtónus, lefelé néző kéz, lefelé néző kéz: közepesen világos bőrtónus, mellőz
🫳🏽	elejt, hess, közepes bőrtónus, lefelé néző kéz, lefelé néző kéz: közepes bőrtónus, mellőz
🫳🏾	elejt, hess, közepesen sötét bőrtónus, lefelé néző kéz, lefelé néző kéz: közepesen sötét bőrtónus, mellőz
🫳🏿	elejt, hess, lefelé néző kéz, lefelé néző kéz: sötét bőrtónus, mellőz, sötét bőrtónus
🫴	elkap, felajánl, felfelé néző kéz, hív, int
🫴🏻	elkap, felajánl, felfelé néző kéz, felfelé néző kéz: világos bőrtónus, hív, int, világos bőrtónus
🫴🏼	elkap, felajánl, felfelé néző kéz, felfelé néző kéz: közepesen világos bőrtónus, hív, int, közepesen világos bőrtónus
🫴🏽	elkap, felajánl, felfelé néző kéz, felfelé néző kéz: közepes bőrtónus, hív, int, közepes bőrtónus
🫴🏾	elkap, felajánl, felfelé néző kéz, felfelé néző kéz: közepesen sötét bőrtónus, hív, int, közepesen sötét bőrtónus
🫴🏿	elkap, felajánl, felfelé néző kéz, felfelé néző kéz: sötét bőrtónus, hív, int, sötét bőrtónus
🫷	balra, balra toló kéz, elutasít, pacsi, stop, tol, vár
🫷🏻	balra, balra toló kéz, balra toló kéz: világos bőrtónus, elutasít, pacsi, stop, tol, világos bőrtónus, vár
🫷🏼	balra, balra toló kéz, balra toló kéz: közepesen világos bőrtónus, elutasít, közepesen világos bőrtónus, pacsi, stop, tol, vár
🫷🏽	balra, balra toló kéz, balra toló kéz: közepes bőrtónus, elutasít, közepes bőrtónus, pacsi, stop, tol, vár
🫷🏾	balra, balra toló kéz, balra toló kéz: közepesen sötét bőrtónus, elutasít, közepesen sötét bőrtónus, pacsi, stop, tol, vár
🫷🏿	balra, balra toló kéz, balra toló kéz: sötét bőrtónus, elutasít, pacsi, stop, sötét bőrtónus, tol, vár
🫸	elutasít, jobbra, jobbra toló kéz, pacsi, stop, tol, vár
🫸🏻	elutasít, jobbra, jobbra toló kéz, jobbra toló kéz: világos bőrtónus, pacsi, stop, tol, világos bőrtónus, vár
🫸🏼	elutasít, jobbra, jobbra toló kéz, jobbra toló kéz: közepesen világos bőrtónus, közepesen világos bőrtónus, pacsi, stop, tol, vár
