‾	trait suscrit
💔	amour, cœur, cœur brisé, malheureux, sentiment, séparé, triste
❤‍🔥	amour, cœur enflammé, désir, feu, passion
❤‍🩹	cœur avec bandages, réconforter, réparer, soigner
❤️	amour, cœur, cœur rouge, sentiment
🩷	143, adorable, aimer, amour, cœur, cœur rose, jtm, mignon, rose, émotion
🧡	coeur orange, cœur orange, orange
💛	amour, cœur, cœur jaune, sentiment
💚	amour, cœur, cœur vert, sentiment, vert
💙	amour, cœur, cœur bleu, sentiment
🩵	143, aimer, amour, bleu ciel, bleu clair, bleu sarcelle, cyan, cœur, cœur bleu clair, jtm, mignon, spécial, émotion
💜	amour, cœur, cœur violet, sentiment, violet
🤎	brun, cœur, cœur marron, marron
🖤	cœur, cœur noir, noir
🩶	143, amour, ardoise, argent, argenté, cœur, cœur gris, gris, jtm, spécial, émotion
🤍	blanc, cœur, cœur blanc
💋	baiser, bise, bisou, bouche, embrasser, lèvres, rendez-vous, rouge, sexy, trace de rouge à lèvres
💯	100, cent, cent points, score
💢	BD, bande dessinée, colère, dessin, furieux, symbole de colère
💥	BD, bande dessinée, bombe, boum, collision, détonation, explosion, étincelles
💫	BD, bande dessinée, tournis, voir des étoiles, étincelles, étoile, étoile filante, étourdissement
💦	BD, bande dessinée, eau, effort, entraînement, gouttes, gouttes de sueur, sueur, éclabousser, éclaboussures
💨	BD, bande dessinée, décamper, déguerpir, détaler, filer, fumée, nuage, partir en courant, pet, vent, vite
🕳️	trou
💬	BD, SMS, bande dessinée, bulle, bulle de parole, dialogue, message, écrire
👁‍🗨	BD, bande dessinée, bulle de BD, témoin, voir, œil, œil dans une bulle de BD
🗨️	bulle, bulle de parole gauche, bulle à gauche, dialogue, gauche
🗯️	BD, bande dessinée, bulle, bulle colère droite, colère, crier, droite, hurler
💭	BD, bande dessinée, bulle, bulle de pensée, idée, imaginer, inventer, invention, penser, pensée, rêve, rêver
💤	BD, bande dessinée, bonne nuit, dormir, endormi, fatigué, ronfler, zzz
👋	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, salut, signe, signe de la main, à bientôt, à plus tard
👋🏻	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, peau claire, salut, signe, signe de la main, signe de la main : peau claire, à bientôt, à plus tard
👋🏼	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, peau moyennement claire, salut, signe, signe de la main, signe de la main : peau moyennement claire, à bientôt, à plus tard
👋🏽	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, peau légèrement mate, salut, signe, signe de la main, signe de la main : peau légèrement mate, à bientôt, à plus tard
👋🏾	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, peau mate, salut, signe, signe de la main, signe de la main : peau mate, à bientôt, à plus tard
👋🏿	au revoir, bonjour, bye, coucou, hello, il y a quelqu’un ?, main, main qui salue, peau foncée, salut, signe, signe de la main, signe de la main : peau foncée, à bientôt, à plus tard
🤚	dos de main levée, levée, main
🤚🏻	dos de main levée, dos de main levée : peau claire, levée, main, peau claire
🤚🏼	dos de main levée, dos de main levée : peau moyennement claire, levée, main, peau moyennement claire
🤚🏽	dos de main levée, dos de main levée : peau légèrement mate, levée, main, peau légèrement mate
🤚🏾	dos de main levée, dos de main levée : peau mate, levée, main, peau mate
🤚🏿	dos de main levée, dos de main levée : peau foncée, levée, main, peau foncée
🖐️	doigts, main, main levée doigts écartés, paume, stop
🖐🏻	doigts, main, main levée doigts écartés, main levée doigts écartés : peau claire, paume, peau claire, stop
🖐🏼	doigts, main, main levée doigts écartés, main levée doigts écartés : peau moyennement claire, paume, peau moyennement claire, stop
🖐🏽	doigts, main, main levée doigts écartés, main levée doigts écartés : peau légèrement mate, paume, peau légèrement mate, stop
🖐🏾	doigts, main, main levée doigts écartés, main levée doigts écartés : peau mate, paume, peau mate, stop
🖐🏿	doigts, main, main levée doigts écartés, main levée doigts écartés : peau foncée, paume, peau foncée, stop
✋️	feuille, main, main levée, paume de la main, stop, tope là
✋🏻	feuille, main, main levée, main levée : peau claire, paume de la main, peau claire, stop, tope là
✋🏼	feuille, main, main levée, main levée : peau moyennement claire, paume de la main, peau moyennement claire, stop, tope là
✋🏽	feuille, main, main levée, main levée : peau légèrement mate, paume de la main, peau légèrement mate, stop, tope là
✋🏾	feuille, main, main levée, main levée : peau mate, paume de la main, peau mate, stop, tope là
✋🏿	feuille, main, main levée, main levée : peau foncée, paume de la main, peau foncée, stop, tope là
🖖	Spock, Star Trek, doigts, main, salut vulcain, vulcain
🖖🏻	Spock, Star Trek, doigts, main, peau claire, salut vulcain, salut vulcain : peau claire, vulcain
🖖🏼	Spock, Star Trek, doigts, main, peau moyennement claire, salut vulcain, salut vulcain : peau moyennement claire, vulcain
🖖🏽	Spock, Star Trek, doigts, main, peau légèrement mate, salut vulcain, salut vulcain : peau légèrement mate, vulcain
🖖🏾	Spock, Star Trek, doigts, main, peau mate, salut vulcain, salut vulcain : peau mate, vulcain
🖖🏿	Spock, Star Trek, doigts, main, peau foncée, salut vulcain, salut vulcain : peau foncée, vulcain
🫱	droite, main vers la droite, serrer la main, tenir la main, vers la droite
🫱🏻	droite, main vers la droite, main vers la droite : peau claire, peau claire, serrer la main, tenir la main, vers la droite
🫱🏼	droite, main vers la droite, main vers la droite : peau moyennement claire, peau moyennement claire, serrer la main, tenir la main, vers la droite
🫱🏽	droite, main vers la droite, main vers la droite : peau légèrement mate, peau légèrement mate, serrer la main, tenir la main, vers la droite
🫱🏾	droite, main vers la droite, main vers la droite : peau mate, peau mate, serrer la main, tenir la main, vers la droite
🫱🏿	droite, main vers la droite, main vers la droite : peau foncée, peau foncée, serrer la main, tenir la main, vers la droite
🫱🏻‍🫲🏼	d’accord, main, mains, marché conclu, peau claire, peau moyennement claire, poignée, poignée de main, poignée de main : peau claire et peau moyennement claire, présentation, rencontre, serrer la main
🫱🏻‍🫲🏽	d’accord, main, mains, marché conclu, peau claire, peau légèrement mate, poignée, poignée de main, poignée de main : peau claire et peau légèrement mate, présentation, rencontre, serrer la main
🫱🏻‍🫲🏾	d’accord, main, mains, marché conclu, peau claire, peau mate, poignée, poignée de main, poignée de main : peau claire et peau mate, présentation, rencontre, serrer la main
🫱🏻‍🫲🏿	d’accord, main, mains, marché conclu, peau claire, peau foncée, poignée, poignée de main, poignée de main : peau claire et peau foncée, présentation, rencontre, serrer la main
🫱🏼‍🫲🏻	d’accord, main, mains, marché conclu, peau claire, peau moyennement claire, poignée, poignée de main, poignée de main : peau moyennement claire et peau claire, présentation, rencontre, serrer la main
🫱🏼‍🫲🏽	d’accord, main, mains, marché conclu, peau légèrement mate, peau moyennement claire, poignée, poignée de main, poignée de main : peau moyennement claire et peau légèrement mate, présentation, rencontre, serrer la main
🫱🏼‍🫲🏾	d’accord, main, mains, marché conclu, peau mate, peau moyennement claire, poignée, poignée de main, poignée de main : peau moyennement claire et peau mate, présentation, rencontre, serrer la main
🫱🏼‍🫲🏿	d’accord, main, mains, marché conclu, peau foncée, peau moyennement claire, poignée, poignée de main, poignée de main : peau moyennement claire et peau foncée, présentation, rencontre, serrer la main
🫱🏽‍🫲🏻	d’accord, main, mains, marché conclu, peau claire, peau légèrement mate, poignée, poignée de main, poignée de main : peau légèrement mate et peau claire, présentation, rencontre, serrer la main
🫱🏽‍🫲🏼	d’accord, main, mains, marché conclu, peau légèrement mate, peau moyennement claire, poignée, poignée de main, poignée de main : peau légèrement mate et peau moyennement claire, présentation, rencontre, serrer la main
🫱🏽‍🫲🏾	d’accord, main, mains, marché conclu, peau légèrement mate, peau mate, poignée, poignée de main, poignée de main : peau légèrement mate et peau mate, présentation, rencontre, serrer la main
🫱🏽‍🫲🏿	d’accord, main, mains, marché conclu, peau foncée, peau légèrement mate, poignée, poignée de main, poignée de main : peau légèrement mate et peau foncée, présentation, rencontre, serrer la main
🫱🏾‍🫲🏻	d’accord, main, mains, marché conclu, peau claire, peau mate, poignée, poignée de main, poignée de main : peau mate et peau claire, présentation, rencontre, serrer la main
🫱🏾‍🫲🏼	d’accord, main, mains, marché conclu, peau mate, peau moyennement claire, poignée, poignée de main, poignée de main : peau mate et peau moyennement claire, présentation, rencontre, serrer la main
🫱🏾‍🫲🏽	d’accord, main, mains, marché conclu, peau légèrement mate, peau mate, poignée, poignée de main, poignée de main : peau mate et peau légèrement mate, présentation, rencontre, serrer la main
🫱🏾‍🫲🏿	d’accord, main, mains, marché conclu, peau foncée, peau mate, poignée, poignée de main, poignée de main : peau mate et peau foncée, présentation, rencontre, serrer la main
🫱🏿‍🫲🏻	d’accord, main, mains, marché conclu, peau claire, peau foncée, poignée, poignée de main, poignée de main : peau foncée et peau claire, présentation, rencontre, serrer la main
🫱🏿‍🫲🏼	d’accord, main, mains, marché conclu, peau foncée, peau moyennement claire, poignée, poignée de main, poignée de main : peau foncée et peau moyennement claire, présentation, rencontre, serrer la main
🫱🏿‍🫲🏽	d’accord, main, mains, marché conclu, peau foncée, peau légèrement mate, poignée, poignée de main, poignée de main : peau foncée et peau légèrement mate, présentation, rencontre, serrer la main
🫱🏿‍🫲🏾	d’accord, main, mains, marché conclu, peau foncée, peau mate, poignée, poignée de main, poignée de main : peau foncée et peau mate, présentation, rencontre, serrer la main
🫲	gauche, main vers la gauche, serrer la main, tenir la main, vers la gauche
🫲🏻	gauche, main vers la gauche, main vers la gauche : peau claire, peau claire, serrer la main, tenir la main, vers la gauche
🫲🏼	gauche, main vers la gauche, main vers la gauche : peau moyennement claire, peau moyennement claire, serrer la main, tenir la main, vers la gauche
🫲🏽	gauche, main vers la gauche, main vers la gauche : peau légèrement mate, peau légèrement mate, serrer la main, tenir la main, vers la gauche
🫲🏾	gauche, main vers la gauche, main vers la gauche : peau mate, peau mate, serrer la main, tenir la main, vers la gauche
🫲🏿	gauche, main vers la gauche, main vers la gauche : peau foncée, peau foncée, serrer la main, tenir la main, vers la gauche
🫳	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, ouste, rejeter
🫳🏻	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau claire, ouste, peau claire, rejeter
🫳🏼	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau moyennement claire, ouste, peau moyennement claire, rejeter
🫳🏽	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau légèrement mate, ouste, peau légèrement mate, rejeter
🫳🏾	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau mate, ouste, peau mate, rejeter
🫳🏿	chasser, choisir, faire partir, laisser tomber, main paume vers le bas, main paume vers le bas : peau foncée, ouste, peau foncée, rejeter
🫴	appeler de la main, attirer, faire venir, main paume vers le haut, offre
🫴🏻	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau claire, offre, peau claire
🫴🏼	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau moyennement claire, offre, peau moyennement claire
🫴🏽	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau légèrement mate, offre, peau légèrement mate
🫴🏾	appeler de la main, attirer, faire venir, main paume vers le haut, main paume vers le haut : peau mate, offre, peau mate
