‾	nadcrta
💕	dva srca, godišnjica, ljubav, poljupci, puse, spoj, srca, srce
💟	bijelo srce, emocija, ljubičasto srce, srce, ukras srca
❣️	interpunkcija, srce, uskličnik, uskličnik u obliku srca
💔	emocija, slomljeno, slomljeno srce, slomljenog srca, srce, tužno, usamljenost, zdrobljeno
❤‍🔥	ljubav, požuda, srce, srce u plamenu, sveto srce, vatra
❤‍🩹	dobro, obnavljanje, oporavak, poboljšanje, srce koje se liječi, zarastanje, zdravije
❤️	crveno srce, ljubav, osjećaji, srce
🩷	emocija, ljubav, neodoljivo, posebno, roza, ružičasto, ružičasto srce, slatko, srce, sviđanje
🧡	narančasto, narančasto srce, srce
💛	srce, žuto, žuto srce
💚	emocija, ljubav, romantika, srce, zeleno, zeleno srce
💙	emocija, ljubav, plavo, plavo srce, romantika, srce
🩵	emocija, nebesko plavo, plavo, posebno, slatko, srce, svjetloplavo, svjetloplavo srce, tirkizno
💜	ljubičasto, ljubičasto srce, srce
🤎	smeđe, smeđe srce, srce
🖤	crno, crno srce, iskvareno, srce, zlo
🩶	emocija, ljubav, osjećaj, posebno, sivo, sivo srce, srce, srebrno
🤍	bijelo, bijelo srce, srce
💋	emocija, otisak usana, poljubac, poljupci, romantika, spoj, srce, trag, usne
💯	100, apsolutno, da, definitivno, istina, jasno, potpuno, rezultat, savršen rezultat, sto, sto bodova, točno, točno to, vjerno, šala
💢	bijes, karikatura, ljuto, simbol ljutnje
💥	bum, eksplozija, karikatura, sudar
💫	karikatura, sjaj, vrtoglavica, zvijeda padalica, zvijezda, zvijezde, zvjezdice
💦	kapljice, kapljice znoja, karikatura, prskanje, znoj
💨	bježanje, dim, karikatura, moram ići, oblak, otišao, puštanje vjetra, trčanje, vjetar
🕳️	rupa
💬	dijalog, govor, govorni oblačić, mjehurić, oblačić, poruka, razgovor, sms, strip, tekst, tipkanje
👁‍🗨	govor, oblačić, oko, oko u oblačiću, svjedok
🗨️	dijalog, govor, lijevi govorni oblačić
🗯️	bijes, desni ljuti govorni oblačić, ljutnja, oblačić
💭	crtić, ideja, izum, izumiti, misao, misli, oblak, oblačić, oblačić za misao, odluke, razmišljanje, san, sanjarenje, shvatiti, snovi, strip, zapitati se
💤	karikatura, laku noć, noć, pospano, spavanje, umor, zz, zzz
👋	bok, hej, ima li koga, mahanje, pozdrav, ruka, ruka koja maše, tijelo, zdravo, šaka
👋🏻	bok, hej, ima li koga, mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: svijetla boja kože, svijetla boja kože, tijelo, zdravo, šaka
👋🏼	bok, hej, ima li koga, mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, tijelo, zdravo, šaka
👋🏽	bok, hej, ima li koga, mahanje, maslinasta boja kože, pozdrav, ruka, ruka koja maše, ruka koja maše: maslinasta boja kože, tijelo, zdravo, šaka
👋🏾	bok, hej, ima li koga, mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: smeđa boja kože, smeđa boja kože, tijelo, zdravo, šaka
👋🏿	bok, hej, ima li koga, mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: tamno smeđa boja kože, tamno smeđa boja kože, tijelo, zdravo, šaka
🤚	dlan, podignuto, ruka, ruka gore, uspravno
🤚🏻	dlan, podignuto, ruka, ruka gore, ruka gore: svijetla boja kože, svijetla boja kože, uspravno
🤚🏼	dlan, podignuto, ruka, ruka gore, ruka gore: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, uspravno
🤚🏽	dlan, maslinasta boja kože, podignuto, ruka, ruka gore, ruka gore: maslinasta boja kože, uspravno
🤚🏾	dlan, podignuto, ruka, ruka gore, ruka gore: smeđa boja kože, smeđa boja kože, uspravno
🤚🏿	dlan, podignuto, ruka, ruka gore, ruka gore: tamno smeđa boja kože, tamno smeđa boja kože, uspravno
🖐️	podignuta ruka s raširenim prstima, prst, rašireno, stop, šaka
🖐🏻	podignuta ruka s raširenim prstima, podignuta ruka s raširenim prstima: svijetla boja kože, prst, rašireno, stop, svijetla boja kože, šaka
🖐🏼	podignuta ruka s raširenim prstima, podignuta ruka s raširenim prstima: svijetlo maslinasta boja kože, prst, rašireno, stop, svijetlo maslinasta boja kože, šaka
🖐🏽	maslinasta boja kože, podignuta ruka s raširenim prstima, podignuta ruka s raširenim prstima: maslinasta boja kože, prst, rašireno, stop, šaka
🖐🏾	podignuta ruka s raširenim prstima, podignuta ruka s raširenim prstima: smeđa boja kože, prst, rašireno, smeđa boja kože, stop, šaka
🖐🏿	podignuta ruka s raširenim prstima, podignuta ruka s raširenim prstima: tamno smeđa boja kože, prst, rašireno, stop, tamno smeđa boja kože, šaka
✋️	daj pet, podignuta ruka, ruka, stop, šaka
✋🏻	daj pet, podignuta ruka, podignuta ruka: svijetla boja kože, ruka, stop, svijetla boja kože, šaka
✋🏼	daj pet, podignuta ruka, podignuta ruka: svijetlo maslinasta boja kože, ruka, stop, svijetlo maslinasta boja kože, šaka
✋🏽	daj pet, maslinasta boja kože, podignuta ruka, podignuta ruka: maslinasta boja kože, ruka, stop, šaka
✋🏾	daj pet, podignuta ruka, podignuta ruka: smeđa boja kože, ruka, smeđa boja kože, stop, šaka
✋🏿	daj pet, podignuta ruka, podignuta ruka: tamno smeđa boja kože, ruka, stop, tamno smeđa boja kože, šaka
🖖	prst, spock, vulkan, vulkanski pozdrav, zvjezdane staze, šaka
🖖🏻	prst, spock, svijetla boja kože, vulkan, vulkanski pozdrav, vulkanski pozdrav: svijetla boja kože, zvjezdane staze, šaka
🖖🏼	prst, spock, svijetlo maslinasta boja kože, vulkan, vulkanski pozdrav, vulkanski pozdrav: svijetlo maslinasta boja kože, zvjezdane staze, šaka
🖖🏽	maslinasta boja kože, prst, spock, vulkan, vulkanski pozdrav, vulkanski pozdrav: maslinasta boja kože, zvjezdane staze, šaka
🖖🏾	prst, smeđa boja kože, spock, vulkan, vulkanski pozdrav, vulkanski pozdrav: smeđa boja kože, zvjezdane staze, šaka
🖖🏿	prst, spock, tamno smeđa boja kože, vulkan, vulkanski pozdrav, vulkanski pozdrav: tamno smeđa boja kože, zvjezdane staze, šaka
🫱	desna ruka, desno, doseg, ruka, ruka okrenuta udesno, stisak ruke, stisnuti ruku, udesno
🫱🏻	desna ruka, desno, doseg, ruka, ruka okrenuta udesno, ruka okrenuta udesno: svijetla boja kože, stisak ruke, stisnuti ruku, svijetla boja kože, udesno
🫱🏼	desna ruka, desno, doseg, ruka, ruka okrenuta udesno, ruka okrenuta udesno: svijetlo maslinasta boja kože, stisak ruke, stisnuti ruku, svijetlo maslinasta boja kože, udesno
🫱🏽	desna ruka, desno, doseg, maslinasta boja kože, ruka, ruka okrenuta udesno, ruka okrenuta udesno: maslinasta boja kože, stisak ruke, stisnuti ruku, udesno
🫱🏾	desna ruka, desno, doseg, ruka, ruka okrenuta udesno, ruka okrenuta udesno: smeđa boja kože, smeđa boja kože, stisak ruke, stisnuti ruku, udesno
🫱🏿	desna ruka, desno, doseg, ruka, ruka okrenuta udesno, ruka okrenuta udesno: tamno smeđa boja kože, stisak ruke, stisnuti ruku, tamno smeđa boja kože, udesno
🫱🏻‍🫲🏼	dogovor, ruka, rukovanje, rukovanje: svijetla boja kože i svijetlo maslinasta boja kože, sastanak, stisak ruke, svijetla boja kože, svijetlo maslinasta boja kože
🫱🏻‍🫲🏽	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: svijetla boja kože i maslinasta boja kože, sastanak, stisak ruke, svijetla boja kože
🫱🏻‍🫲🏾	dogovor, ruka, rukovanje, rukovanje: svijetla boja kože i smeđa boja kože, sastanak, smeđa boja kože, stisak ruke, svijetla boja kože
🫱🏻‍🫲🏿	dogovor, ruka, rukovanje, rukovanje: svijetla boja kože i tamno smeđa boja kože, sastanak, stisak ruke, svijetla boja kože, tamno smeđa boja kože
🫱🏼‍🫲🏻	dogovor, ruka, rukovanje, rukovanje: svijetlo maslinasta boja kože i svijetla boja kože, sastanak, stisak ruke, svijetla boja kože, svijetlo maslinasta boja kože
🫱🏼‍🫲🏽	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: svijetlo maslinasta boja kože i maslinasta boja kože, sastanak, stisak ruke, svijetlo maslinasta boja kože
🫱🏼‍🫲🏾	dogovor, ruka, rukovanje, rukovanje: svijetlo maslinasta boja kože i smeđa boja kože, sastanak, smeđa boja kože, stisak ruke, svijetlo maslinasta boja kože
🫱🏼‍🫲🏿	dogovor, ruka, rukovanje, rukovanje: svijetlo maslinasta boja kože i tamno smeđa boja kože, sastanak, stisak ruke, svijetlo maslinasta boja kože, tamno smeđa boja kože
🫱🏽‍🫲🏻	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: maslinasta boja kože i svijetla boja kože, sastanak, stisak ruke, svijetla boja kože
🫱🏽‍🫲🏼	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: maslinasta boja kože i svijetlo maslinasta boja kože, sastanak, stisak ruke, svijetlo maslinasta boja kože
🫱🏽‍🫲🏾	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: maslinasta boja kože i smeđa boja kože, sastanak, smeđa boja kože, stisak ruke
🫱🏽‍🫲🏿	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: maslinasta boja kože i tamno smeđa boja kože, sastanak, stisak ruke, tamno smeđa boja kože
🫱🏾‍🫲🏻	dogovor, ruka, rukovanje, rukovanje: smeđa boja kože i svijetla boja kože, sastanak, smeđa boja kože, stisak ruke, svijetla boja kože
🫱🏾‍🫲🏼	dogovor, ruka, rukovanje, rukovanje: smeđa boja kože i svijetlo maslinasta boja kože, sastanak, smeđa boja kože, stisak ruke, svijetlo maslinasta boja kože
🫱🏾‍🫲🏽	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: smeđa boja kože i maslinasta boja kože, sastanak, smeđa boja kože, stisak ruke
🫱🏾‍🫲🏿	dogovor, ruka, rukovanje, rukovanje: smeđa boja kože i tamno smeđa boja kože, sastanak, smeđa boja kože, stisak ruke, tamno smeđa boja kože
🫱🏿‍🫲🏻	dogovor, ruka, rukovanje, rukovanje: tamno smeđa boja kože i svijetla boja kože, sastanak, stisak ruke, svijetla boja kože, tamno smeđa boja kože
🫱🏿‍🫲🏼	dogovor, ruka, rukovanje, rukovanje: tamno smeđa boja kože i svijetlo maslinasta boja kože, sastanak, stisak ruke, svijetlo maslinasta boja kože, tamno smeđa boja kože
🫱🏿‍🫲🏽	dogovor, maslinasta boja kože, ruka, rukovanje, rukovanje: tamno smeđa boja kože i maslinasta boja kože, sastanak, stisak ruke, tamno smeđa boja kože
🫱🏿‍🫲🏾	dogovor, ruka, rukovanje, rukovanje: tamno smeđa boja kože i smeđa boja kože, sastanak, smeđa boja kože, stisak ruke, tamno smeđa boja kože
🫲	lijevo, ruka, ruka okrenuta ulijevo, stisak, stisak ruke, ulijevo
🫲🏻	lijevo, ruka, ruka okrenuta ulijevo, ruka okrenuta ulijevo: svijetla boja kože, stisak, stisak ruke, svijetla boja kože, ulijevo
🫲🏼	lijevo, ruka, ruka okrenuta ulijevo, ruka okrenuta ulijevo: svijetlo maslinasta boja kože, stisak, stisak ruke, svijetlo maslinasta boja kože, ulijevo
🫲🏽	lijevo, maslinasta boja kože, ruka, ruka okrenuta ulijevo, ruka okrenuta ulijevo: maslinasta boja kože, stisak, stisak ruke, ulijevo
🫲🏾	lijevo, ruka, ruka okrenuta ulijevo, ruka okrenuta ulijevo: smeđa boja kože, smeđa boja kože, stisak, stisak ruke, ulijevo
🫲🏿	lijevo, ruka, ruka okrenuta ulijevo, ruka okrenuta ulijevo: tamno smeđa boja kože, stisak, stisak ruke, tamno smeđa boja kože, ulijevo
🫳	ispustiti, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, uzeti, zanemariti
🫳🏻	ispustiti, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, ruka s dlanom okrenutim prema dolje: svijetla boja kože, svijetla boja kože, uzeti, zanemariti
🫳🏼	ispustiti, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, ruka s dlanom okrenutim prema dolje: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, uzeti, zanemariti
🫳🏽	ispustiti, maslinasta boja kože, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, ruka s dlanom okrenutim prema dolje: maslinasta boja kože, uzeti, zanemariti
🫳🏾	ispustiti, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, ruka s dlanom okrenutim prema dolje: smeđa boja kože, smeđa boja kože, uzeti, zanemariti
🫳🏿	ispustiti, pokupiti, potjerati, pustiti, ruka, ruka s dlanom okrenutim prema dolje, ruka s dlanom okrenutim prema dolje: tamno smeđa boja kože, tamno smeđa boja kože, uzeti, zanemariti
🫴	dozivati, dođi, držati, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, uhvatiti
🫴🏻	dozivati, dođi, držati, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, ruka s dlanom okrenutim prema gore: svijetla boja kože, svijetla boja kože, uhvatiti
🫴🏼	dozivati, dođi, držati, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, ruka s dlanom okrenutim prema gore: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, uhvatiti
🫴🏽	dozivati, dođi, držati, maslinasta boja kože, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, ruka s dlanom okrenutim prema gore: maslinasta boja kože, uhvatiti
🫴🏾	dozivati, dođi, držati, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, ruka s dlanom okrenutim prema gore: smeđa boja kože, smeđa boja kože, uhvatiti
🫴🏿	dozivati, dođi, držati, ne znam, nuditi, ponuda, poziv, reci mi, ruka s dlanom okrenutim prema gore, ruka s dlanom okrenutim prema gore: tamno smeđa boja kože, tamno smeđa boja kože, uhvatiti
🫷	daj pet, guranje, odbij, ruka, ruka koja gura ulijevo, stani, stop, ulijevo, čekaj
🫷🏻	daj pet, guranje, odbij, ruka, ruka koja gura ulijevo, ruka koja gura ulijevo: svijetla boja kože, stani, stop, svijetla boja kože, ulijevo, čekaj
🫷🏼	daj pet, guranje, odbij, ruka, ruka koja gura ulijevo, ruka koja gura ulijevo: svijetlo maslinasta boja kože, stani, stop, svijetlo maslinasta boja kože, ulijevo, čekaj
🫷🏽	daj pet, guranje, maslinasta boja kože, odbij, ruka, ruka koja gura ulijevo, ruka koja gura ulijevo: maslinasta boja kože, stani, stop, ulijevo, čekaj
🫷🏾	daj pet, guranje, odbij, ruka, ruka koja gura ulijevo, ruka koja gura ulijevo: smeđa boja kože, smeđa boja kože, stani, stop, ulijevo, čekaj
🫷🏿	daj pet, guranje, odbij, ruka, ruka koja gura ulijevo, ruka koja gura ulijevo: tamno smeđa boja kože, stani, stop, tamno smeđa boja kože, ulijevo, čekaj
🫸	blokiraj, daj pet, desno, guranje, odbij, ruka, ruka koja gura udesno, stop, udesno, čekaj
🫸🏻	blokiraj, daj pet, desno, guranje, odbij, ruka, ruka koja gura udesno, ruka koja gura udesno: svijetla boja kože, stop, svijetla boja kože, udesno, čekaj
🫸🏼	blokiraj, daj pet, desno, guranje, odbij, ruka, ruka koja gura udesno, ruka koja gura udesno: svijetlo maslinasta boja kože, stop, svijetlo maslinasta boja kože, udesno, čekaj
🫸🏽	blokiraj, daj pet, desno, guranje, maslinasta boja kože, odbij, ruka, ruka koja gura udesno, ruka koja gura udesno: maslinasta boja kože, stop, udesno, čekaj
🫸🏾	blokiraj, daj pet, desno, guranje, odbij, ruka, ruka koja gura udesno, ruka koja gura udesno: smeđa boja kože, smeđa boja kože, stop, udesno, čekaj
🫸🏿	blokiraj, daj pet, desno, guranje, odbij, ruka, ruka koja gura udesno, ruka koja gura udesno: tamno smeđa boja kože, stop, tamno smeđa boja kože, udesno, čekaj
👌	dva prsta, može, odlično, ruka, shvaćam, u redu, znak rukom "u redu", šaka
👌🏻	dva prsta, može, odlično, ruka, shvaćam, svijetla boja kože, u redu, znak rukom "u redu", znak rukom "u redu": svijetla boja kože, šaka
👌🏼	dva prsta, može, odlično, ruka, shvaćam, svijetlo maslinasta boja kože, u redu, znak rukom "u redu", znak rukom "u redu": svijetlo maslinasta boja kože, šaka
👌🏽	dva prsta, maslinasta boja kože, može, odlično, ruka, shvaćam, u redu, znak rukom "u redu", znak rukom "u redu": maslinasta boja kože, šaka
👌🏾	dva prsta, može, odlično, ruka, shvaćam, smeđa boja kože, u redu, znak rukom "u redu", znak rukom "u redu": smeđa boja kože, šaka
👌🏿	dva prsta, može, odlično, ruka, shvaćam, tamno smeđa boja kože, u redu, znak rukom "u redu", znak rukom "u redu": tamno smeđa boja kože, šaka
🤌	gesta rukom, ispitivanje, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, umukni
🤌🏻	gesta rukom, ispitivanje, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, skupljeni prsti: svijetla boja kože, svijetla boja kože, umukni
🤌🏼	gesta rukom, ispitivanje, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, skupljeni prsti: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, umukni
🤌🏽	gesta rukom, ispitivanje, maslinasta boja kože, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, skupljeni prsti: maslinasta boja kože, umukni
🤌🏾	gesta rukom, ispitivanje, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, skupljeni prsti: smeđa boja kože, smeđa boja kože, umukni
🤌🏿	gesta rukom, ispitivanje, opusti se, pričekaj, prsti, sarkastično, skupljeni prsti, skupljeni prsti: tamno smeđa boja kože, tamno smeđa boja kože, umukni
🤏	mala količina, malo, prsti, ruka koja štipa, samo malo
🤏🏻	mala količina, malo, prsti, ruka koja štipa, ruka koja štipa: svijetla boja kože, samo malo, svijetla boja kože
🤏🏼	mala količina, malo, prsti, ruka koja štipa, ruka koja štipa: svijetlo maslinasta boja kože, samo malo, svijetlo maslinasta boja kože
🤏🏽	mala količina, malo, maslinasta boja kože, prsti, ruka koja štipa, ruka koja štipa: maslinasta boja kože, samo malo
🤏🏾	mala količina, malo, prsti, ruka koja štipa, ruka koja štipa: smeđa boja kože, samo malo, smeđa boja kože
🤏🏿	mala količina, malo, prsti, ruka koja štipa, ruka koja štipa: tamno smeđa boja kože, samo malo, tamno smeđa boja kože
