‾	надцрта
🇵🇲	застава, застава: Сен Пјер и Микелон
🇵🇳	застава, застава: Питкерн
🇵🇷	застава, застава: Порторико
🇵🇸	застава, застава: Палестинске територије
🇵🇹	застава, застава: Португалија
🇵🇼	застава, застава: Палау
🇵🇾	застава, застава: Парагвај
🇶🇦	застава, застава: Катар
🇷🇪	застава, застава: Реинион
🇷🇴	застава, застава: Румунија
🇷🇸	застава, застава: Србија
🇷🇺	застава, застава: Русија
🇷🇼	застава, застава: Руанда
🇸🇦	застава, застава: Саудијска Арабија
🇸🇧	застава, застава: Соломонска Острва
🇸🇨	застава, застава: Сејшели
🇸🇩	застава, застава: Судан
🇸🇪	застава, застава: Шведска
🇸🇬	застава, застава: Сингапур
🇸🇭	застава, застава: Света Јелена
🇸🇮	застава, застава: Словенија
🇸🇯	застава, застава: Свалбард и Јан Мајен
🇸🇰	застава, застава: Словачка
🇸🇱	застава, застава: Сијера Леоне
🇸🇲	застава, застава: Сан Марино
🇸🇳	застава, застава: Сенегал
🇸🇴	застава, застава: Сомалија
🇸🇷	застава, застава: Суринам
🇸🇸	застава, застава: Јужни Судан
🇸🇹	застава, застава: Сао Томе и Принципе
