‾	επάνω γραμμή
😐️	άδειος, αγέλαστο πρόσωπο, αγέλαστος, αλλόκοτο, ανέκφραστο, δεν γελάω, δυσαρεστημένος, δυστυχισμένος, ζηλιάρης, καθόλου εντυπωσιασμένος, κακό, ουδέτερο πρόσωπο
😑	αλλόκοτο, ανέκφραστο, ανέκφραστο πρόσωπο, βασικό, δυστυχισμένος, ζήλια, ζηλιάρης, ζηλόφθων, κακό, καλά, μη εντυπωσιασμένος, νεκρός, ό,τι πεις
😶	άφωνος, ήσυχος, αλλόκοτος, ανέκφραστο, ανήμπορος, κενό, μουγγός, μυστικό, πρόσωπο, πρόσωπο χωρίς στόμα, σιωπή, σιωπηλό, σιωπηλός, στόμα, χωρίς στόμα
🫥	απόκρυψη, αόρατος, εσωστρεφής, κατάθλιψη, πρόσωπο σε διάστικτο κύκλο, στενοχώρια
😶‍🌫	αφηρημένος, κεφάλι, ομίχλη, πρόσωπο, πρόσωπο στα σύννεφα, σύννεφα
😏	αστειεύομαι, αφεντικό, γνεύω, επιδέξιος, κομπάζω, λάγνο βλέμμα, μειδίαμα, πρόσωπο, πρόσωπο με χαζό χαμόγελο, φλερτ, φρύδια, χαζό χαμόγελο, ύποπτος
😒	..., αλλόκοτος, βαριέμαι, βαριεστημένος, δυσαρέσκεια, δυσαρεστημένος, δυστυχισμένος, ζηλιάρης, ζηλόφθων, καλά, καλή ιστορία μεγάλε, καλώς, νευριασμένος, πρόσωπο, τίποτα, τι στην ευχή, τι στο καλό, χωρίς λόγια, ό,τι πεις
🙄	έλεος, αναποδογυριστά, βλέμμα αποδοκιμασίας, γύρισμα των ματιών, μάτια, πρόσωπο, πρόσωπο με αναποδογυρισμένα μάτια, τέλος πάντων, ό,τι πεις, όντως
😬	άβολο, γκριμάτσα, οδοντίατρος, παράξενο, πρόσωπο, πρόσωπο με γκριμάτσα, τίποτα, χαμόγελο
😮‍💨	ανακούφιση, αναστενάζω, εκπνέω, εξουθενωμένος, καπνός, κουρασμένος, ξεφυσάω, πρόσωπο που ξεφυσάει, σφυρίζω, ψιθυρίζω
🤥	λέω ψέματα, πινόκιο, πρόσωπο, φάτσα ψεύτη, ψέμα, ψεύτης, ψεύτρα
🫨	δονείται, πρόσωπο, πρόσωπο που κουνιέται, σεισμός, σοκ, τρέμει
🙂‍↔	κεφάλι, κεφάλι που κουνιέται οριζόντια, κούνημα, όχι
🙂‍↕	καταφατικά, κεφάλι, κεφάλι που κουνιέται κατακόρυφα, ναι, νεύμα
😌	ήρεμος, ανακουφισμένο πρόσωπο, ανακουφισμένος, ανακούφιση, ειρήνη, ειρηνικός, ζεν, ηρεμία, πρόσωπο
😔	απαίσιο, απογοητευμένος, αποκαρδιωμένος, βαριεστημένος, λυπημένος, πέθανε, περισυλλογή, πρόσωπο, στοχαστικός, χάνω, χαμένο
😪	κλαίω, κοιμάμαι, κουρασμένος, λυπημένος, νυσταγμένο πρόσωπο, πρόσωπο, ύπνος
🤤	πρόσωπο, σάλια, σαλιαρίζω
😴	zzz, καληνύχτα, κοιμάμαι, κοιμισμένος, κουρασμένος, κρεβάτι, πρόσωπο, σιέστα, υπνάκος, φάτσα που κοιμάται, χασμουρητό, ύπνος, ώρα ύπνου
🫩	εξαντλημένος, κουρασμένος, νυσταγμένος, πρόσωπο με σακούλες κάτω από τα μάτια
😷	Δρ, άρρωστος, βακτήρια, γιατρός, δερματολόγος, ιατρική μάσκα, κρύωμα, μάσκα, οδοντίατρος, πρόσωπο, φάρμακο
🤒	άρρωστος, ασθενής, θερμόμετρο, πρόσωπο, πρόσωπο με θερμόμετρο
🤕	άουτς, επίδεσμος, επίδεσμος στο κεφάλι, πονάω, πρόσωπο, πρόσωπο με επίδεσμο στο κεφάλι, τραυματισμός, τραύμα, χτυπημένος
🤢	ανακατεύομαι, απαίσιο, εμετός, ναυτία, πρόσωπο
🤮	αηδία, εμετός, ξερνάω, πρόσωπο που κάνει εμετό, τα βγάζω
🤧	άρρωστος, γρίπη, πρόσωπο, πυρετός, υγεία, φτάρνισμα, φταρνίζομαι
🥵	εξαντλημένος, ζεστό προσωπάκι, ζεστός, θερμοπληξία, ιδρωμένος, ιδρώνω, καυτός, με τη γλώσσα έξω, πεθαίνω, πυρετός
🥶	δόντια που τρίζουν, κάτω από το μηδέν, κρυοπάγημα, κρυώνω, κρύο, κρύσταλλα, μπλε, μπλε πρόσωπο, ξεπαγιάζω, παγωμένος, παγωνιά, παγώνω, υπό του μηδενός
🥴	αλλήθωρος, ζαλισμένο προσωπάκι, ζαλισμένος, κυματιστό στόμα, μεθυσμένος, πιωμένος, ψιλομεθυσμένος
😵	άρρωστος, ζαλάδα, ζαλισμένο πρόσωπο, ζαλισμένος, κουρασμένος, νεκρός, νιώθει, πεθαμένος, πρόσωπο
😵‍💫	αποπροσανατολισμένος, ζαλάδα, ζαλισμένος, θολωμένος, μπερδεμένος, πρόβλημα, πρόσωπο με μάτια σπιράλ, πω, σπιράλ, υπνωτισμένο άτομο
🤯	εκρήγνυμαι, εξωπραγματικό, κεφάλι που εκρήγνυται, με τίποτα, σοκαρισμένος, σοκαριστικός
🤠	καουμπόης, καουμπόης με καπέλο, καουμπόισσα, καπέλο, πρόσωπο
🥳	γενέθλια, γιορτάζω, γιορτή, ενθουσιασμένος, ζήτω, ζητοκραυγάζω, κανονίστηκε, καπέλο, καπελάκι πάρτι, κόρνα, πάρτι, προσωπάκι πάρτι, πρόσωπο, χαίρομαι
🥸	άτομο, γυαλιά, ινκόγκνιτο, κατάσκοπος, μεταμφίεση, μεταμφιεσμένο πρόσωπο, μουστάκι, μύτη, πρόσωπο, φρύδια
😎	ήλιος, αδερφέ, αποχρώσεις, ασυμβίβαστος, γαμάτο, γυαλιά, γυαλιά ηλίου, καιρός, καλό, καταπληκτικός, κορδόνομαι, κορυφαίος, χαμογελαστό πρόσωπο με γυαλιά ηλίου
🤓	έξυπνος, γυαλιά, πρόσωπο, σπασίκλας, φυτό
🧐	αριστοκρατικός, ευκατάστατος, μεγαλομανής, μοδάτος, ξενέρωτος, πλούσιος, πρόσωπο με μονόκλ, φαντασμένος
😕	αβέβαιος, κατσούφης, μπερδεμένη φάτσα, μπερδεμένος, πρόσωπο, στοχαστικός, σύγχυση, χμ
🫤	αβεβαιότητα, απογοήτευση, πρόσωπο με διαγώνιο στόμα, σκεπτικισμός
😟	άγχος, έκπληκτος, αγχώδης, ανήσυχο πρόσωπο, ανήσυχος, ανησυχία, λυπημένος, νευρικός, νεύρα, πρόσωπο
🙁	ελαφρύ κατσούφιασμα, κατσουφιασμένος, λυπημένος, πρόσωπο
☹️	κατσουφιασμένος, κατσούφιασμα, λυπημένος, πρόσωπο
😮	έκπληκτος, ανοικτό στόμα, ανοιχτό, απίστευτο, δεν σε πιστεύω, ξέχασα, ουάου, πρόσωπο, πρόσωπο με ανοιχτό στόμα, σοκαρισμένος, στόμα, συμπόνια
😯	άφωνος, έκπληκτο βλέμμα, έκπληκτος, επικός, ουάου, πρόσωπο, συγκλονισμένος, ωχ Θεέ μου
😲	έκπληκτος, εντελώς, ξάφνιασμα, ξαφνιασμένος, πρόσωπο, σοκαρισμένος
😳	άσκηση, έκπληκτος, αναψοκοκκινισμένος, ζέστη, κοκκινισμένο πρόσωπο, κοκκινισμένος, ντροπιασμένος, ουάου, περίεργος, πρόσωπο, σαστισμένος, τι, τρελό
🥺	έλεος, βλέμμα κουταβιού, γιατί όχι, ζητιανεύω, ζητιανιά, ικετεύω, λυπημένος, μεγάλα μάτια, παρακαλώ, παρακαλώ πολύ, προσωπάκι παρακαλετό
🥹	αισθήματα, αντίσταση, δάκρυα χαράς, θλίψη, θυμός, κλάμα, ντροπή, πρόσωπο έτοιμο να κλάψει, υπερηφάνεια
😦	έκπληκτος, αβέβαιος, κατσουφιάζω, κατσούφιασμα με ανοικτό στόμα, κατσούφιασμα με ανοιχτό στόμα, ουάου, πρόσωπο, πως, στόμα, συνοφρυώνομαι, τι, τρομαγμένος, χωρίς λόγια
😧	έκπληξη, αγχωμένος, αγωνία, αγωνιώδης, βασανισμένος, δυσαρεστημένος, δυστυχισμένος, ξέχασα, ουάου, πρόσωπο, πρόσωπο που υποφέρει, τι, τρομαγμένος, τρομακτικός
😨	ανησυχώ, κατηγορώ, πρόσωπο, τρομαγμένος, φοβάμαι, φοβισμένος, φόβος
😰	αα, ανοικτό στόμα και κρύος ιδρώτας, ανοιχτό, βιαστικός, εσπευσμένος, ιδρώτας, κρύος, μπλε, ναι, νευρικός, ξαφνικός, πρόσωπο, πρόσωπο με ανοιχτό στόμα και κρύο ιδρώτα, στόμα, φοβισμένος
😥	αγχωμένος, ανακουφισμένος, απογοητευμένο αλλά ανακουφισμένο πρόσωπο, απογοητευμένος, ιδρωμένος, λυπημένο αλλά ανακουφισμένο πρόσωπο, λυπημένος, ουφ, περίπλοκο, πρόσωπο, φιου, όχι αυτή τη φορά
😢	αισθήματα, απαίσιος, δάκρυ, δυστυχισμένος, κλάμα, κλαίω, κλαμένο πρόσωπο, κλαμένος, λυπημένος, πρόσωπο, στεναχωρημένος
😭	γοερό κλάμα, δάκρυ, δάκρυα, δυστυχισμένος, κλάμα, κλαίω, κλαίω με λυγμούς, κραυγάζω, λυγμός, λυπημένος, πρόσωπο, πρόσωπο που κλαίει γοερά, στεναχωρημένος
😱	έκπληκτος, ανοιχτό στόμα, επικός, κραυγή, μασάω, ουάου, ουρλιάζοντας από φόβο, ουρλιαχτό, ουρλιαχτό φόβου, πρόσωπο, σοκαρισμένος, τρομαγμένος, τρόμος, φοβισμένος, φόβος
