‾	garis atas
❤️	cinta, hati, hati merah, perasaan, sayang, suka
🩷	cinta, hati, hati merah muda, imut, lucu, merah muda, pink, spesial, suka
🧡	cinta, hati, hati oranye, jingga, kasih, oranye
💛	hati, hati kuning, kuning
💚	cinta, hati, hati hijau, hijau, perasaan, romantis, sayang
💙	biru, hati, hati biru, perasaan
🩵	biru kehijauan, biru langit, biru muda, hati, hati biru langit, hati biru muda, imut, lucu, sian
💜	hati, hati ungu, ungu
🤎	cokelat, hati, hati cokelat
🖤	hati, hati hitam, hitam, jahat, kejam
🩶	abu-abu, hati, hati abu-abu, hati terbuat dari batu, perak
🤍	hati, hati putih, putih
💋	bibir, cium, hati, romantis, seksi, tanda ciuman
💯	100, A+, benar, bercanda, nilai seratus, penuh, selamat ultah, seratus, seratus poin, skor sempurna, tentunya
💢	kesel, komik, marah, ngotot, sebel
💥	duar, komik, meledak, meletus, nabrak, tabrakan
💫	bintang, bintang jatuh, komik, pusing
💦	air, ciprat, keringat, komik, olah raga
💨	asap, berlari, kabur, kentut, komik, lari
🕳️	lobang, lubang
💬	balon, balon ucapan, bicara, dialog, gelembung, komik, mengetik, pesan, sms, teks, ucapan
👁‍🗨	gelembung, mata, mata di dalam gelembung ucapan, saksi mata, ucapan
🗨️	dialog, gelembung ucapan kiri, ucapan
🗯️	balon, gelembung, gelembung marah kanan, marah
💭	balon, berkhayal, berpikir, gelembung, gelembung pikiran, ide, khayal, komik, mikir, pikir, pikiran
💤	cape, istirahat, komik, lelah, letih, malam, mengantuk, ngantuk, ngorok, tidur, zzz
👋	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tubuh
👋🏻	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tangan melambai: warna kulit cerah, tubuh, warna kulit cerah
👋🏼	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tangan melambai: warna kulit cerah-sedang, tubuh, warna kulit cerah-sedang
👋🏽	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tangan melambai: warna kulit sedang, tubuh, warna kulit sedang
👋🏾	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tangan melambai: warna kulit gelap-sedang, tubuh, warna kulit gelap-sedang
👋🏿	badan, dadah, dah, hai, halo, jari, lambai, sampai jumpa, tangan, tangan melambai, tangan melambai: warna kulit gelap, tubuh, warna kulit gelap
🤚	angkat tangan, berhenti, jangan, lima, lima jari, stop, tangan
🤚🏻	angkat tangan, angkat tangan: warna kulit cerah, berhenti, jangan, lima, lima jari, stop, tangan, warna kulit cerah
🤚🏼	angkat tangan, angkat tangan: warna kulit cerah-sedang, berhenti, jangan, lima, lima jari, stop, tangan, warna kulit cerah-sedang
🤚🏽	angkat tangan, angkat tangan: warna kulit sedang, berhenti, jangan, lima, lima jari, stop, tangan, warna kulit sedang
🤚🏾	angkat tangan, angkat tangan: warna kulit gelap-sedang, berhenti, jangan, lima, lima jari, stop, tangan, warna kulit gelap-sedang
🤚🏿	angkat tangan, angkat tangan: warna kulit gelap, berhenti, jangan, lima, lima jari, stop, tangan, warna kulit gelap
🖐️	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka, terbuka, tos, tubuh
🖐🏻	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka: warna kulit cerah, terbuka, tos, tubuh, warna kulit cerah
🖐🏼	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka: warna kulit cerah-sedang, terbuka, tos, tubuh, warna kulit cerah-sedang
🖐🏽	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka: warna kulit sedang, terbuka, tos, tubuh, warna kulit sedang
🖐🏾	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka: warna kulit gelap-sedang, terbuka, tos, tubuh, warna kulit gelap-sedang
🖐🏿	badan, jari, lima jari, stop, tangan, telapak, telapak tangan terbuka: warna kulit gelap, terbuka, tos, tubuh, warna kulit gelap
✋️	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, tubuh
✋🏻	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit cerah, tubuh, warna kulit cerah
✋🏼	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit cerah-sedang, tubuh, warna kulit cerah-sedang
✋🏽	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit sedang, tubuh, warna kulit sedang
✋🏾	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit gelap-sedang, tubuh, warna kulit gelap-sedang
✋🏿	badan, berhenti, lima jari, rapat, stop, tangan, telapak tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit gelap, tubuh, warna kulit gelap
🖖	badan, jari, salam vulcan, spock, star trek, tangan, tubuh, vulcan
🖖🏻	badan, jari, salam vulcan, salam vulcan: warna kulit cerah, spock, star trek, tangan, tubuh, vulcan, warna kulit cerah
🖖🏼	badan, jari, salam vulcan, salam vulcan: warna kulit cerah-sedang, spock, star trek, tangan, tubuh, vulcan, warna kulit cerah-sedang
🖖🏽	badan, jari, salam vulcan, salam vulcan: warna kulit sedang, spock, star trek, tangan, tubuh, vulcan, warna kulit sedang
🖖🏾	badan, jari, salam vulcan, salam vulcan: warna kulit gelap-sedang, spock, star trek, tangan, tubuh, vulcan, warna kulit gelap-sedang
🖖🏿	badan, jari, salam vulcan, salam vulcan: warna kulit gelap, spock, star trek, tangan, tubuh, vulcan, warna kulit gelap
🫱	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan
🫱🏻	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan, tangan menghadap kanan: warna kulit cerah, warna kulit cerah
🫱🏼	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan, tangan menghadap kanan: warna kulit cerah-sedang, warna kulit cerah-sedang
🫱🏽	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan, tangan menghadap kanan: warna kulit sedang, warna kulit sedang
🫱🏾	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan, tangan menghadap kanan: warna kulit gelap-sedang, warna kulit gelap-sedang
🫱🏿	ambil, hadap kanan, jabat tangan, kanan, menghadap kanan, pegang, salaman, tangan, tangan menghadap kanan, tangan menghadap kanan: warna kulit gelap, warna kulit gelap
🫱🏻‍🫲🏼	jabat tangan, jabat tangan: warna kulit cerah, warna kulit cerah-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit cerah-sedang
🫱🏻‍🫲🏽	jabat tangan, jabat tangan: warna kulit cerah, warna kulit sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit sedang
🫱🏻‍🫲🏾	jabat tangan, jabat tangan: warna kulit cerah, warna kulit gelap-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit gelap-sedang
🫱🏻‍🫲🏿	jabat tangan, jabat tangan: warna kulit cerah, warna kulit gelap, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit gelap
🫱🏼‍🫲🏻	jabat tangan, jabat tangan: warna kulit cerah-sedang, warna kulit cerah, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit cerah-sedang
🫱🏼‍🫲🏽	jabat tangan, jabat tangan: warna kulit cerah-sedang, warna kulit sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit sedang
🫱🏼‍🫲🏾	jabat tangan, jabat tangan: warna kulit cerah-sedang, warna kulit gelap-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit gelap-sedang
🫱🏼‍🫲🏿	jabat tangan, jabat tangan: warna kulit cerah-sedang, warna kulit gelap, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit gelap
🫱🏽‍🫲🏻	jabat tangan, jabat tangan: warna kulit sedang, warna kulit cerah, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit sedang
🫱🏽‍🫲🏼	jabat tangan, jabat tangan: warna kulit sedang, warna kulit cerah-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit sedang
🫱🏽‍🫲🏾	jabat tangan, jabat tangan: warna kulit sedang, warna kulit gelap-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap-sedang, warna kulit sedang
🫱🏽‍🫲🏿	jabat tangan, jabat tangan: warna kulit sedang, warna kulit gelap, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap, warna kulit sedang
🫱🏾‍🫲🏻	jabat tangan, jabat tangan: warna kulit gelap-sedang, warna kulit cerah, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit gelap-sedang
🫱🏾‍🫲🏼	jabat tangan, jabat tangan: warna kulit gelap-sedang, warna kulit cerah-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit gelap-sedang
🫱🏾‍🫲🏽	jabat tangan, jabat tangan: warna kulit gelap-sedang, warna kulit sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap-sedang, warna kulit sedang
🫱🏾‍🫲🏿	jabat tangan, jabat tangan: warna kulit gelap-sedang, warna kulit gelap, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap, warna kulit gelap-sedang
🫱🏿‍🫲🏻	jabat tangan, jabat tangan: warna kulit gelap, warna kulit cerah, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah, warna kulit gelap
🫱🏿‍🫲🏼	jabat tangan, jabat tangan: warna kulit gelap, warna kulit cerah-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit cerah-sedang, warna kulit gelap
🫱🏿‍🫲🏽	jabat tangan, jabat tangan: warna kulit gelap, warna kulit sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap, warna kulit sedang
🫱🏿‍🫲🏾	jabat tangan, jabat tangan: warna kulit gelap, warna kulit gelap-sedang, kenalan, pertemuan, salaman, sepakat, setuju, tangan, warna kulit gelap, warna kulit gelap-sedang
🫲	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri
🫲🏻	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri, tangan menghadap kiri: warna kulit cerah, warna kulit cerah
🫲🏼	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri, tangan menghadap kiri: warna kulit cerah-sedang, warna kulit cerah-sedang
🫲🏽	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri, tangan menghadap kiri: warna kulit sedang, warna kulit sedang
🫲🏾	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri, tangan menghadap kiri: warna kulit gelap-sedang, warna kulit gelap-sedang
🫲🏿	ambil, jabat tangan, kiri, menghadap kiri, pegang, salaman, sodorkan tangan, tangan, tangan menghadap kiri, tangan menghadap kiri: warna kulit gelap, warna kulit gelap
🫳	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah
🫳🏻	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah, telapak tangan menghadap ke bawah: warna kulit cerah, warna kulit cerah
🫳🏼	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah, telapak tangan menghadap ke bawah: warna kulit cerah-sedang, warna kulit cerah-sedang
🫳🏽	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah, telapak tangan menghadap ke bawah: warna kulit sedang, warna kulit sedang
🫳🏾	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah, telapak tangan menghadap ke bawah: warna kulit gelap-sedang, warna kulit gelap-sedang
🫳🏿	ambil, angkat, hus, jatuhkan, letakkan, mengabaikan, menjatuhkan, tangan, tangan hadap bawah, taruh, telapak tangan menghadap ke bawah, telapak tangan menghadap ke bawah: warna kulit gelap, warna kulit gelap
🫴	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, tidak tahu, ulurkan tangan
🫴🏻	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, telapak tangan menghadap ke atas: warna kulit cerah, tidak tahu, ulurkan tangan, warna kulit cerah
🫴🏼	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, telapak tangan menghadap ke atas: warna kulit cerah-sedang, tidak tahu, ulurkan tangan, warna kulit cerah-sedang
🫴🏽	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, telapak tangan menghadap ke atas: warna kulit sedang, tidak tahu, ulurkan tangan, warna kulit sedang
🫴🏾	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, telapak tangan menghadap ke atas: warna kulit gelap-sedang, tidak tahu, ulurkan tangan, warna kulit gelap-sedang
🫴🏿	datang, memberi isyarat, menangkap, menawarkan, pegang, tangan, tangan hadap atas, telapak tangan menghadap ke atas, telapak tangan menghadap ke atas: warna kulit gelap, tidak tahu, ulurkan tangan, warna kulit gelap
🫷	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tolak, tos, tunggu
🫷🏻	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tangan mendorong ke kiri: warna kulit cerah, tolak, tos, tunggu, warna kulit cerah
🫷🏼	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tangan mendorong ke kiri: warna kulit cerah-sedang, tolak, tos, tunggu, warna kulit cerah-sedang
🫷🏽	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tangan mendorong ke kiri: warna kulit sedang, tolak, tos, tunggu, warna kulit sedang
🫷🏾	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tangan mendorong ke kiri: warna kulit gelap-sedang, tolak, tos, tunggu, warna kulit gelap-sedang
🫷🏿	berhenti, blok, dorong, kiri, stop, tangan hadap kiri, tangan mendorong ke kiri, tangan mendorong ke kiri: warna kulit gelap, tolak, tos, tunggu, warna kulit gelap
🫸	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tolak, tos, tunggu
🫸🏻	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tangan mendorong ke kanan: warna kulit cerah, tolak, tos, tunggu, warna kulit cerah
🫸🏼	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tangan mendorong ke kanan: warna kulit cerah-sedang, tolak, tos, tunggu, warna kulit cerah-sedang
🫸🏽	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tangan mendorong ke kanan: warna kulit sedang, tolak, tos, tunggu, warna kulit sedang
🫸🏾	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tangan mendorong ke kanan: warna kulit gelap-sedang, tolak, tos, tunggu, warna kulit gelap-sedang
🫸🏿	berhenti, blok, dorong, kanan, stop, tangan, tangan hadap kanan, tangan mendorong ke kanan, tangan mendorong ke kanan: warna kulit gelap, tolak, tos, tunggu, warna kulit gelap
👌	badan, bagus, baiklah, cubit, ok, oke, pasti, setuju, sip, tangan, tentu, tubuh
👌🏻	badan, bagus, baiklah, cubit, ok, oke, oke: warna kulit cerah, pasti, setuju, sip, tangan, tentu, tubuh, warna kulit cerah
👌🏼	badan, bagus, baiklah, cubit, ok, oke, oke: warna kulit cerah-sedang, pasti, setuju, sip, tangan, tentu, tubuh, warna kulit cerah-sedang
👌🏽	badan, bagus, baiklah, cubit, ok, oke, oke: warna kulit sedang, pasti, setuju, sip, tangan, tentu, tubuh, warna kulit sedang
👌🏾	badan, bagus, baiklah, cubit, ok, oke, oke: warna kulit gelap-sedang, pasti, setuju, sip, tangan, tentu, tubuh, warna kulit gelap-sedang
👌🏿	badan, bagus, baiklah, cubit, ok, oke, oke: warna kulit gelap, pasti, setuju, sip, tangan, tentu, tubuh, warna kulit gelap
🤌	apa, hus, interogasi, isyarat tangan, italia, jari, jari terkuncup, rileks, sabar, santai, sarkastik, tangan, terkuncup
🤌🏻	apa, hus, interogasi, isyarat tangan, italia, jari, jari terkuncup: warna kulit cerah, rileks, sabar, santai, sarkastik, tangan, terkuncup, warna kulit cerah
🤌🏼	apa, hus, interogasi, isyarat tangan, italia, jari, jari terkuncup: warna kulit cerah-sedang, rileks, sabar, santai, sarkastik, tangan, terkuncup, warna kulit cerah-sedang
🤌🏽	apa, hus, interogasi, isyarat tangan, italia, jari, jari terkuncup: warna kulit sedang, rileks, sabar, santai, sarkastik, tangan, terkuncup, warna kulit sedang
🤌🏾	apa, hus, interogasi, isyarat tangan, italia, jari, jari terkuncup: warna kulit gelap-sedang, rileks, sabar, santai, sarkastik, tangan, terkuncup, warna kulit gelap-sedang
