‾	üst çizgi
😿	ağlama, ağlayan kedi, ağlayan kedi yüzü, göz yaşı, kedi, kedi yüzü, yüz, üzgün
😾	kedi, kedi yüzü, somurtan, somurtan kedi, somurtan kedi yüzü, somurtma, yüz
🙈	görmedim, görmeyen maymun, hayvan, komik, maymun, oyun, saklambaç
🙉	duymadım, duymayan maymun, hayvan, kulak, maymun, üç maymun
🙊	ağzı kapalı maymun, bilmiyorum, hayvan, konuşma, konuşmadım, maymun, sus, söylemedim, söylemeyen maymun, üç maymun
💌	aşk mektubu, kalp, kalpli mektup, mektup, romantizm
💘	aşk, duygu, kalp, ok, ok saplanmış kalp
💝	duygu, kalp, kurdele, kurdeleli kalp, sevgililer günü
💖	duygu, heyecanlı, kalp, pembe kalp, pırıldayan, pırıldayan kalp
💗	aşk, büyüyen kalp, coşkulu, duygu, kalp, sinirli
💓	aşk, duygu, heyecan, kalp, kalp atışı, çarpan kalp
💞	aşk, dönen, dönen kalpler, kalp, kawaii, sevimli
💕	aşk, aşıklar, duygu, evlilik yıldönümü, iki kalp, seni seviyorum, sevgili
💟	kalp, kalpli dekorasyon
❣️	işaret, kalp, kalp şeklinde ünlem işareti, noktalama, ünlem işareti
💔	duygu, hüsran, kalp, kırma, kırık kalp, kırılmış
❤‍🔥	alev, arzu, ateşli kalp, aşk, kalp, kutsal kalp, tutku
❤‍🩹	daha sağlıklı, iyi, iyileşen, iyileşen kalp, onarılan
❤️	aşk, kalp, kırmızı kalp
🩷	aşk, beğen, duygu, kalp, pembe, pembe kalp, seni seviyorum, sevgi, sevimli, özel kişi, şirin
🧡	kalp, portakal, turuncu, turuncu kalp
💛	duygu, kalp, sarı, sarı kalp
💚	duygu, kalp, yeşil, yeşil kalp
💙	duygu, kalp, mavi, mavi kalp
🩵	açık mavi, açık mavi kalp, aşk, camgöbeği, deniz mavisi, duygu, gökyüzü mavisi, kalp, sevgi, özel kişi
💜	duygu, kalp, mor, mor kalp
🤎	kahverengi, kahverengi kalp, kalp
🖤	fena, kalp, kötü, siyah, siyah kalp
🩶	aşk, duygu, gri, gri kalp, gümüş, kalp, kurşun, sevgi, taş, özel kişi
🤍	beyaz, beyaz kalp, kalp
💋	aşk, dudak, dudaklar, romantizm, seksi, öpücük, öpücük izi
💯	100, 100 puan, skor, yuz, yüz puan
💢	duygu, çizgi roman, öfke, öfke işareti, öfke simgesi, öfkeli
💥	bomba, bum, duygu, patlama, çarpışma, çarpışma işareti, çizgi roman
💫	baş dönmesi, dilek, duygu, gece, gökyüzü, kayan yıldız, uzay, yıldızlar, yıldızları görme, çizgi roman
💦	damla, duygu, fışkır, su, ter, ter damlası, terli, çizgi roman
💨	duygu, fırla, gaz çıkarma, hızla fırlama, hızlı, kaçma, koş, koşma, rüzgar, çizgi roman
🕳️	delik, çukur
💬	balon, iletişim, iletişim balonu, konuşma balonu, çizgi roman
👁‍🗨	göz, göz boncuğu, konuşma balonu, konuşma balonunda göz, nazar, tanıklık
🗨️	diyalog, konuşma, sol konuşma balonu
🗯️	balon, kızgın, sağ öfke balonu, öfke
💭	balon, bulut, düşünce, düşünce balonu, fikir, çizgi roman
💤	Zzz, gece, iyi geceler, iyi uykular, uyku, uyuklama, uyuma, yorgun, zzz, çizgi roman
👋	bay bay, bye, el, el sallama, görüşürüz, güle güle, hey, merhaba, orada mısın, sallama, sallamak, selam
👋🏻	açık cilt tonu, bay bay, bye, el, el sallama: açık cilt tonu, görüşürüz, güle güle, hey, merhaba, orada mısın, sallama, sallamak, selam
👋🏼	bay bay, bye, el, el sallama: orta açık cilt tonu, görüşürüz, güle güle, hey, merhaba, orada mısın, orta açık cilt tonu, sallama, sallamak, selam
👋🏽	bay bay, bye, el, el sallama: orta cilt tonu, görüşürüz, güle güle, hey, merhaba, orada mısın, orta cilt tonu, sallama, sallamak, selam
👋🏾	bay bay, bye, el, el sallama: orta koyu cilt tonu, görüşürüz, güle güle, hey, merhaba, orada mısın, orta koyu cilt tonu, sallama, sallamak, selam
👋🏿	bay bay, bye, el, el sallama: koyu cilt tonu, görüşürüz, güle güle, hey, koyu cilt tonu, merhaba, orada mısın, sallama, sallamak, selam
🤚	el, elinin tersi, elinin tersini kaldırma, kaldırma
🤚🏻	açık cilt tonu, el, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: açık cilt tonu, kaldırma
🤚🏼	el, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta açık cilt tonu, kaldırma, orta açık cilt tonu
🤚🏽	el, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta cilt tonu, kaldırma, orta cilt tonu
🤚🏾	el, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: orta koyu cilt tonu, kaldırma, orta koyu cilt tonu
🤚🏿	el, elinin tersi, elinin tersini kaldırma, elinin tersini kaldırma: koyu cilt tonu, kaldırma, koyu cilt tonu
🖐️	avuç, beden, dur, el, izin isteme, parmak, parmaklar açık el kaldırma
🖐🏻	avuç, açık cilt tonu, beden, dur, el, izin isteme, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: açık cilt tonu
🖐🏼	avuç, beden, dur, el, izin isteme, orta açık cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta açık cilt tonu
🖐🏽	avuç, beden, dur, el, izin isteme, orta cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta cilt tonu
🖐🏾	avuç, beden, dur, el, izin isteme, orta koyu cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: orta koyu cilt tonu
🖐🏿	avuç, beden, dur, el, izin isteme, koyu cilt tonu, parmak, parmaklar açık el kaldırma, parmaklar açık el kaldırma: koyu cilt tonu
✋️	beş parmak, dur, dur işareti, el, el kaldırma, havada el
✋🏻	açık cilt tonu, beş parmak, dur, dur işareti, el, el kaldırma, el kaldırma: açık cilt tonu, havada el
✋🏼	beş parmak, dur, dur işareti, el, el kaldırma, el kaldırma: orta açık cilt tonu, havada el, orta açık cilt tonu
✋🏽	beş parmak, dur, dur işareti, el, el kaldırma, el kaldırma: orta cilt tonu, havada el, orta cilt tonu
✋🏾	beş parmak, dur, dur işareti, el, el kaldırma, el kaldırma: orta koyu cilt tonu, havada el, orta koyu cilt tonu
✋🏿	beş parmak, dur, dur işareti, el, el kaldırma, el kaldırma: koyu cilt tonu, havada el, koyu cilt tonu
🖖	Vulkan selamı, beden, el, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🖖🏻	Vulkan selamı, Vulkan selamı: açık cilt tonu, açık cilt tonu, beden, el, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🖖🏼	Vulkan selamı, Vulkan selamı: orta açık cilt tonu, beden, el, orta açık cilt tonu, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🖖🏽	Vulkan selamı, Vulkan selamı: orta cilt tonu, beden, el, orta cilt tonu, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🖖🏾	Vulkan selamı, Vulkan selamı: orta koyu cilt tonu, beden, el, orta koyu cilt tonu, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🖖🏿	Vulkan selamı, Vulkan selamı: koyu cilt tonu, beden, el, koyu cilt tonu, parmak, spock, star trek, uzay yolu, volkan, volkanlı selamı, vulcan selamı, vulkan
🫱	anlaşma, dokun, el, el uzatma, merhaba, sağ, sağa bakan el, selam, temas, tokalaşmak
🫱🏻	anlaşma, açık cilt tonu, dokun, el, el uzatma, merhaba, sağ, sağa bakan el, sağa bakan el: açık cilt tonu, selam, temas, tokalaşmak
🫱🏼	anlaşma, dokun, el, el uzatma, merhaba, orta açık cilt tonu, sağ, sağa bakan el, sağa bakan el: orta açık cilt tonu, selam, temas, tokalaşmak
🫱🏽	anlaşma, dokun, el, el uzatma, merhaba, orta cilt tonu, sağ, sağa bakan el, sağa bakan el: orta cilt tonu, selam, temas, tokalaşmak
🫱🏾	anlaşma, dokun, el, el uzatma, merhaba, orta koyu cilt tonu, sağ, sağa bakan el, sağa bakan el: orta koyu cilt tonu, selam, temas, tokalaşmak
🫱🏿	anlaşma, dokun, el, el uzatma, koyu cilt tonu, merhaba, sağ, sağa bakan el, sağa bakan el: koyu cilt tonu, selam, temas, tokalaşmak
🫱🏻‍🫲🏼	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: açık cilt tonu orta açık cilt tonu, orta açık cilt tonu, sallama, toplantı
🫱🏻‍🫲🏽	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: açık cilt tonu orta cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏻‍🫲🏾	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: açık cilt tonu orta koyu cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏻‍🫲🏿	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: açık cilt tonu koyu cilt tonu, koyu cilt tonu, sallama, toplantı
🫱🏼‍🫲🏻	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: orta açık cilt tonu açık cilt tonu, orta açık cilt tonu, sallama, toplantı
🫱🏼‍🫲🏽	anlaşma, el, el sıkışma, el sıkışma: orta açık cilt tonu orta cilt tonu, orta açık cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏼‍🫲🏾	anlaşma, el, el sıkışma, el sıkışma: orta açık cilt tonu orta koyu cilt tonu, orta açık cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏼‍🫲🏿	anlaşma, el, el sıkışma, el sıkışma: orta açık cilt tonu koyu cilt tonu, koyu cilt tonu, orta açık cilt tonu, sallama, toplantı
🫱🏽‍🫲🏻	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: orta cilt tonu açık cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏽‍🫲🏼	anlaşma, el, el sıkışma, el sıkışma: orta cilt tonu orta açık cilt tonu, orta açık cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏽‍🫲🏾	anlaşma, el, el sıkışma, el sıkışma: orta cilt tonu orta koyu cilt tonu, orta cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏽‍🫲🏿	anlaşma, el, el sıkışma, el sıkışma: orta cilt tonu koyu cilt tonu, koyu cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏾‍🫲🏻	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: orta koyu cilt tonu açık cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏾‍🫲🏼	anlaşma, el, el sıkışma, el sıkışma: orta koyu cilt tonu orta açık cilt tonu, orta açık cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏾‍🫲🏽	anlaşma, el, el sıkışma, el sıkışma: orta koyu cilt tonu orta cilt tonu, orta cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏾‍🫲🏿	anlaşma, el, el sıkışma, el sıkışma: orta koyu cilt tonu koyu cilt tonu, koyu cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫱🏿‍🫲🏻	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: koyu cilt tonu açık cilt tonu, koyu cilt tonu, sallama, toplantı
🫱🏿‍🫲🏼	anlaşma, el, el sıkışma, el sıkışma: koyu cilt tonu orta açık cilt tonu, koyu cilt tonu, orta açık cilt tonu, sallama, toplantı
🫱🏿‍🫲🏽	anlaşma, el, el sıkışma, el sıkışma: koyu cilt tonu orta cilt tonu, koyu cilt tonu, orta cilt tonu, sallama, toplantı
🫱🏿‍🫲🏾	anlaşma, el, el sıkışma, el sıkışma: koyu cilt tonu orta koyu cilt tonu, koyu cilt tonu, orta koyu cilt tonu, sallama, toplantı
🫲	anlaşma, dokun, el, el uzatma, merhaba, selam, sol, sola bakan el, temas, tokalaşma
🫲🏻	anlaşma, açık cilt tonu, dokun, el, el uzatma, merhaba, selam, sol, sola bakan el, sola bakan el: açık cilt tonu, temas, tokalaşma
🫲🏼	anlaşma, dokun, el, el uzatma, merhaba, orta açık cilt tonu, selam, sol, sola bakan el, sola bakan el: orta açık cilt tonu, temas, tokalaşma
🫲🏽	anlaşma, dokun, el, el uzatma, merhaba, orta cilt tonu, selam, sol, sola bakan el, sola bakan el: orta cilt tonu, temas, tokalaşma
🫲🏾	anlaşma, dokun, el, el uzatma, merhaba, orta koyu cilt tonu, selam, sol, sola bakan el, sola bakan el: orta koyu cilt tonu, temas, tokalaşma
🫲🏿	anlaşma, dokun, el, el uzatma, koyu cilt tonu, merhaba, selam, sol, sola bakan el, sola bakan el: koyu cilt tonu, temas, tokalaşma
🫳	al, atmak, avuç, avuç içi aşağı bakan el, bırak, düşürmek, el, kışkışlamak, uzanmak, uzat
🫳🏻	al, atmak, avuç, avuç içi aşağı bakan el, avuç içi aşağı bakan el: açık cilt tonu, açık cilt tonu, bırak, düşürmek, el, kışkışlamak, uzanmak, uzat
🫳🏼	al, atmak, avuç, avuç içi aşağı bakan el, avuç içi aşağı bakan el: orta açık cilt tonu, bırak, düşürmek, el, kışkışlamak, orta açık cilt tonu, uzanmak, uzat
🫳🏽	al, atmak, avuç, avuç içi aşağı bakan el, avuç içi aşağı bakan el: orta cilt tonu, bırak, düşürmek, el, kışkışlamak, orta cilt tonu, uzanmak, uzat
🫳🏾	al, atmak, avuç, avuç içi aşağı bakan el, avuç içi aşağı bakan el: orta koyu cilt tonu, bırak, düşürmek, el, kışkışlamak, orta koyu cilt tonu, uzanmak, uzat
🫳🏿	al, atmak, avuç, avuç içi aşağı bakan el, avuç içi aşağı bakan el: koyu cilt tonu, bırak, düşürmek, el, koyu cilt tonu, kışkışlamak, uzanmak, uzat
🫴	avuç içi yukarı bakan el, davet, el, el etmek, el uzatmak, gel, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫴🏻	avuç içi yukarı bakan el, avuç içi yukarı bakan el: açık cilt tonu, açık cilt tonu, davet, el, el etmek, el uzatmak, gel, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫴🏼	avuç içi yukarı bakan el, avuç içi yukarı bakan el: orta açık cilt tonu, davet, el, el etmek, el uzatmak, gel, orta açık cilt tonu, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫴🏽	avuç içi yukarı bakan el, avuç içi yukarı bakan el: orta cilt tonu, davet, el, el etmek, el uzatmak, gel, orta cilt tonu, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫴🏾	avuç içi yukarı bakan el, avuç içi yukarı bakan el: orta koyu cilt tonu, davet, el, el etmek, el uzatmak, gel, orta koyu cilt tonu, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫴🏿	avuç içi yukarı bakan el, avuç içi yukarı bakan el: koyu cilt tonu, davet, el, el etmek, el uzatmak, gel, koyu cilt tonu, sunmak, teklif, yakalamak, yardım, çağrı, çağırmak
🫷	bekle, bekletme, dur, durdurma, itme, reddetme, sola, sola iten el, çak, çakma
🫷🏻	açık cilt tonu, bekle, bekletme, dur, durdurma, itme, reddetme, sola, sola iten el, sola iten el: açık cilt tonu, çak, çakma
🫷🏼	bekle, bekletme, dur, durdurma, itme, orta açık cilt tonu, reddetme, sola, sola iten el, sola iten el: orta açık cilt tonu, çak, çakma
🫷🏽	bekle, bekletme, dur, durdurma, itme, orta cilt tonu, reddetme, sola, sola iten el, sola iten el: orta cilt tonu, çak, çakma
🫷🏾	bekle, bekletme, dur, durdurma, itme, orta koyu cilt tonu, reddetme, sola, sola iten el, sola iten el: orta koyu cilt tonu, çak, çakma
🫷🏿	bekle, bekletme, dur, durdurma, itme, koyu cilt tonu, reddetme, sola, sola iten el, sola iten el: koyu cilt tonu, çak, çakma
🫸	bekle, bekletme, dur, durdurma, itme, reddetme, sağa, sağa iten el, çak, çakma
🫸🏻	açık cilt tonu, bekle, bekletme, dur, durdurma, itme, reddetme, sağa, sağa iten el, sağa iten el: açık cilt tonu, çak, çakma
🫸🏼	bekle, bekletme, dur, durdurma, itme, orta açık cilt tonu, reddetme, sağa, sağa iten el, sağa iten el: orta açık cilt tonu, çak, çakma
🫸🏽	bekle, bekletme, dur, durdurma, itme, orta cilt tonu, reddetme, sağa, sağa iten el, sağa iten el: orta cilt tonu, çak, çakma
🫸🏾	bekle, bekletme, dur, durdurma, itme, orta koyu cilt tonu, reddetme, sağa, sağa iten el, sağa iten el: orta koyu cilt tonu, çak, çakma
🫸🏿	bekle, bekletme, dur, durdurma, itme, koyu cilt tonu, reddetme, sağa, sağa iten el, sağa iten el: koyu cilt tonu, çak, çakma
👌	Tamam, Tamam el işareti, anlaştık, budur, el, harika, inanılmaz, işaret, işte bu, kıstırma, leziz, mükemmel, müthiş, ok, okey, süper, tam olarak, tamam işareti, tamamdır, yes
👌🏻	Tamam, Tamam el işareti, anlaştık, açık cilt tonu, budur, el, harika, inanılmaz, işaret, işte bu, kıstırma, leziz, mükemmel, müthiş, ok, okey, süper, tam olarak, tamam işareti, tamam işareti: açık cilt tonu, tamamdır, yes
👌🏼	Tamam, Tamam el işareti, anlaştık, budur, el, harika, inanılmaz, işaret, işte bu, kıstırma, leziz, mükemmel, müthiş, ok, okey, orta açık cilt tonu, süper, tam olarak, tamam işareti, tamam işareti: orta açık cilt tonu, tamamdır, yes
👌🏽	Tamam, Tamam el işareti, anlaştık, budur, el, harika, inanılmaz, işaret, işte bu, kıstırma, leziz, mükemmel, müthiş, ok, okey, orta cilt tonu, süper, tam olarak, tamam işareti, tamam işareti: orta cilt tonu, tamamdır, yes
👌🏾	Tamam, Tamam el işareti, anlaştık, budur, el, harika, inanılmaz, işaret, işte bu, kıstırma, leziz, mükemmel, müthiş, ok, okey, orta koyu cilt tonu, süper, tam olarak, tamam işareti, tamam işareti: orta koyu cilt tonu, tamamdır, yes
👌🏿	Tamam, Tamam el işareti, anlaştık, budur, el, harika, inanılmaz, işaret, işte bu, koyu cilt tonu, kıstırma, leziz, mükemmel, müthiş, ok, okey, süper, tam olarak, tamam işareti, tamam işareti: koyu cilt tonu, tamamdır, yes
🤌	bravo, el, el hareketleri, harika, kıstırma hareketi yapan parmaklar, lezzetli, parmaklar, çok güzel
🤌🏻	açık cilt tonu, bravo, el, el hareketleri, harika, kıstırma hareketi yapan parmaklar, kıstırma hareketi yapan parmaklar: açık cilt tonu, lezzetli, parmaklar, çok güzel
🤌🏼	bravo, el, el hareketleri, harika, kıstırma hareketi yapan parmaklar, kıstırma hareketi yapan parmaklar: orta açık cilt tonu, lezzetli, orta açık cilt tonu, parmaklar, çok güzel
🤌🏽	bravo, el, el hareketleri, harika, kıstırma hareketi yapan parmaklar, kıstırma hareketi yapan parmaklar: orta cilt tonu, lezzetli, orta cilt tonu, parmaklar, çok güzel
🤌🏾	bravo, el, el hareketleri, harika, kıstırma hareketi yapan parmaklar, kıstırma hareketi yapan parmaklar: orta koyu cilt tonu, lezzetli, orta koyu cilt tonu, parmaklar, çok güzel
🤌🏿	bravo, el, el hareketleri, harika, koyu cilt tonu, kıstırma hareketi yapan parmaklar, kıstırma hareketi yapan parmaklar: koyu cilt tonu, lezzetli, parmaklar, çok güzel
🤏	azıcık, bir tutam, biraz, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan parmaklar, parmaklar
🤏🏻	azıcık, açık cilt tonu, bir tutam, biraz, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan el: açık cilt tonu, kıstırma hareketi yapan parmaklar, parmaklar
🤏🏼	azıcık, bir tutam, biraz, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta açık cilt tonu, kıstırma hareketi yapan parmaklar, orta açık cilt tonu, parmaklar
🤏🏽	azıcık, bir tutam, biraz, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta cilt tonu, kıstırma hareketi yapan parmaklar, orta cilt tonu, parmaklar
🤏🏾	azıcık, bir tutam, biraz, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan el: orta koyu cilt tonu, kıstırma hareketi yapan parmaklar, orta koyu cilt tonu, parmaklar
🤏🏿	azıcık, bir tutam, biraz, koyu cilt tonu, küçük, kıstırma hareketi yapan el, kıstırma hareketi yapan el: koyu cilt tonu, kıstırma hareketi yapan parmaklar, parmaklar
