‾	pruh
😒	divný, dobře, fajn, naštvaný, nevěřícný, nešťastný, nuda, obličej, obličej se znuděným výrazem, smajlík, to je fuk, tvář, výraz, wtf, znuděný, závist
🙄	ježišmarja, koulející, koulet očima, koulí očima, obličej s očima v sloup, obracet oči, oči, oči v sloup, smajlík, to je fuk, tvář, tvář s očima v sloup, v sloup, výraz
😬	grimasa, grimasa s vyceněnými zuby, křenit se, nepříjemný, obličej, prekérní, smajlík, trapný, tvář, tvář s krokodýlím úsměvem, výraz, zubař, zuby, úsměv, šklebit se
😮‍💨	foukat, kouřit, lapání po dechu, obličej, oddechnutí, povzdech, pískání, smajlík, uf, vydechnutí, vydechující, vydechující obličej, vyfukující, vyčerpaný, výdech, výraz, úleva, šepot
🤥	Pinocchio, lež, lhát, lhář, lži, lživá tvář s dlouhým nosem, obličej, obličej lháře, pinocchio, podvodník, prolhaný, smajlík, tvář, výraz
🫨	obličej, panika, překvapení, tvář, třas, třesavka, třesoucí se obličej, vibrace, výraz, zemětřesení, šok
🙂‍↔	kroucení, kroucení hlavou ze strany na stranu, ne, nesouhlas, vrtění
🙂‍↕	ano, kývnutí, kývání, kývání hlavou nahoru a dolů, přikyvování, přikývnutí, souhlas
😌	klid, klidný, obličej, obličej s výrazem úlevy, smajlík, tvář, vyrovnaný, výraz, výraz úlevy, zen, úleva
😔	deprimovaný, hrozný, obličej, obličej se skleslým výrazem, skleslý, sklíčený, smajlík, smutný, trudnomyslný, trudomyslný, tvář, výraz, zadumaný, zahloubaný, zamyšlený, zklamaný, znuděný, ztracený, zádumčivý
😪	brečet, nachlazený, obličej, ospalý obličej, ospalý výraz, plakat, rozespalý, smajlík, smutný, spánek, tvář, unavený, uplakaný, výraz
🤤	bryndat, chutné, cintat, hlad, obličej, slina, slinit, slintající obličej, slintající tvář, slintat, slintat blahem, slintání, sliny, smajlík, tvář, vynikající, výraz
😴	chrnět, chrr, dobrou, noc, obličej, ospalý, pochrupovat, postel, spánek, spát, spící, spící obličej, tvář, unavený, usínat, utahaný, výraz, zdřímnout, zzz, zívat, šlofík
🫩	kruhy, obličej, obličej s kruhy pod očima, ospalost, oči, pozdě, vyčerpanost, váčky, znuděnost, únava
😷	bacily, bakterie, dermatolog, doktor, lék, lékař, maska, nachlazený, nemocný, obličej, obličej s lékařskou rouškou, prevence, rouška, rýma, smajlík, tvář, tvář s doktorskou rouškou, výraz, zubař
🤒	angína, chřipka, horečka, nemocný, obličej, obličej s teploměrem, smajlík, teploměr, teplota, tvář, tvář s teploměrem v puse, výraz
🤕	au, bolest, bolí, boule, obličej, obličej s ovázanou hlavou, obvaz, ofačovaná hlava, smajlík, tvář, výraz, zafačovaný, zranění, zraněný
🤢	ble, blinkat, fuj, nechutný, nevolno, obličej, obličej se znechuceným výrazem, smajlík, tvář, výraz, znechucení, znechucený výraz, zvracet
🤮	ble, blít, fuj, nechutný, nemocný, nevolnost, obličej, smajlík, tvář, výraz, zvracející obličej, zvracet, zvratky, špatně, žaludek
🤧	chřipka, horečka, kapesník, kýchající obličej, kýchat, na zdraví, nachlazený, nemocný, obličej, rýma, smajlík, smrkat, tvář, výraz, zdravíčko
🥵	horečka, horečnatý, horko, obličej, pocení, přehřátý, rozpálený obličej, rudý obličej, smajlík, umírat, uřícený, vedro, vypláznutý jazyk, zadýchaný, zpocený, ztěžka oddechovat, úpal, úžeh, červený obličej
🥶	chladný, drkotat zuby, modrý, mrzne, mráz, námraza, obličej, omrzliny, pod nulou, promodralý, promrzlý, rampouchy, smajlík, sníh, studený, zamrzlý, zasněžený, zima, zledovatělý, zmrzlý, zmrzlý obličej
🥴	dezorientovaný, líznutý, malátný, motá se mi hlava, mít závrať, omámený, opilost, opilý, pod vlivem, přiopilý, různě velké oči, zpitomělý obličej, zvlněná pusa, závrať, šilhající
😵	mrtvý, nevolnost, obličej, obličej s výrazem závrati, smajlík, tvář, unavený, výraz, výraz závrati, závrať
😵‍💫	hypnotizovaný, motat se, no páni, obličej, obličej se spirálami místo očí, potíže, páni, smajlík, spirála, spirály, spirály místo očí, výraz, zhypnotizovaný, zmatený, závrať
🤯	explodující hlava, nemožné, není možné, neuvěřitelné, obličej, smajlík, tvář, vybuchující hlava, výbuch, výraz, šok
🤠	klobouk, kovboj, kovbojka, obličej, obličej s kovbojským kloboukem, smajlík, tvář, tvář s kovbojským kloboukem, výraz
🥳	frkačka, gratulace, hurá, jupí, konfety, nadšení, narozeniny, narozky, nejlepší, obličej, oslava, oslavující obličej, pařit, párty, radost, slavit, sláva, smajlík, všechno, zábava, čepička
🥸	brýle, incognito, inkognito, knír, maskovaný, obličej v přestrojení, obočí, přestrojení, převlek, smajlík, tvář, výraz, špehovat, špion
😎	brýle, cool, fešanda, fešák, frajer, jasno, naparovat, obličej, oko, oči, paráda, pláž, rebel, sluneční, smajlík, stylový, usmívající se obličej s brýlemi, uvolněný, vítěz, výraz, úsměv
🤓	brýle, chytrý, geek, inteligentní, nerd, nešika, obličej, obličej šprta, smajlík, tvář, výraz, šplhoun, šprt
🧐	bohatý, boháč, fajnový, konvenční, luxusní, monokl, nóbl, obličej s brýlovým monoklem, obličej s monoklem, prudérní, smajlík, staromódní, tvář, výraz, zámožný
😕	hm, matoucí, meh, nejistý, nevím, obličej, popletený, promiň, smajlík, smutný, tvář, výraz, zmatený, zmatený obličej
🫤	ech, frustrovaný, meh, na pochybách, nejistý, nerozhodný, nic moc, obličej s pusou našikmo, pf, pochyby, skeptický, zklamání, zmatený
😟	bát se, nervozita, nervózní, obavy, obličej, překvapený, smajlík, smutný, starost, starosti, strachovat se, stres, tvář, ustaraný obličej, výraz, výraz obav, úzkostlivý
🙁	mírně zamračený obličej, obličej, smajlík, smutek, smutný, tvář, výraz, výraz mírného zamračení, zamračení
☹️	mračit se, obličej, smajlík, smutek, smutný, tvář, výraz, zamračení, zamračený obličej, zamračený výraz
😮	dokořán, kecáš, nekecej, neuvěřitelné, nevěřím, obličej, obličej s otevřenou pusou, omg, otevřená, pusa, páni, překvapený, smajlík, soucit, tvář, tyjo, vážně, výraz, wow, ústa, šok
😯	obličej, obličej se zaraženým výrazem, ohromený, omg, páni, překvapený, smajlík, tichý, tvář, tyjo, výraz, výraz tváře beze slov, wow, zaražený, šokovaný
😲	naprosto, nekecej, nemožné, není možné, nevěřícný, obličej, ohromený, omg, smajlík, to snad ne, tvář, udivený, užaslý, užaslý obličej, výraz, výraz ohromení, wtf, zaskočený, úplně, úžas, šok
😳	bože, cože, ohromený, provinilý, páni, překvapení, překvapený, rozpaky, stydlivý, stydět, trapas, trapné, udivený, výraz, wow, zrudnout, údiv, červenající se obličej, červenat, šílené
🥺	milost, obličej, prosba, prosebný obličej, prosit, prosící, proč ne, psí oči, pěkně prosím, slitování, smajlík, smutné oči, smutný, škemrat, žadonit, žadonění
🥹	aww, dojetí, emoce, hněv, hrdost, obdiv, obličej se slzami na krajíčku, pláč, pocity, prosík, psí oči, pěkně prosím, rozpaky, sebeovládání, slzičky, slzy na krajíčku, slzy štěstí, smutek, vděčnost
😦	co, cože, obličej, otevřený, polekat se, překvapení, smajlík, tvář, vyděšený, vylekaný, vystrašený, výraz, výraz zamračení s otevřenou pusou, zamračení, zamračený, zamračený obličej s otevřenou pusou, zaražený, zděšený, úlek, ústa
😧	cože, nepříjemný, nešťastný, obličej, obličej s úzkostným výrazem, páni, překvapení, strašidelný, stres, tvář, utrápený, vyděšený, výraz, wow, zmučený, ztrápený, úzkost, šok
😨	bát se, děs, obavy, obličej, smajlík, strach, tvář, ustrašený, ustrašený obličej, vyděšený, výraz, výraz strachu, znepokojený, ztrápený, úzkost, úzkostlivý
😰	chladno, jejda, modrá, nervózní, obličej, otevřený, pot, smajlík, spěchat, studený, tvář, tvář s otevřenou pusou zalitá studeným potem, uspěchaný, uštvaný, vyděšený, vylekaný, výraz, ústa, úzkostný obličej se studeným potem
😥	o chlup, obličej, smajlík, smutný, smutný obličej s výrazem úlevy, tvář, uf, výraz, výraz zklamání a úlevy, zklamání, údiv, úleva, úzkost
😢	brečet, chybět, hrozný, nešťastný, obličej, plakat, plačící obličej, plačící výraz, pláč, ronit slzy, slza, slzička, smajlík, smutek, stýská se mi, tvář, výraz, zkroušený
😭	brečet, naříkat, nešťastný, nářek, obličej, plakat, pláč, potoky slz, slza, smajlík, smutek, tvář, vzlykat, výraz, zoufale plačící obličej, zoufale plačící výraz, řvát
😱	Edvard Munch, bát se, děs, hrůza, křičet strachy, munch, obličej, obličej křičící hrůzou, překvapený, smajlík, strach, tvář, vyděšený, vystrašený, výkřik, výraz, výraz strachu, zděšený, šok, šokovaný
😖	frustrovaný, mrzutý, naštvaný, obličej, obličej s pláčem na krajíčku, otrávený, pocit, podrážděný, překvapený, rozpačitý, rozrušený, smajlík, smutný, tvář, výraz, výraz rozpaků, zatraceně, zmatený, znechucený, škleb
😣	bolest hlavy, koncentrace, migréna, obličej, obličej s umíněným výrazem, smajlík, soustředit se, tvář, umíněnost, vytrvalost, vytrvalý výraz, výraz, šklebit se
😞	deprimovaný, hrůza, nešťastný, obličej, prohrát, provinilý, selhání, skleslý, sklíčený, smajlík, tvář, vina, výraz, zklamaný, zklamaný obličej, zklamání, zkroušený, ztráta
😓	bolest hlavy, chladno, nervózní, obličej, pot, sklíčený obličej se studeným potem, smajlík, smutný, studený, to bylo o chlup, tvář, tvář zalitá studeným potem, vyděšený, výraz
😩	brečet, hladový, naštvaný, ne, neštastný, obličej, ospalý, plakat, selhání, smajlík, smutný, tvář, unavený, utahaný, vyčerpaný obličej, vyčerpání, výraz, zkroušený, únava
😫	kýchat, kýchnutí, obličej, smajlík, smutný, tvář, unavený obličej, unavený výraz, výraz, zdřímnutí, únava
🥱	dobrou noc, nuda, ospalý, smajlík, unavený, utahaný, výraz, zdřímnout si, znuděný, zzz, zívající, zívající obličej, zívat
😤	funět, hněv, navztekaný, naštvaný, obličej, obličej pouštějící páru nosem, odfouknutí, pára, rozhněvaný, rozhořčení, rozlícený, rozzuřený, rozčilený, triumf, vyfouknutí, vztek, vítězství, výraz, zloba, zlost, zuřit
😡	běsnit, hněv, nazlobený, naštvaný, obličej, obličej s podrážděným výrazem, podrážděný, rozhněvaný, rozzuřený, rudý, smajlík, tvář, vztek, výraz, zloba, zlost, zuřivost, zuřivý, červená, červený
😠	frustrovaný, hněv, hněvivý, naštvaný, nešťastný, obličej, rozhněvaný, rozrušený, rozzlobený, rozzlobený obličej, rozzuřený, rozčilený, smajlík, tvář, vztek, vzteklý, výraz, zloba, zlost, zuřivost, zuřivý
🤬	cenzura, klení, klít, lát, láteřit, nadávající, nadávat, nadávka, naštvaný, neslušný, obličej, obličej se symboly na puse, obličej se symboly přes ústa, rozzlobený, smajlík, spílat, tvář, vulgarismy, vulgární, výraz
😈	démon, fantasy, fialový čert, obličej, pohádka, rohatý, rohy, smajlík, tvář, usmívající se obličej s rohy, výraz, úsměv, úsměv s rohy, čert, ďábel, ďáblík, škodolibý
👿	démon, fantasy, navztekaný, naštvaný, obličej, pohádka, rohy, rozzlobený, rozzlobený obličej s rohy, skřet, smajlík, tvář, vztek, výraz, zlomyslný, zlý, zákeřný, čert, ďábel, škodolibý
💀	kostlivec, kostra, lebka, mrtvý, obličej, pohádka, příšera, smajlík, smrt, tvář, tělo, výraz
☠️	kosti, kostra, lebka, lebka a zkřížené hnáty, lebka se zkříženými hnáty, mrtvý, obličej, příšera, smajlík, smrt, tvář, tělo, výraz, zkřížené hnáty
💩	ble, exkrement, fekálie, fuj, hnůj, hovínko, hovňousek, hromádka, lejno, obličej, příšera, smajlík, smradlavý, smrdí, trus, tvář, výkal, výraz, zápach
🤡	kašpar, klaun, klaunský obličej, obličej, smajlík, tvář, tvář klauna, výraz, šašek
👹	bytost, fantasy, japonský, lidožrout, maska, monstrum, obličej, obr, pohádka, příšera, smajlík, strašidlo, strašák, tvář, výraz, zlobr, ďábel
👺	bytost, fantasy, japonský, maska, obličej, pohádka, příšera, rozzlobený, skřet, skřítek, smajlík, strašidlo, strašák, tvář, výraz, zlý, zuřivý, šotek
👻	Halloween, bububu, bubák, bytost, duch, fantasy, obličej, pohádka, příšera, smajlík, strašidelný, strašidlo, tvář, výraz
👽️	UFO, bytost, fantasy, mimozemšťan, obličej, pohádka, příšera, sci-fi, smajlík, tvář, ufo, ufon, ufoun, vesmír, výraz
👾	UFO, bytost, fantasy, hra, marťan, mimozemská příšera, mimozemšťan, obličej, pixely, pohádka, příšera, smajlík, space invaders, tvář, ufo, vesmír, vetřelec, výraz
🤖	automat, obličej, obličej robota, příšera, robot, smajlík, tvář, výraz
😺	hlasitý smích, kočičí úsměv s otevřenou pusou, kočka, obličej, otevřený, pusa, smajlík, tvář, výraz, zvíře, úsměv, ústa, úšklebek, šklebící se kočičí obličej
😸	kočičí široký úsměv s rozzářenýma očima, kočka, křenit se, obličej, oko, smajlík, smát se, tvář, výraz, zvíře, úsměv, úšklebek, řehtat se, šklebící se kočka s usměvavýma očima
😹	brečet smíchy, hlasitý smích, kočičí obličej slzící smíchy, kočka, kočka se slzami radosti, lol, obličej, radost, slza, slzy, slzy smíchu, smajlík, smích, tvář, výraz, zvíře
😻	kočičí úsměv s očima ve tvaru srdíček, kočka, láska, obličej, oko, oči, smajlík, srdce, srdíčka, tvář, usmívající se kočka se srdíčky místo očí, výraz, zamilovaná kočka, zamilovaný, zvíře, úsměv
😼	ironický, ironie, jízlivý, kočičí jízlivý úsměv, kočičí obličej s jízlivým úsměvem, kočka, obličej, sarkastický, smajlík, tvář, výraz, zvíře, úsměv
😽	kočičí polibek se zavřenýma očima, kočka, líbající kočičí obličej, obličej, oko, oči, polibek, pusa, pusinka, smajlík, tvář, výraz, zvíře
🙀	jej, kočičí, kočka, obličej, páni, překvapení, smajlík, tvář, uf, unavená kočka, vyčerpaný, vyčerpaný kočičí obličej, vyčerpání, výraz, wow, zvíře, zívat, únava
😿	kočka, obličej, plakat, plačící kočičí obličej, plačící kočka, pláč, ronit slzy, slza, slzička, smajlík, smutek, smutný, tvář, uplakaný, výraz, zvíře
😾	hněv, kočičí obličej s podrážděným výrazem, kočka, nazlobený, naštvaný, obličej, podrážděná kočka, podráždění, podrážděný, rozzlobený, smajlík, trucující, tvář, vztek, výraz, zloba, zlost, zuřivý, zvíře
🙈	dívat, gesto, ne, nemůžu, nevidím, nevidět, nic, omg, opice, opička „nic nevidím“, oči, ruce, schovat, stydět, tajemství, vyděšený, výraz, zakryté, zlo, zvíře, zákaz
