‾	bovenlijn
👺	fabel, fantasie, gezicht, japans, kobold, masker, monster, mythologie, smiley, sprookje, tengu, wezen
👻	boe, fantasie, geest, gezicht, halloween, monster, spook, spook met tong uit mond, sprookje, uitgestoken tong, wezen
👽️	alien, buitenaards, buitenaards wezen, fantasie, gezicht, monster, ruimte, sprookje, ufo, wezen
👾	alien, buitenaards, buitenaards monster, game, gezicht, monster, pixels, ruimte, space invader, spel, ufo, videogame, wezen
🤖	gezicht, monster, robot
😺	dier, gezicht, grijnzen, grijnzende kat, kat, lach, lachen, mond, open
😸	dier, gezicht, grijns, grijnzend kattengezicht met lachende ogen, grijnzende kat met lachende ogen, kat, lach, oog, vrolijk
😹	dier, gelukstranen, gezicht, grappig, hilarisch, kat, kat met tranen van vreugde, kattengezicht met tranen van geluk, lachen, smiley, traan, tranen, vreugde, vreugdetranen
😻	dier, gezicht, hart, hartjesogen, kat, lach, lachen, lachende kat met hartvormige ogen, liefde, oog
😼	gezicht, gniffelende kat, grimas, ironisch, ironische lach, kat, kattenkwaad, lach, ondeugend kattengezicht, smiley, spottend
😽	dier, gezicht, kat, kus, kussend kattengezicht met gesloten ogen, kussende kat, oog, smiley
🙀	dier, geschokt, geschrokken kat, gezicht, kat, oh nee, smiley, verbazing, vermoeid, vermoeide kat, verrast
😿	dier, gezicht, huilen, huilend, huilende kat, kat, traan, verdrietig
😾	boos, boos kattengezicht, dier, gezicht, kat, mokken, pruilen, pruilende kat, smiley
🙈	aap, beschaamd, dier, gebaar, geen, geen kwaad zien, gezicht, kwaad, niet, niet kijken, schaamte, uit den boze, verboden, verlegen, wil niet zien, zie, zien
🙉	aap, dier, gebaar, geen, geen kwaad horen, geheim, gezicht, horen, kwaad, luisteren, niet, uit den boze, verboden, wil niet horen
🙊	aap, gebaar, geen, geen kwaad spreken, geheim, gezicht, kwaad, niet, oeps, spreken, stiekem, uit den boze, verboden
💌	brief, brief met hart, hart, liefde, liefdesbrief, post, romantiek, valentijn
💘	afspraakje, cupido, date, hart, hart met pijl, hou van jou, hvj, liefde, pijl, pijl door hart, romantiek, valentijn
💝	Valentijn, emotie, hart, hart met strik, hou van jou, hvj, liefde, strik, valentijn, xoxo
💖	fonkelend, fonkelend hart, glinsterend, hart, hou van jou, hvj, spannend, sprankelend, xoxo
💗	emotie, groeiend, groeiend hart, hart, hartslag, hou van jou, hvj, kloppend hart, nerveus, spannend, xoxo
💓	cardio, hart, hartslag, hou van jou, hvj, kloppen, kloppend hart, slaan
💞	draaien, draaiende harten, emotie, hart, harten, jubileum, ronddraaiende harten
💕	hart, hou van jou, hvj, jubileum, liefde, twee harten, xoxo
💟	decoratief hart, emotie, hart, hartdecoratie, paars hart, wit hart
❣️	hart, hart als uitroepteken, hart met druppel eronder, interpunctie, leesteken, punctuatie, teken, uitroep, uitroepteken, uitroepteken met hart
💔	alleen, breken, droevig, eenzaam, emotie, gebroken, gebroken hart, liefdesverdriet, verdrietig
❤‍🔥	branden, hart, hart in vuur en vlam, heilig hart, liefde, lust
❤‍🩹	gezond, gezonder, helend, helend hart, herstellen, herstellend, verbeterend
❤️	emotie, hart, liefde, rood hart
🩷	hart, leuk, liefde, roze, roze hart, schattig
🧡	oranje, oranje hart
💛	emotie, geel, geel hart, hart, hou van jou, hvj, liefde
💚	groen, groen hart, hart, hou van jou, hvj, romantisch, xoxo
💙	blauw, blauw hart, emotie, hart, hou van jou, hvj, liefde, romantiek
🩵	blauwgroen, groenblauw, hart, lichtblauw, lichtblauw hart
💜	emotie, hart, hou van jou, hvj, paars, paars hart
🤎	bruin, bruin hart, hart, liefde, symbool
🖤	hart, kwaad, slecht, verdorven, zwart, zwart hart
🩶	grijs, grijs hart, hart, leigrijs, zilver
🤍	hart, liefde, symbool, wit, wit hart
💋	afdruk, daten, emotie, kus, kusafdruk, liefde, lipafdruk, lippen, romantiek, sexy, zoen
💯	100, 100 punten, beste, cijfer, fantastisch, foutloos, getal, geweldig, maximumscore, score, top, zeker
💢	boos, cartoonesk, kwaad, ontdaan, strip, symbool, teken, woede, woedesymbool
💥	boem, bom, botsen, botsing, ontploffen, strip
💫	cartoonesk, duizelig, ster, strip, vallende ster
💦	druppels, spetteren, sporten, strip, water, work-out, zweet, zweetdruppels
💨	cartoonesk, moet gaan, rennen, rook, scheet, strip, vertrokken, weg, wegrennen, wind
🕳️	gat, hole
💬	aan het typen, ballon, cartoonesk, dialoog, spraak, spraakballon, strip, tekstballon, tekstballon met puntjes
👁‍🗨	ballon, bubbel, getuige, oog, spraak, spraakballon met oog
🗨️	dialoog, spraak, spraakballon naar links, zwarte spraakballon
🗯️	ballon, boze spraakballon naar rechts, kwaad, tekstballon boos, woede, woedeballon, woedeballon naar rechts
💭	ballon, besef, cartoonesk, dagdromen, denkballon, denkwolkje, gedachteballon, gedachten, gedachtenballon, strip, uitvinden, uitvinding
💤	cartoonesk, goedenacht, moe, rust, saai, slaap, slaapsymbool, slaapwel, slapen, slaperig, strip, vermoeid, zzz
👋	ben je er, doei, groet, groeten, hallo, hand, is daar iemand, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand
👋🏻	ben je er, doei, groet, groeten, hallo, hand, is daar iemand, lichte huidskleur, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: lichte huidskleur
👋🏼	ben je er, doei, groet, groeten, hallo, hand, is daar iemand, lichtgetinte huidskleur, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: lichtgetinte huidskleur
👋🏽	ben je er, doei, getinte huidskleur, groet, groeten, hallo, hand, is daar iemand, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: getinte huidskleur
👋🏾	ben je er, doei, donkergetinte huidskleur, groet, groeten, hallo, hand, is daar iemand, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: donkergetinte huidskleur
👋🏿	ben je er, doei, donkere huidskleur, groet, groeten, hallo, hand, is daar iemand, moet gaan, spreek je later, tot later, tot ziens, ttyl, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: donkere huidskleur
🤚	achterkant van opgeheven hand, achterzijde opgestoken hand, hand, hand omhoog, handrug, opgestoken, rug van hand, vijf vingers
🤚🏻	achterkant van opgeheven hand, achterkant van opgeheven hand: lichte huidskleur, achterzijde opgestoken hand, hand, hand omhoog, handrug, lichte huidskleur, opgestoken, rug van hand, vijf vingers
🤚🏼	achterkant van opgeheven hand, achterkant van opgeheven hand: lichtgetinte huidskleur, achterzijde opgestoken hand, hand, hand omhoog, handrug, lichtgetinte huidskleur, opgestoken, rug van hand, vijf vingers
🤚🏽	achterkant van opgeheven hand, achterkant van opgeheven hand: getinte huidskleur, achterzijde opgestoken hand, getinte huidskleur, hand, hand omhoog, handrug, opgestoken, rug van hand, vijf vingers
🤚🏾	achterkant van opgeheven hand, achterkant van opgeheven hand: donkergetinte huidskleur, achterzijde opgestoken hand, donkergetinte huidskleur, hand, hand omhoog, handrug, opgestoken, rug van hand, vijf vingers
🤚🏿	achterkant van opgeheven hand, achterkant van opgeheven hand: donkere huidskleur, achterzijde opgestoken hand, donkere huidskleur, hand, hand omhoog, handrug, opgestoken, rug van hand, vijf vingers
🖐️	hand, opgeheven, opgeheven hand met uitgestoken vingers, stop, uitgestoken, vinger, vingers
🖐🏻	hand, lichte huidskleur, opgeheven, opgeheven hand met uitgestoken vingers: lichte huidskleur, stop, uitgestoken, vinger, vingers
🖐🏼	hand, lichtgetinte huidskleur, opgeheven, opgeheven hand met uitgestoken vingers: lichtgetinte huidskleur, stop, uitgestoken, vinger, vingers
🖐🏽	getinte huidskleur, hand, opgeheven, opgeheven hand met uitgestoken vingers: getinte huidskleur, stop, uitgestoken, vinger, vingers
🖐🏾	donkergetinte huidskleur, hand, opgeheven, opgeheven hand met uitgestoken vingers: donkergetinte huidskleur, stop, uitgestoken, vinger, vingers
🖐🏿	donkere huidskleur, hand, opgeheven, opgeheven hand met uitgestoken vingers: donkere huidskleur, stop, uitgestoken, vinger, vingers
✋️	5, hand, hoog, opgeheven, opgeheven hand, stop, vijf
✋🏻	5, hand, hoog, lichte huidskleur, opgeheven, opgeheven hand: lichte huidskleur, stop, vijf
✋🏼	5, hand, hoog, lichtgetinte huidskleur, opgeheven, opgeheven hand: lichtgetinte huidskleur, stop, vijf
✋🏽	5, getinte huidskleur, hand, hoog, opgeheven, opgeheven hand: getinte huidskleur, stop, vijf
✋🏾	5, donkergetinte huidskleur, hand, hoog, opgeheven, opgeheven hand: donkergetinte huidskleur, stop, vijf
✋🏿	5, donkere huidskleur, hand, hoog, opgeheven, opgeheven hand: donkere huidskleur, stop, vijf
🖖	Vulcaanse groet, hand, leef lang en voorspoedig, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🖖🏻	Vulcaanse groet, Vulcaanse groet: lichte huidskleur, hand, leef lang en voorspoedig, lichte huidskleur, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🖖🏼	Vulcaanse groet, Vulcaanse groet: lichtgetinte huidskleur, hand, leef lang en voorspoedig, lichtgetinte huidskleur, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🖖🏽	Vulcaanse groet, Vulcaanse groet: getinte huidskleur, getinte huidskleur, hand, leef lang en voorspoedig, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🖖🏾	Vulcaanse groet, Vulcaanse groet: donkergetinte huidskleur, donkergetinte huidskleur, hand, leef lang en voorspoedig, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🖖🏿	Vulcaanse groet, Vulcaanse groet: donkere huidskleur, donkere huidskleur, hand, leef lang en voorspoedig, spock, star trek, vinger, vulcaanse groet, vulcan, vulcangroet
🫱	hand, hand naar rechts, handdruk, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏻	hand, hand naar rechts: lichte huidskleur, handdruk, lichte huidskleur, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏼	hand, hand naar rechts: lichtgetinte huidskleur, handdruk, lichtgetinte huidskleur, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏽	getinte huidskleur, hand, hand naar rechts: getinte huidskleur, handdruk, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏾	donkergetinte huidskleur, hand, hand naar rechts: donkergetinte huidskleur, handdruk, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏿	donkere huidskleur, hand, hand naar rechts: donkere huidskleur, handdruk, naar rechts, rechts, reiken, schudden, vasthouden
🫱🏻‍🫲🏼	deal, hand, handdruk, handdruk: lichte huidskleur, lichtgetinte huidskleur, lichte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏻‍🫲🏽	deal, getinte huidskleur, hand, handdruk, handdruk: lichte huidskleur, getinte huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏻‍🫲🏾	deal, donkergetinte huidskleur, hand, handdruk, handdruk: lichte huidskleur, donkergetinte huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏻‍🫲🏿	deal, donkere huidskleur, hand, handdruk, handdruk: lichte huidskleur, donkere huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏼‍🫲🏻	deal, hand, handdruk, handdruk: lichtgetinte huidskleur, lichte huidskleur, lichte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏼‍🫲🏽	deal, getinte huidskleur, hand, handdruk, handdruk: lichtgetinte huidskleur, getinte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏼‍🫲🏾	deal, donkergetinte huidskleur, hand, handdruk, handdruk: lichtgetinte huidskleur, donkergetinte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏼‍🫲🏿	deal, donkere huidskleur, hand, handdruk, handdruk: lichtgetinte huidskleur, donkere huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏽‍🫲🏻	deal, getinte huidskleur, hand, handdruk, handdruk: getinte huidskleur, lichte huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏽‍🫲🏼	deal, getinte huidskleur, hand, handdruk, handdruk: getinte huidskleur, lichtgetinte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏽‍🫲🏾	deal, donkergetinte huidskleur, getinte huidskleur, hand, handdruk, handdruk: getinte huidskleur, donkergetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏽‍🫲🏿	deal, donkere huidskleur, getinte huidskleur, hand, handdruk, handdruk: getinte huidskleur, donkere huidskleur, overeenkomst, schudden, vergadering
🫱🏾‍🫲🏻	deal, donkergetinte huidskleur, hand, handdruk, handdruk: donkergetinte huidskleur, lichte huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏾‍🫲🏼	deal, donkergetinte huidskleur, hand, handdruk, handdruk: donkergetinte huidskleur, lichtgetinte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏾‍🫲🏽	deal, donkergetinte huidskleur, getinte huidskleur, hand, handdruk, handdruk: donkergetinte huidskleur, getinte huidskleur, overeenkomst, schudden, vergadering
🫱🏾‍🫲🏿	deal, donkere huidskleur, donkergetinte huidskleur, hand, handdruk, handdruk: donkergetinte huidskleur, donkere huidskleur, overeenkomst, schudden, vergadering
🫱🏿‍🫲🏻	deal, donkere huidskleur, hand, handdruk, handdruk: donkere huidskleur, lichte huidskleur, lichte huidskleur, overeenkomst, schudden, vergadering
🫱🏿‍🫲🏼	deal, donkere huidskleur, hand, handdruk, handdruk: donkere huidskleur, lichtgetinte huidskleur, lichtgetinte huidskleur, overeenkomst, schudden, vergadering
🫱🏿‍🫲🏽	deal, donkere huidskleur, getinte huidskleur, hand, handdruk, handdruk: donkere huidskleur, getinte huidskleur, overeenkomst, schudden, vergadering
🫱🏿‍🫲🏾	deal, donkere huidskleur, donkergetinte huidskleur, hand, handdruk, handdruk: donkere huidskleur, donkergetinte huidskleur, overeenkomst, schudden, vergadering
🫲	eens, hand, hand naar links, handdruk, links, naar links, uitgestoken hand
🫲🏻	eens, hand, hand naar links, hand naar links: lichte huidskleur, handdruk, lichte huidskleur, links, naar links, uitgestoken hand
🫲🏼	eens, hand, hand naar links, hand naar links: lichtgetinte huidskleur, handdruk, lichtgetinte huidskleur, links, naar links, uitgestoken hand
🫲🏽	eens, getinte huidskleur, hand, hand naar links, hand naar links: getinte huidskleur, handdruk, links, naar links, uitgestoken hand
🫲🏾	donkergetinte huidskleur, eens, hand, hand naar links, hand naar links: donkergetinte huidskleur, handdruk, links, naar links, uitgestoken hand
🫲🏿	donkere huidskleur, eens, hand, hand naar links, hand naar links: donkere huidskleur, handdruk, links, naar links, uitgestoken hand
🫳	hand, handpalm omlaag, laten vallen, oprapen, wegjagen, wegsturen
🫳🏻	hand, handpalm omlaag, handpalm omlaag: lichte huidskleur, laten vallen, lichte huidskleur, oprapen, wegjagen, wegsturen
🫳🏼	hand, handpalm omlaag, handpalm omlaag: lichtgetinte huidskleur, laten vallen, lichtgetinte huidskleur, oprapen, wegjagen, wegsturen
🫳🏽	getinte huidskleur, hand, handpalm omlaag, handpalm omlaag: getinte huidskleur, laten vallen, oprapen, wegjagen, wegsturen
🫳🏾	donkergetinte huidskleur, hand, handpalm omlaag, handpalm omlaag: donkergetinte huidskleur, laten vallen, oprapen, wegjagen, wegsturen
🫳🏿	donkere huidskleur, hand, handpalm omlaag, handpalm omlaag: donkere huidskleur, laten vallen, oprapen, wegjagen, wegsturen
🫴	aanbieden, hand, handpalm omhoog, kom, vangen, wenken
🫴🏻	aanbieden, hand, handpalm omhoog, handpalm omhoog: lichte huidskleur, kom, lichte huidskleur, vangen, wenken
🫴🏼	aanbieden, hand, handpalm omhoog, handpalm omhoog: lichtgetinte huidskleur, kom, lichtgetinte huidskleur, vangen, wenken
🫴🏽	aanbieden, getinte huidskleur, hand, handpalm omhoog, handpalm omhoog: getinte huidskleur, kom, vangen, wenken
🫴🏾	aanbieden, donkergetinte huidskleur, hand, handpalm omhoog, handpalm omhoog: donkergetinte huidskleur, kom, vangen, wenken
🫴🏿	aanbieden, donkere huidskleur, hand, handpalm omhoog, handpalm omhoog: donkere huidskleur, kom, vangen, wenken
🫷	duwen, hand die naar links duwt, high five, naar links, stoppen, wachten, weigeren
🫷🏻	duwen, hand die naar links duwt, hand die naar links duwt: lichte huidskleur, high five, lichte huidskleur, naar links, stoppen, wachten, weigeren
🫷🏼	duwen, hand die naar links duwt, hand die naar links duwt: lichtgetinte huidskleur, high five, lichtgetinte huidskleur, naar links, stoppen, wachten, weigeren
🫷🏽	duwen, getinte huidskleur, hand die naar links duwt, hand die naar links duwt: getinte huidskleur, high five, naar links, stoppen, wachten, weigeren
🫷🏾	donkergetinte huidskleur, duwen, hand die naar links duwt, hand die naar links duwt: donkergetinte huidskleur, high five, naar links, stoppen, wachten, weigeren
🫷🏿	donkere huidskleur, duwen, hand die naar links duwt, hand die naar links duwt: donkere huidskleur, high five, naar links, stoppen, wachten, weigeren
🫸	duwen, hand die naar rechts duwt, high five, naar rechts, stoppen, wachten, weigeren
🫸🏻	duwen, hand die naar rechts duwt, hand die naar rechts duwt: lichte huidskleur, high five, lichte huidskleur, naar rechts, stoppen, wachten, weigeren
🫸🏼	duwen, hand die naar rechts duwt, hand die naar rechts duwt: lichtgetinte huidskleur, high five, lichtgetinte huidskleur, naar rechts, stoppen, wachten, weigeren
🫸🏽	duwen, getinte huidskleur, hand die naar rechts duwt, hand die naar rechts duwt: getinte huidskleur, high five, naar rechts, stoppen, wachten, weigeren
🫸🏾	donkergetinte huidskleur, duwen, hand die naar rechts duwt, hand die naar rechts duwt: donkergetinte huidskleur, high five, naar rechts, stoppen, wachten, weigeren
