‾	brūkšnys viršuje
💌	laiškas, meilė, meilės laiškas, paštas, širdis
💘	Valentino diena, bučinys, lūpos, širdelė, širdelė su strėle
💝	kaspinas, metinės, valentino diena, širdelė su kaspinu
💖	susijaudinimas, širdelė, žėrinti širdelė, žėrėti
💗	auganti širdelė, didėjimas, myliu, pulsas, susijaudinimas, susinervinęs, širdelė
💓	plakanti, plakanti širdelė, pulsavimas, širdelė, širdies plakimas, širdis
💞	besisukančios širdelės, suktis, širdelė
💕	dvi širdelės, emocijos, meilė, metinės
💟	emocija, purpurinė, širdelė, širdelės dekoracija, širdis
❣️	skyryba, storas širdelės formos šauktukas, šauktukas, širdelė, širdis, ženklas
💔	emocija, liūdnas, sudaužyta, sudaužyta širdelė, sudaužyti, širdelė
❤‍🔥	deganti širdis
❤‍🩹	atsigauna, atsigaunanti, gerai, gydytina širdis, sveikesnis, taisymas, tobulinti
❤️	raudona, raudona širdelė, širdelė, širdis
🩷	aš tave myliu, emocija, meilė, miela, myliu, patinka, rožinė, rožinė širdelė, ypatinga, širdis, žavinga
🧡	oranžinė, oranžinė širdelė, širdelė
💛	geltona, geltona širdelė, širdelė
💚	širdelė, žalia, žalia širdelė
💙	mėlyna, mėlyna širdelė, širdelė
🩵	aš tave myliu, emocija, meilė, miela, patinka, širdis, šviesiai mėlyna, šviesiai mėlyna širdelė, žalsvai mėlyna, žydra
💜	purpurinė, purpurinė širdelė, širdelė
🤎	ruda, ruda širdelė, širdelė
🖤	blogis, juoda, juoda širdis, širdelė, širdis
🩶	aš tave myliu, emocija, granitas, meilė, pilka, pilka širdelė, sidabras, ypatinga, širdis
🤍	balta, balta širdelė, širdelė
💋	bučinio žymė, bučinys, emocija, lūpos
💯	100, pilnas, rezultatas, užtikrintai, šimtas, šimtas taškų
💢	komiksas, piktas, pykčio simbolis, supykęs
💥	bum, komiksas, susidūrimas
💫	apsvaigęs, komiksas, krentanti žvaigždė, žvaigždė
💦	komiksas, lašai, prakaitas, prakaito lašeliai, taškymas
💨	bėgimas, dulkės, komiksas, sukeltos dulkės
🕳️	duobė
💬	balionas, debesėlis, dialogas, kalba, kalbos debesėlis, komiksas
👁‍🗨	akis, akis kalbėjimo burbule, kalbėjimo burbulas, liudjimas
🗨️	dialogas, kairysis kalbos debesėlis, kalba
🗯️	balionas, debesėlis, dešinysis pykčio debesėlis, piktas, įsiutęs
💭	balionas, debesėlis, komiksas, minties debesėlis, mintis, svajoti
💤	komiksas, miegas, miego simbolis, pavargęs
👋	mojuoja, mojuojanti ranka, mojuoti, ranka
👋🏻	mojuoja, mojuojanti ranka, mojuojanti ranka: šviesios odos, mojuoti, ranka, šviesios odos
👋🏼	mojuoja, mojuojanti ranka, mojuojanti ranka: vidutinio gymio, mojuoti, ranka, vidutinio gymio
👋🏽	mojuoja, mojuojanti ranka, mojuojanti ranka: rusvos odos, mojuoti, ranka, rusvos odos
👋🏾	mojuoja, mojuojanti ranka, mojuojanti ranka: tamsios odos, mojuoti, ranka, tamsios odos
👋🏿	itin tamsios odos, mojuoja, mojuojanti ranka, mojuojanti ranka: itin tamsios odos, mojuoti, ranka
🤚	pakelta, pakelta viršutinė plaštakos pusė, plaštaka, ranka
🤚🏻	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: šviesios odos, plaštaka, ranka, šviesios odos
🤚🏼	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: vidutinio gymio, plaštaka, ranka, vidutinio gymio
🤚🏽	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: rusvos odos, plaštaka, ranka, rusvos odos
🤚🏾	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: tamsios odos, plaštaka, ranka, tamsios odos
🤚🏿	itin tamsios odos, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: itin tamsios odos, plaštaka, ranka
🖐️	iškelta ranka su išskėstais pirštais, išskėsta, pirštas, ranka, stop
🖐🏻	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: šviesios odos, išskėsta, pirštas, ranka, stop, šviesios odos
🖐🏼	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: vidutinio gymio, išskėsta, pirštas, ranka, stop, vidutinio gymio
🖐🏽	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: rusvos odos, išskėsta, pirštas, ranka, rusvos odos, stop
🖐🏾	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: tamsios odos, išskėsta, pirštas, ranka, stop, tamsios odos
🖐🏿	itin tamsios odos, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: itin tamsios odos, išskėsta, pirštas, ranka, stop
✋️	duok penkis, iškelta ranka, ranka
✋🏻	duok penkis, iškelta ranka, iškelta ranka: šviesios odos, ranka, šviesios odos
✋🏼	duok penkis, iškelta ranka, iškelta ranka: vidutinio gymio, ranka, vidutinio gymio
✋🏽	duok penkis, iškelta ranka, iškelta ranka: rusvos odos, ranka, rusvos odos
✋🏾	duok penkis, iškelta ranka, iškelta ranka: tamsios odos, ranka, tamsios odos
✋🏿	duok penkis, itin tamsios odos, iškelta ranka, iškelta ranka: itin tamsios odos, ranka
🖖	kūnas, pasisveikinimas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, žvaigždžių kelias
🖖🏻	kūnas, pasisveikinimas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: šviesios odos, šviesios odos, žvaigždžių kelias
🖖🏼	kūnas, pasisveikinimas, pirštas, ranka, vidutinio gymio, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: vidutinio gymio, žvaigždžių kelias
🖖🏽	kūnas, pasisveikinimas, pirštas, ranka, rusvos odos, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: rusvos odos, žvaigždžių kelias
🖖🏾	kūnas, pasisveikinimas, pirštas, ranka, tamsios odos, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: tamsios odos, žvaigždžių kelias
🖖🏿	itin tamsios odos, kūnas, pasisveikinimas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: itin tamsios odos, žvaigždžių kelias
🫱	dešinioji ranka, dešinė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į dešinę, į dešinę rodanti ranka
🫱🏻	dešinioji ranka, dešinė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į dešinę, į dešinę rodanti ranka, į dešinę rodanti ranka: šviesios odos, šviesios odos
🫱🏼	dešinioji ranka, dešinė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, vidutinio gymio, į dešinę, į dešinę rodanti ranka, į dešinę rodanti ranka: vidutinio gymio
🫱🏽	dešinioji ranka, dešinė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, rusvos odos, į dešinę, į dešinę rodanti ranka, į dešinę rodanti ranka: rusvos odos
🫱🏾	dešinioji ranka, dešinė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, tamsios odos, į dešinę, į dešinę rodanti ranka, į dešinę rodanti ranka: tamsios odos
🫱🏿	dešinioji ranka, dešinė, itin tamsios odos, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į dešinę, į dešinę rodanti ranka, į dešinę rodanti ranka: itin tamsios odos
🫱🏻‍🫲🏼	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: šviesios odos vidutinio gymio, susitarimas, vidutinio gymio, šviesios odos
🫱🏻‍🫲🏽	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: šviesios odos rusvos odos, rusvos odos, susitarimas, šviesios odos
🫱🏻‍🫲🏾	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: šviesios odos tamsios odos, susitarimas, tamsios odos, šviesios odos
🫱🏻‍🫲🏿	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: šviesios odos itin tamsios odos, susitarimas, šviesios odos
🫱🏼‍🫲🏻	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: vidutinio gymio šviesios odos, susitarimas, vidutinio gymio, šviesios odos
🫱🏼‍🫲🏽	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: vidutinio gymio rusvos odos, rusvos odos, susitarimas, vidutinio gymio
🫱🏼‍🫲🏾	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: vidutinio gymio tamsios odos, susitarimas, tamsios odos, vidutinio gymio
🫱🏼‍🫲🏿	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: vidutinio gymio itin tamsios odos, susitarimas, vidutinio gymio
🫱🏽‍🫲🏻	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: rusvos odos šviesios odos, rusvos odos, susitarimas, šviesios odos
🫱🏽‍🫲🏼	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: rusvos odos vidutinio gymio, rusvos odos, susitarimas, vidutinio gymio
🫱🏽‍🫲🏾	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: rusvos odos tamsios odos, rusvos odos, susitarimas, tamsios odos
🫱🏽‍🫲🏿	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: rusvos odos itin tamsios odos, rusvos odos, susitarimas
🫱🏾‍🫲🏻	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: tamsios odos šviesios odos, susitarimas, tamsios odos, šviesios odos
🫱🏾‍🫲🏼	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: tamsios odos vidutinio gymio, susitarimas, tamsios odos, vidutinio gymio
🫱🏾‍🫲🏽	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: tamsios odos rusvos odos, rusvos odos, susitarimas, tamsios odos
🫱🏾‍🫲🏿	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: tamsios odos itin tamsios odos, susitarimas, tamsios odos
🫱🏿‍🫲🏻	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: itin tamsios odos šviesios odos, susitarimas, šviesios odos
🫱🏿‍🫲🏼	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: itin tamsios odos vidutinio gymio, susitarimas, vidutinio gymio
🫱🏿‍🫲🏽	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: itin tamsios odos rusvos odos, rusvos odos, susitarimas
🫱🏿‍🫲🏾	itin tamsios odos, pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, rankos paspaudimas: itin tamsios odos tamsios odos, susitarimas, tamsios odos
🫲	kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į kairę, į kairę rodanti ranka
🫲🏻	kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į kairę, į kairę rodanti ranka, į kairę rodanti ranka: šviesios odos, šviesios odos
🫲🏼	kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, vidutinio gymio, į kairę, į kairę rodanti ranka, į kairę rodanti ranka: vidutinio gymio
🫲🏽	kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, rusvos odos, į kairę, į kairę rodanti ranka, į kairę rodanti ranka: rusvos odos
🫲🏾	kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, tamsios odos, į kairę, į kairę rodanti ranka, į kairę rodanti ranka: tamsios odos
🫲🏿	itin tamsios odos, kairioji ranka, kairė, pasisveikinimas, ranka, rankos paspaudimas, rankos tiesimas, į kairę, į kairę rodanti ranka, į kairę rodanti ranka: itin tamsios odos
🫳	imti, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, štiš
🫳🏻	imti, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, ranka delnu žemyn: šviesios odos, štiš, šviesios odos
🫳🏼	imti, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, ranka delnu žemyn: vidutinio gymio, vidutinio gymio, štiš
🫳🏽	imti, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, ranka delnu žemyn: rusvos odos, rusvos odos, štiš
🫳🏾	imti, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, ranka delnu žemyn: tamsios odos, tamsios odos, štiš
🫳🏿	imti, itin tamsios odos, nekreipti dėmesio, numesta, numesti, paimti, ranka, ranka delnu žemyn, ranka delnu žemyn: itin tamsios odos, štiš
🫴	ateik, gaudyti, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, siūlymas
🫴🏻	ateik, gaudyti, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, ranka delnu į viršų: šviesios odos, siūlymas, šviesios odos
🫴🏼	ateik, gaudyti, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, ranka delnu į viršų: vidutinio gymio, siūlymas, vidutinio gymio
🫴🏽	ateik, gaudyti, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, ranka delnu į viršų: rusvos odos, rusvos odos, siūlymas
🫴🏾	ateik, gaudyti, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, ranka delnu į viršų: tamsios odos, siūlymas, tamsios odos
🫴🏿	ateik, gaudyti, itin tamsios odos, kviesti, nežinau, papasakok, ranka, ranka delnu į viršų, ranka delnu į viršų: itin tamsios odos, siūlymas
🫷	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, į kairę, į kairę stumianti ranka
🫷🏻	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, į kairę, į kairę stumianti ranka, į kairę stumianti ranka: šviesios odos, šviesios odos
🫷🏼	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, vidutinio gymio, į kairę, į kairę stumianti ranka, į kairę stumianti ranka: vidutinio gymio
🫷🏽	atsisakyti, blokuoti, duok penkis, laukti, rusvos odos, stumti, sulaikyti, sustoti, į kairę, į kairę stumianti ranka, į kairę stumianti ranka: rusvos odos
🫷🏾	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, tamsios odos, į kairę, į kairę stumianti ranka, į kairę stumianti ranka: tamsios odos
🫷🏿	atsisakyti, blokuoti, duok penkis, itin tamsios odos, laukti, stumti, sulaikyti, sustoti, į kairę, į kairę stumianti ranka, į kairę stumianti ranka: itin tamsios odos
🫸	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, į dešinę, į dešinę stumianti ranka
🫸🏻	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, į dešinę, į dešinę stumianti ranka, į dešinę stumianti ranka: šviesios odos, šviesios odos
🫸🏼	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, vidutinio gymio, į dešinę, į dešinę stumianti ranka, į dešinę stumianti ranka: vidutinio gymio
🫸🏽	atsisakyti, blokuoti, duok penkis, laukti, rusvos odos, stumti, sulaikyti, sustoti, į dešinę, į dešinę stumianti ranka, į dešinę stumianti ranka: rusvos odos
🫸🏾	atsisakyti, blokuoti, duok penkis, laukti, stumti, sulaikyti, sustoti, tamsios odos, į dešinę, į dešinę stumianti ranka, į dešinę stumianti ranka: tamsios odos
🫸🏿	atsisakyti, blokuoti, duok penkis, itin tamsios odos, laukti, stumti, sulaikyti, sustoti, į dešinę, į dešinę stumianti ranka, į dešinę stumianti ranka: itin tamsios odos
👌	GERAI ženklas rankomis, OK, gerai, ranka
👌🏻	GERAI ženklas rankomis, GERAI ženklas rankomis: šviesios odos, OK, gerai, ranka, šviesios odos
👌🏼	GERAI ženklas rankomis, GERAI ženklas rankomis: vidutinio gymio, OK, gerai, ranka, vidutinio gymio
👌🏽	GERAI ženklas rankomis, GERAI ženklas rankomis: rusvos odos, OK, gerai, ranka, rusvos odos
👌🏾	GERAI ženklas rankomis, GERAI ženklas rankomis: tamsios odos, OK, gerai, ranka, tamsios odos
👌🏿	GERAI ženklas rankomis, GERAI ženklas rankomis: itin tamsios odos, OK, gerai, itin tamsios odos, ranka
🤌	pirštai, rankos gestas, sarkastiškas, suspausti, suspausti pirštai
🤌🏻	pirštai, rankos gestas, sarkastiškas, suspausti, suspausti pirštai: šviesios odos, šviesios odos
🤌🏼	pirštai, rankos gestas, sarkastiškas, suspausti, suspausti pirštai: vidutinio gymio, vidutinio gymio
🤌🏽	pirštai, rankos gestas, rusvos odos, sarkastiškas, suspausti, suspausti pirštai: rusvos odos
🤌🏾	pirštai, rankos gestas, sarkastiškas, suspausti, suspausti pirštai: tamsios odos, tamsios odos
🤌🏿	itin tamsios odos, pirštai, rankos gestas, sarkastiškas, suspausti, suspausti pirštai: itin tamsios odos
🤏	mažai, mažas kiekis, pirštai, žnybianti ranka
🤏🏻	mažai, mažas kiekis, pirštai, šviesios odos, žnybianti ranka, žnybianti ranka: šviesios odos
🤏🏼	mažai, mažas kiekis, pirštai, vidutinio gymio, žnybianti ranka, žnybianti ranka: vidutinio gymio
🤏🏽	mažai, mažas kiekis, pirštai, rusvos odos, žnybianti ranka, žnybianti ranka: rusvos odos
🤏🏾	mažai, mažas kiekis, pirštai, tamsios odos, žnybianti ranka, žnybianti ranka: tamsios odos
🤏🏿	itin tamsios odos, mažai, mažas kiekis, pirštai, žnybianti ranka, žnybianti ranka: itin tamsios odos
✌️	pergalė, pergalės ženklą rodanti ranka, ranka, v
✌🏻	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: šviesios odos, ranka, v, šviesios odos
✌🏼	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: vidutinio gymio, ranka, v, vidutinio gymio
✌🏽	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: rusvos odos, ranka, rusvos odos, v
✌🏾	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: tamsios odos, ranka, tamsios odos, v
✌🏿	itin tamsios odos, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: itin tamsios odos, ranka, v
🤞	kryžiuoti, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sėkmė
🤞🏻	kryžiuoti, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: šviesios odos, sėkmė, šviesios odos
🤞🏼	kryžiuoti, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: vidutinio gymio, sėkmė, vidutinio gymio
