‾	overline
🤚🏽	baliktad, katamtamang kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang kulay ng balat
🤚🏾	baliktad, katamtamang dark na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang dark na kulay ng balat
🤚🏿	baliktad, dark na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: dark na kulay ng balat
🖐️	daliri, kamay, nakabukas na kamay, nakataas na nakabukas na kamay, palad, tumigil
🖐🏻	daliri, kamay, light na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: light na kulay ng balat, palad, tumigil
🖐🏼	daliri, kamay, katamtamang light na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang light na kulay ng balat, palad, tumigil
🖐🏽	daliri, kamay, katamtamang kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang kulay ng balat, palad, tumigil
🖐🏾	daliri, kamay, katamtamang dark na kulay ng balat, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: katamtamang dark na kulay ng balat, palad, tumigil
🖐🏿	daliri, dark na kulay ng balat, kamay, nakabukas na kamay, nakataas na nakabukas na kamay, nakataas na nakabukas na kamay: dark na kulay ng balat, palad, tumigil
✋️	apir, high five, hinto, kamay, nakataas na kamay, palad
✋🏻	apir, high five, hinto, kamay, light na kulay ng balat, nakataas na kamay, nakataas na kamay: light na kulay ng balat, palad
✋🏼	apir, high five, hinto, kamay, katamtamang light na kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang light na kulay ng balat, palad
✋🏽	apir, high five, hinto, kamay, katamtamang kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang kulay ng balat, palad
✋🏾	apir, high five, hinto, kamay, katamtamang dark na kulay ng balat, nakataas na kamay, nakataas na kamay: katamtamang dark na kulay ng balat, palad
✋🏿	apir, dark na kulay ng balat, high five, hinto, kamay, nakataas na kamay, nakataas na kamay: dark na kulay ng balat, palad
🖖	daliri, kamay, spock, star trek, vulcan salute
🖖🏻	daliri, kamay, light na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: light na kulay ng balat
🖖🏼	daliri, kamay, katamtamang light na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang light na kulay ng balat
🖖🏽	daliri, kamay, katamtamang kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang kulay ng balat
🖖🏾	daliri, kamay, katamtamang dark na kulay ng balat, spock, star trek, vulcan salute, vulcan salute: katamtamang dark na kulay ng balat
🖖🏿	daliri, dark na kulay ng balat, kamay, spock, star trek, vulcan salute, vulcan salute: dark na kulay ng balat
🫱	abot, handshake, kamay, kanan, kanang kamay, pakanang kamay
🫱🏻	abot, handshake, kamay, kanan, kanang kamay, light na kulay ng balat, pakanang kamay, pakanang kamay: light na kulay ng balat
🫱🏼	abot, handshake, kamay, kanan, kanang kamay, katamtamang light na kulay ng balat, pakanang kamay, pakanang kamay: katamtamang light na kulay ng balat
🫱🏽	abot, handshake, kamay, kanan, kanang kamay, katamtamang kulay ng balat, pakanang kamay, pakanang kamay: katamtamang kulay ng balat
🫱🏾	abot, handshake, kamay, kanan, kanang kamay, katamtamang dark na kulay ng balat, pakanang kamay, pakanang kamay: katamtamang dark na kulay ng balat
🫱🏿	abot, dark na kulay ng balat, handshake, kamay, kanan, kanang kamay, pakanang kamay, pakanang kamay: dark na kulay ng balat
🫱🏻‍🫲🏼	kamay, kasunduan, katamtamang light na kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: light na kulay ng balat, katamtamang light na kulay ng balat, shake hands
🫱🏻‍🫲🏽	kamay, kasunduan, katamtamang kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: light na kulay ng balat, katamtamang kulay ng balat, shake hands
🫱🏻‍🫲🏾	kamay, kasunduan, katamtamang dark na kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: light na kulay ng balat, katamtamang dark na kulay ng balat, shake hands
🫱🏻‍🫲🏿	dark na kulay ng balat, kamay, kasunduan, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: light na kulay ng balat, dark na kulay ng balat, shake hands
🫱🏼‍🫲🏻	kamay, kasunduan, katamtamang light na kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang light na kulay ng balat, light na kulay ng balat, shake hands
🫱🏼‍🫲🏽	kamay, kasunduan, katamtamang kulay ng balat, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang light na kulay ng balat, katamtamang kulay ng balat, shake hands
🫱🏼‍🫲🏾	kamay, kasunduan, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, shake hands
🫱🏼‍🫲🏿	dark na kulay ng balat, kamay, kasunduan, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang light na kulay ng balat, dark na kulay ng balat, shake hands
🫱🏽‍🫲🏻	kamay, kasunduan, katamtamang kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang kulay ng balat, light na kulay ng balat, shake hands
🫱🏽‍🫲🏼	kamay, kasunduan, katamtamang kulay ng balat, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang kulay ng balat, katamtamang light na kulay ng balat, shake hands
🫱🏽‍🫲🏾	kamay, kasunduan, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang kulay ng balat, katamtamang dark na kulay ng balat, shake hands
🫱🏽‍🫲🏿	dark na kulay ng balat, kamay, kasunduan, katamtamang kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang kulay ng balat, dark na kulay ng balat, shake hands
🫱🏾‍🫲🏻	kamay, kasunduan, katamtamang dark na kulay ng balat, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang dark na kulay ng balat, light na kulay ng balat, shake hands
🫱🏾‍🫲🏼	kamay, kasunduan, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, shake hands
🫱🏾‍🫲🏽	kamay, kasunduan, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang dark na kulay ng balat, katamtamang kulay ng balat, shake hands
🫱🏾‍🫲🏿	dark na kulay ng balat, kamay, kasunduan, katamtamang dark na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang dark na kulay ng balat, dark na kulay ng balat, shake hands
🫱🏿‍🫲🏻	dark na kulay ng balat, kamay, kasunduan, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: dark na kulay ng balat, light na kulay ng balat, shake hands
🫱🏿‍🫲🏼	dark na kulay ng balat, kamay, kasunduan, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: dark na kulay ng balat, katamtamang light na kulay ng balat, shake hands
🫱🏿‍🫲🏽	dark na kulay ng balat, kamay, kasunduan, katamtamang kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: dark na kulay ng balat, katamtamang kulay ng balat, shake hands
🫱🏿‍🫲🏾	dark na kulay ng balat, kamay, kasunduan, katamtamang dark na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: dark na kulay ng balat, katamtamang dark na kulay ng balat, shake hands
🫲	abot, handshake, kaliwa, kaliwang kamay, kamay, pakaliwang kamay
🫲🏻	abot, handshake, kaliwa, kaliwang kamay, kamay, light na kulay ng balat, pakaliwang kamay, pakaliwang kamay: light na kulay ng balat
🫲🏼	abot, handshake, kaliwa, kaliwang kamay, kamay, katamtamang light na kulay ng balat, pakaliwang kamay, pakaliwang kamay: katamtamang light na kulay ng balat
🫲🏽	abot, handshake, kaliwa, kaliwang kamay, kamay, katamtamang kulay ng balat, pakaliwang kamay, pakaliwang kamay: katamtamang kulay ng balat
🫲🏾	abot, handshake, kaliwa, kaliwang kamay, kamay, katamtamang dark na kulay ng balat, pakaliwang kamay, pakaliwang kamay: katamtamang dark na kulay ng balat
🫲🏿	abot, dark na kulay ng balat, handshake, kaliwa, kaliwang kamay, kamay, pakaliwang kamay, pakaliwang kamay: dark na kulay ng balat
🫳	bitaw, dampot, kamay, kuha, nakataob na palad, pulot
🫳🏻	bitaw, dampot, kamay, kuha, light na kulay ng balat, nakataob na palad, nakataob na palad: light na kulay ng balat, pulot
🫳🏼	bitaw, dampot, kamay, katamtamang light na kulay ng balat, kuha, nakataob na palad, nakataob na palad: katamtamang light na kulay ng balat, pulot
🫳🏽	bitaw, dampot, kamay, katamtamang kulay ng balat, kuha, nakataob na palad, nakataob na palad: katamtamang kulay ng balat, pulot
🫳🏾	bitaw, dampot, kamay, katamtamang dark na kulay ng balat, kuha, nakataob na palad, nakataob na palad: katamtamang dark na kulay ng balat, pulot
🫳🏿	bitaw, dampot, dark na kulay ng balat, kamay, kuha, nakataob na palad, nakataob na palad: dark na kulay ng balat, pulot
🫴	alok, halika, hawak, hingi, nakasalong palad, salo, sambot, tara
🫴🏻	alok, halika, hawak, hingi, light na kulay ng balat, nakasalong palad, nakasalong palad: light na kulay ng balat, salo, sambot, tara
🫴🏼	alok, halika, hawak, hingi, katamtamang light na kulay ng balat, nakasalong palad, nakasalong palad: katamtamang light na kulay ng balat, salo, sambot, tara
🫴🏽	alok, halika, hawak, hingi, katamtamang kulay ng balat, nakasalong palad, nakasalong palad: katamtamang kulay ng balat, salo, sambot, tara
🫴🏾	alok, halika, hawak, hingi, katamtamang dark na kulay ng balat, nakasalong palad, nakasalong palad: katamtamang dark na kulay ng balat, salo, sambot, tara
🫴🏿	alok, dark na kulay ng balat, halika, hawak, hingi, nakasalong palad, nakasalong palad: dark na kulay ng balat, salo, sambot, tara
🫷	apir, hintay, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, tigil, tumatanggi, tumutulak
🫷🏻	apir, hintay, light na kulay ng balat, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, pakaliwang tumutulak na kamay: light na kulay ng balat, tigil, tumatanggi, tumutulak
🫷🏼	apir, hintay, katamtamang light na kulay ng balat, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, pakaliwang tumutulak na kamay: katamtamang light na kulay ng balat, tigil, tumatanggi, tumutulak
🫷🏽	apir, hintay, katamtamang kulay ng balat, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, pakaliwang tumutulak na kamay: katamtamang kulay ng balat, tigil, tumatanggi, tumutulak
🫷🏾	apir, hintay, katamtamang dark na kulay ng balat, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, pakaliwang tumutulak na kamay: katamtamang dark na kulay ng balat, tigil, tumatanggi, tumutulak
🫷🏿	apir, dark na kulay ng balat, hintay, nakaaper, pakaliwa, pakaliwang tumutulak na kamay, pakaliwang tumutulak na kamay: dark na kulay ng balat, tigil, tumatanggi, tumutulak
🫸	apir, hintay, nakaaper, pakanan, pakanang tumutulak na kamay, tanggi, tigil, tulak
🫸🏻	apir, hintay, light na kulay ng balat, nakaaper, pakanan, pakanang tumutulak na kamay, pakanang tumutulak na kamay: light na kulay ng balat, tanggi, tigil, tulak
🫸🏼	apir, hintay, katamtamang light na kulay ng balat, nakaaper, pakanan, pakanang tumutulak na kamay, pakanang tumutulak na kamay: katamtamang light na kulay ng balat, tanggi, tigil, tulak
🫸🏽	apir, hintay, katamtamang kulay ng balat, nakaaper, pakanan, pakanang tumutulak na kamay, pakanang tumutulak na kamay: katamtamang kulay ng balat, tanggi, tigil, tulak
🫸🏾	apir, hintay, katamtamang dark na kulay ng balat, nakaaper, pakanan, pakanang tumutulak na kamay, pakanang tumutulak na kamay: katamtamang dark na kulay ng balat, tanggi, tigil, tulak
🫸🏿	apir, dark na kulay ng balat, hintay, nakaaper, pakanan, pakanang tumutulak na kamay, pakanang tumutulak na kamay: dark na kulay ng balat, tanggi, tigil, tulak
👌	anda, ayos, datung, kamay, kamay na nagpapahiwatig ng ok, kwarta, ok, okay, okey, oks, pera
👌🏻	anda, ayos, datung, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: light na kulay ng balat, kwarta, light na kulay ng balat, ok, okay, okey, oks, pera
👌🏼	anda, ayos, datung, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, kwarta, ok, okay, okey, oks, pera
👌🏽	anda, ayos, datung, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang kulay ng balat, katamtamang kulay ng balat, kwarta, ok, okay, okey, oks, pera
👌🏾	anda, ayos, datung, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, kwarta, ok, okay, okey, oks, pera
👌🏿	anda, ayos, dark na kulay ng balat, datung, kamay, kamay na nagpapahiwatig ng ok, kamay na nagpapahiwatig ng ok: dark na kulay ng balat, kwarta, ok, okay, okey, oks, pera
🤌	daliri, hand gesture, kamay, pakurot, pakurot na daliri, pasensya, relax, tahimik
🤌🏻	daliri, hand gesture, kamay, light na kulay ng balat, pakurot, pakurot na daliri, pakurot na daliri: light na kulay ng balat, pasensya, relax, tahimik
🤌🏼	daliri, hand gesture, kamay, katamtamang light na kulay ng balat, pakurot, pakurot na daliri, pakurot na daliri: katamtamang light na kulay ng balat, pasensya, relax, tahimik
🤌🏽	daliri, hand gesture, kamay, katamtamang kulay ng balat, pakurot, pakurot na daliri, pakurot na daliri: katamtamang kulay ng balat, pasensya, relax, tahimik
🤌🏾	daliri, hand gesture, kamay, katamtamang dark na kulay ng balat, pakurot, pakurot na daliri, pakurot na daliri: katamtamang dark na kulay ng balat, pasensya, relax, tahimik
🤌🏿	daliri, dark na kulay ng balat, hand gesture, kamay, pakurot, pakurot na daliri, pakurot na daliri: dark na kulay ng balat, pasensya, relax, tahimik
🤏	kamay na kumukurot, maliit na halaga
🤏🏻	kamay na kumukurot, kamay na kumukurot: light na kulay ng balat, light na kulay ng balat, maliit na halaga
🤏🏼	kamay na kumukurot, kamay na kumukurot: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, maliit na halaga
🤏🏽	kamay na kumukurot, kamay na kumukurot: katamtamang kulay ng balat, katamtamang kulay ng balat, maliit na halaga
🤏🏾	kamay na kumukurot, kamay na kumukurot: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, maliit na halaga
🤏🏿	dark na kulay ng balat, kamay na kumukurot, kamay na kumukurot: dark na kulay ng balat, maliit na halaga
✌️	daliri, kamay, peace, peace be with you, peace sign, tagumpay, v sign
✌🏻	daliri, kamay, light na kulay ng balat, peace, peace be with you, peace sign, peace sign: light na kulay ng balat, tagumpay, v sign
✌🏼	daliri, kamay, katamtamang light na kulay ng balat, peace, peace be with you, peace sign, peace sign: katamtamang light na kulay ng balat, tagumpay, v sign
✌🏽	daliri, kamay, katamtamang kulay ng balat, peace, peace be with you, peace sign, peace sign: katamtamang kulay ng balat, tagumpay, v sign
✌🏾	daliri, kamay, katamtamang dark na kulay ng balat, peace, peace be with you, peace sign, peace sign: katamtamang dark na kulay ng balat, tagumpay, v sign
✌🏿	daliri, dark na kulay ng balat, kamay, peace, peace be with you, peace sign, peace sign: dark na kulay ng balat, tagumpay, v sign
🤞	cross, daliri, kamay, naka-cross na mga daliri, swerte
🤞🏻	cross, daliri, kamay, light na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: light na kulay ng balat, swerte
🤞🏼	cross, daliri, kamay, katamtamang light na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang light na kulay ng balat, swerte
🤞🏽	cross, daliri, kamay, katamtamang kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang kulay ng balat, swerte
🤞🏾	cross, daliri, kamay, katamtamang dark na kulay ng balat, naka-cross na mga daliri, naka-cross na mga daliri: katamtamang dark na kulay ng balat, swerte
🤞🏿	cross, daliri, dark na kulay ng balat, kamay, naka-cross na mga daliri, naka-cross na mga daliri: dark na kulay ng balat, swerte
🫰	<3, kamay na magkakrus ang hintuturo at hinlalaki, mahal, pag-ibig, pera, pitik, puso
🫰🏻	<3, kamay na magkakrus ang hintuturo at hinlalaki, kamay na magkakrus ang hintuturo at hinlalaki: light na kulay ng balat, light na kulay ng balat, mahal, pag-ibig, pera, pitik, puso
🫰🏼	<3, kamay na magkakrus ang hintuturo at hinlalaki, kamay na magkakrus ang hintuturo at hinlalaki: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, mahal, pag-ibig, pera, pitik, puso
🫰🏽	<3, kamay na magkakrus ang hintuturo at hinlalaki, kamay na magkakrus ang hintuturo at hinlalaki: katamtamang kulay ng balat, katamtamang kulay ng balat, mahal, pag-ibig, pera, pitik, puso
🫰🏾	<3, kamay na magkakrus ang hintuturo at hinlalaki, kamay na magkakrus ang hintuturo at hinlalaki: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, mahal, pag-ibig, pera, pitik, puso
🫰🏿	<3, dark na kulay ng balat, kamay na magkakrus ang hintuturo at hinlalaki, kamay na magkakrus ang hintuturo at hinlalaki: dark na kulay ng balat, mahal, pag-ibig, pera, pitik, puso
🤟	ILY, astig, kamay, love-you gesture, rak-en-rol
