‾	linha, linha superior, superior
😳	atordoado, deslumbrado, horrorizado, impressionado, rosto, rosto ruborizado, ruborizado, vergonha
🥺	implorando, olhar de cachorrinho, olhos grandes, perdão, por favor, por que não, pq não, rosto, rosto implorando, triste
🥹	admiração, chorar, com raiva, emoção, gratidão, iti malia, lágrimas de alegria, orgulho, orgulhoso, por favor, resistir, rosto segurando as lágrimas, smiley, triste, tristeza
😦	aberta, assustado, boca, decepcionado, inesperado, rosto assustado, rosto franzido com boca aberta, uau
😧	angustiado, rosto, rosto angustiado, sofrendo
😨	ansiedade, assustado, com medo, medo, preocupado, rosto, rosto amedrontado
😰	boca aberta, nervoso, rosto, rosto ansioso com gota de suor, rosto azul com suor frio, suando frio, suor frio
😥	aliviado, decepcionado, não, rosto, rosto triste, mas aliviado, triste, ufa
😢	chorando, choro, lágrimas, rosto, rosto chorando, triste
😭	chorando, chorando alto, chorar, infeliz, lágrimas, rosto, rosto chorando aos berros, triste
😱	assustada, assustado, gritando, grito, medo, rosto, rosto gritando de medo, susto, temeroso
😖	bravo, frustrado, indignado, perplexo, rosto, rosto perplexo
😣	concentrado, concentração, dor de cabeça, foco, perseverante, perseverança, rosto, rosto perseverante
😞	decepção, desapontado, desapontamento, rosto, rosto decepcionado, rosto desapontado, triste
😓	rosto, rosto cabisbaixo com gota de suor, rosto com suor frio, suando frio, suor frio
😩	aborrecido, cansado, cansei, exausto, infeliz, perdi, rosto, rosto desolado
😫	cansado, desesperado, exausto, rosto, rosto cansado
🥱	bocejo, cansada, cansado, com sono, entediada, entediado, rosto bocejando, sono, zzz
😤	brava, bravo, furiosa, furioso, irritada, irritado, rosto, rosto soltando vapor pelo nariz, soltando fumaça, triunfo, vitória
😡	bravo, furioso, irado, rosto, rosto furioso, vermelho, zangado
😠	irado, rosto, rosto zangado, zangado
🤬	rosto com símbolos na boca, xingando, xingando, falando mal, censurado, mal educado
😈	cara, chifres, diabinho, diabo, malícia, rosto, rosto sorridente com chifres, roxa, sorridente, sorriso
👿	demônio, diabinho, diabo, pequeno demônio, rosto, rosto bravo, rosto zangado com chifres
💀	caveira, conto de fadas, corpo, morte, rosto
☠️	caveira, caveira e ossos, caveira e ossos cruzados, morte, ossos cruzados, pirata
💩	cocô, estrume, excremento, fezes, pilha, pilha de cocô
🤡	cara, cara de palhaço, circo, engraçado, palhaço, rosto, rosto de palhaço
👹	assustador, conto de fadas, demoníaco, malvado, monstro, máscara, ogro, ogro japonês, oni, rosto
👺	bravo, conto de fadas, duende japonês, goblin, japonês, monstro, máscara, raiva, rosto, tengu, zangado
👻	assombrado, assombração, buu, conto de fadas, fantasma, halloween, rosto
👽️	OVNI, alienígena, extraterrestre, rosto
👾	E.T., OVNI, alien, extraterrestre, game, invasores alienígenas, monstro, monstro alienígena, pixelado, rosto
🤖	monstro, robotizado, robô, rosto, rosto de robô
😺	aberta, animal, boca, feliz, gato, rosto, rosto de gato, rosto de gato sorrindo, rosto de gato sorrindo com boca aberta, sorriso
😸	gato, olho, rindo, rosto, rosto de gato, rosto de gato com olhos sorrindo e riso, rosto de gato rindo, rosto de gato sorrindo com olhos sorridentes, sorridente, sorriso
😹	alegria, chorando, chorando de rir, choro, choro de felicidade, engraçado, felicidade, feliz, gato, gato chorando de rir, lágrimas, lágrimas de felicidade, rindo, risos, rosto, rosto de gato, rosto de gato com lágrimas de alegria
😻	aberta, amor, apaixonado, boca, coração, gato, olho, rosto, rosto de fato com olhos no formato de coração, rosto de gato sorridente com olhos de coração, sorriso
😼	gato, irônico, rosto, rosto de gato com sorriso irônico, sorriso
😽	beijando, beijo, fechados, gato, olho fechado, olhos, rosto, rosto de gato mandando um beijo
🙀	gato, meu deus!, muito surpreso, oh!, rosto, rosto de gato desolado, surpresa
😿	chorando, chorar, choro, gato, lágrima, rosto, rosto de gato, rosto de gato chorando, triste
😾	bravo, fazendo bico, gato, rosto, rosto de gato, rosto de gato fazendo bico, rosto de gato mal-humorado
🙈	envergonhado, macaco, macaco com olhos tapados, macaco não veja o mal, macaco que não vê nada, não veja o mal, olhos tapados, vergonha
🙉	macaco, macaco com ouvidos tapados, macaco não ouça o mal, macaco que não ouve nada, não ouça o mal, não ouço, não quero ouvir, ouvidos tapados
🙊	animal, boca tapada, macaco, macaco com as mãos tapando a boca, macaco que não fala nada, não, não posso contar, não posso falar, segredo, silencio, ups
💌	carta, carta de amor, coração, correspondência com coração, romance
💘	amor, coração, coração com flecha, cupido, emoção, flecha, flechado, paixão, romance, s2
💝	amor, aniversário, coração, coração com fita, dia dos namorados, emoção, fita, s2
💖	amor, brilhante, coração brilhante, emocionante, emoção, s2
💗	amor, animado, coração, coração crescendo, emoção, nervosismo, pulsando, s2
💓	amor, batendo, coração, coração pulsante, emoção, pulsante, s2
💞	adorável, amor, bonitinho, coração, corações, corações girando, emoção, girando, s2
💕	amantes, amor, coração, dois corações, emoção, s2
💟	amor, coração, coração decorativo, decoração de coração, s2
❣️	amor, coração, exclamação, exclamação de coração, exclamação em forma de coração, pontuação, s2, sinal
💔	coração, coração partido, coração quebrado, decepção amorosa, desilusão amorosa, emoção, rompimento, s2, sofrendo, sofrimento, triste
❤‍🔥	amor, chamas, coração, coração em chamas, coração sagrado, fogo, luxúria
❤‍🩹	bem, bom, coração remendado, curando, mais saudável, melhorando, recuperação
❤️	amor, coração, coração vermelho, s2
🩷	adorar, adorei, adorável, amo você, amor, amável, coração, coração rosa, curtir, emoção, especial, eu te amo, fofo, gostar, gostei, rosa, te amo
🧡	coração, coração laranja, emoção, laranja, s2
💛	amarelo, amor, coração, coração amarelo, emoção, love, s2
💚	coração, coração verde, emoção, s2, verde
💙	azul, coração, coração azul, emoção, s2
🩵	adorar, adorei, amo você, amor, azul, azul claro, azul-claro, ciano, cor do céu, coração, coração azul-claro, emoção, especial, eu te amo, fofo, gostar, gostei, te amo, verde-azulado
💜	coração, coração lilás, coração roxo, emoção, roxo, s2
🤎	coração, coração marrom, marrom, s2
🖤	coração, coração preto, negro, preto, s2
🩶	adorar, adorei, amo você, amor, ardósia, cinza, coração, coração cinza, emoção, especial, eu te amo, gostar, gostei, prata, te amo
🤍	branco, coração, coração branco, s2
💋	beijo, lábios, marca de beijo, romance
💯	100, 100 pontos, cem pontos, certamente, certeza, conte comigo, pontuação, pontuação total
💢	com raiva, emoção, engraçado, raiva, símbolo de raiva
💥	colisão, emoção, engraçado, explosão, símbolo de colisão
💫	brilhante, emoção, engraçado, estrelas, olhando para as estrelas, zonzo
💦	borrifo, com suor, emoção, engraçado, pingos de suor, splash, suor
💨	correr, corrida, emoção, engraçado, fugir, rapidez
🕳️	buraco, buraco no chão
💬	balão, balão de conversa, balão de diálogo, diálogo, engraçado
👁‍🗨	balão de diálogo, olho, olho no balão de diálogo, testemunha
🗨️	balão de diálogo, balão de diálogo preto, balão de diálogo à esquerda
🗯️	balão de diálogo, balão de diálogo enérgico, balão de raiva à direita, discurso furioso, enérgico, irado, raiva
💭	balão, balão de pensamento, engraçado, ideia, inventando, invenção, pensamento, pensando
💤	Zzz, boa noite, cansada, cansado, com sono, dormindo, dormir, emoção, engraçado, roncando, sono, zzz
👋	aceno, até mais, está aí?, flw, mão, mão acenando, oi, olá, taí?, tchau
👋🏻	aceno, até mais, está aí?, flw, mão, mão acenando, mão acenando: pele clara, oi, olá, pele clara, taí?, tchau
👋🏼	aceno, até mais, está aí?, flw, mão, mão acenando, mão acenando: pele morena clara, oi, olá, pele morena clara, taí?, tchau
👋🏽	aceno, até mais, está aí?, flw, mão, mão acenando, mão acenando: pele morena, oi, olá, pele morena, taí?, tchau
👋🏾	aceno, até mais, está aí?, flw, mão, mão acenando, mão acenando: pele morena escura, oi, olá, pele morena escura, taí?, tchau
👋🏿	aceno, até mais, está aí?, flw, mão, mão acenando, mão acenando: pele escura, oi, olá, pele escura, taí?, tchau
🤚	dorso da mão levantado, levantada, mão, palma, palma da mão levantada, para tudo, pare
🤚🏻	dorso da mão levantado, dorso da mão levantado: pele clara, levantada, mão, palma, palma da mão levantada, para tudo, pare, pele clara
🤚🏼	dorso da mão levantado, dorso da mão levantado: pele morena clara, levantada, mão, palma, palma da mão levantada, para tudo, pare, pele morena clara
🤚🏽	dorso da mão levantado, dorso da mão levantado: pele morena, levantada, mão, palma, palma da mão levantada, para tudo, pare, pele morena
🤚🏾	dorso da mão levantado, dorso da mão levantado: pele morena escura, levantada, mão, palma, palma da mão levantada, para tudo, pare, pele morena escura
🤚🏿	dorso da mão levantado, dorso da mão levantado: pele escura, levantada, mão, palma, palma da mão levantada, para tudo, pare, pele escura
🖐️	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta indicando cinco, palma da mão, pare
🖐🏻	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta com os dedos separados: pele clara, mão aberta indicando cinco, palma da mão, pare, pele clara
🖐🏼	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena clara, mão aberta indicando cinco, palma da mão, pare, pele morena clara
🖐🏽	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena, mão aberta indicando cinco, palma da mão, pare, pele morena
🖐🏾	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena escura, mão aberta indicando cinco, palma da mão, pare, pele morena escura
🖐🏿	5, cinco dedos, dedos, mão, mão aberta, mão aberta com os dedos separados, mão aberta com os dedos separados: pele escura, mão aberta indicando cinco, palma da mão, pare, pele escura
✋️	5, cinco, high five, mão, mão erguida, mão levantada, papel, pare
✋🏻	5, cinco, high five, mão, mão erguida, mão levantada, mão levantada: pele clara, papel, pare, pele clara
✋🏼	5, cinco, high five, mão, mão erguida, mão levantada, mão levantada: pele morena clara, papel, pare, pele morena clara
✋🏽	5, cinco, high five, mão, mão erguida, mão levantada, mão levantada: pele morena, papel, pare, pele morena
✋🏾	5, cinco, high five, mão, mão erguida, mão levantada, mão levantada: pele morena escura, papel, pare, pele morena escura
✋🏿	5, cinco, high five, mão, mão erguida, mão levantada, mão levantada: pele escura, papel, pare, pele escura
🖖	dedos, jornada nas estrelas, mão, saudação, saudação star trek, saudação vulcana, spock, star trek, startrek
🖖🏻	dedos, jornada nas estrelas, mão, pele clara, saudação, saudação star trek, saudação vulcana, saudação vulcana: pele clara, spock, star trek, startrek
🖖🏼	dedos, jornada nas estrelas, mão, pele morena clara, saudação, saudação star trek, saudação vulcana, saudação vulcana: pele morena clara, spock, star trek, startrek
🖖🏽	dedos, jornada nas estrelas, mão, pele morena, saudação, saudação star trek, saudação vulcana, saudação vulcana: pele morena, spock, star trek, startrek
🖖🏾	dedos, jornada nas estrelas, mão, pele morena escura, saudação, saudação star trek, saudação vulcana, saudação vulcana: pele morena escura, spock, star trek, startrek
🖖🏿	dedos, jornada nas estrelas, mão, pele escura, saudação, saudação star trek, saudação vulcana, saudação vulcana: pele escura, spock, star trek, startrek
🫱	apertar, aperto de mão, direita, mão, mão para a direita, para a direita, pegar, segurar
🫱🏻	apertar, aperto de mão, direita, mão, mão para a direita, mão para a direita: pele clara, para a direita, pegar, pele clara, segurar
🫱🏼	apertar, aperto de mão, direita, mão, mão para a direita, mão para a direita: pele morena clara, para a direita, pegar, pele morena clara, segurar
🫱🏽	apertar, aperto de mão, direita, mão, mão para a direita, mão para a direita: pele morena, para a direita, pegar, pele morena, segurar
🫱🏾	apertar, aperto de mão, direita, mão, mão para a direita, mão para a direita: pele morena escura, para a direita, pegar, pele morena escura, segurar
🫱🏿	apertar, aperto de mão, direita, mão, mão para a direita, mão para a direita: pele escura, para a direita, pegar, pele escura, segurar
🫱🏻‍🫲🏼	aperto, aperto de mãos, aperto de mãos: pele clara e pele morena clara, combinado, cumprimento, mãos, pele clara, pele morena clara
🫱🏻‍🫲🏽	aperto, aperto de mãos, aperto de mãos: pele clara e pele morena, combinado, cumprimento, mãos, pele clara, pele morena
🫱🏻‍🫲🏾	aperto, aperto de mãos, aperto de mãos: pele clara e pele morena escura, combinado, cumprimento, mãos, pele clara, pele morena escura
🫱🏻‍🫲🏿	aperto, aperto de mãos, aperto de mãos: pele clara e pele escura, combinado, cumprimento, mãos, pele clara, pele escura
