‾	nadcrta
👋	mahanje, pozdrav, ruka, ruka koja maše, vidimo se, zdravo, ćao, šaka
👋🏻	mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: svetla koža, svetla koža, vidimo se, zdravo, ćao, šaka
👋🏼	mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: srednje svetla koža, srednje svetla koža, vidimo se, zdravo, ćao, šaka
👋🏽	mahanje, ni svetla ni tamna koža, pozdrav, ruka, ruka koja maše, ruka koja maše: ni svetla ni tamna koža, vidimo se, zdravo, ćao, šaka
👋🏾	mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: srednje tamna koža, srednje tamna koža, vidimo se, zdravo, ćao, šaka
👋🏿	mahanje, pozdrav, ruka, ruka koja maše, ruka koja maše: tamna koža, tamna koža, vidimo se, zdravo, ćao, šaka
🤚	dlan, podignut dlan, podignuto
🤚🏻	dlan, podignut dlan, podignut dlan: svetla koža, podignuto, svetla koža
🤚🏼	dlan, podignut dlan, podignut dlan: srednje svetla koža, podignuto, srednje svetla koža
🤚🏽	dlan, ni svetla ni tamna koža, podignut dlan, podignut dlan: ni svetla ni tamna koža, podignuto
🤚🏾	dlan, podignut dlan, podignut dlan: srednje tamna koža, podignuto, srednje tamna koža
🤚🏿	dlan, podignut dlan, podignut dlan: tamna koža, podignuto, tamna koža
🖐️	prst, rašireno, ruka, stani, šaka, šaka sa raširenim prstima
🖐🏻	prst, rašireno, ruka, stani, svetla koža, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: svetla koža
🖐🏼	prst, rašireno, ruka, srednje svetla koža, stani, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: srednje svetla koža
🖐🏽	ni svetla ni tamna koža, prst, rašireno, ruka, stani, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: ni svetla ni tamna koža
🖐🏾	prst, rašireno, ruka, srednje tamna koža, stani, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: srednje tamna koža
🖐🏿	prst, rašireno, ruka, stani, tamna koža, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: tamna koža
✋️	baci pet, pet, podignuta ruka, ruka, stani, šaka
✋🏻	baci pet, pet, podignuta ruka, podignuta ruka: svetla koža, ruka, stani, svetla koža, šaka
✋🏼	baci pet, pet, podignuta ruka, podignuta ruka: srednje svetla koža, ruka, srednje svetla koža, stani, šaka
✋🏽	baci pet, ni svetla ni tamna koža, pet, podignuta ruka, podignuta ruka: ni svetla ni tamna koža, ruka, stani, šaka
✋🏾	baci pet, pet, podignuta ruka, podignuta ruka: srednje tamna koža, ruka, srednje tamna koža, stani, šaka
✋🏿	baci pet, pet, podignuta ruka, podignuta ruka: tamna koža, ruka, stani, tamna koža, šaka
🖖	pozdrav, prst, ruka, ruke, vulkanski pozdrav
🖖🏻	pozdrav, prst, ruka, ruke, svetla koža, vulkanski pozdrav: svetla koža
🖖🏼	pozdrav, prst, ruka, ruke, srednje svetla koža, vulkanski pozdrav: srednje svetla koža
🖖🏽	ni svetla ni tamna koža, pozdrav, prst, ruka, ruke, vulkanski pozdrav: ni svetla ni tamna koža
🖖🏾	pozdrav, prst, ruka, ruke, srednje tamna koža, vulkanski pozdrav: srednje tamna koža
🖖🏿	pozdrav, prst, ruka, ruke, tamna koža, vulkanski pozdrav: tamna koža
🫱	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno, rukovati, šaka
🫱🏻	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: svetla koža, rukovati, svetla koža, šaka
🫱🏼	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: srednje svetla koža, rukovati, srednje svetla koža, šaka
🫱🏽	desno, dohvatiti, držati, nadesno, ni svetla ni tamna koža, ruka okrenuta nadesno: ni svetla ni tamna koža, rukovati, šaka
🫱🏾	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: srednje tamna koža, rukovati, srednje tamna koža, šaka
🫱🏿	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: tamna koža, rukovati, tamna koža, šaka
🫱🏻‍🫲🏼	dogovor, dogovoreno, rukovanje, rukovanje: svetla koža i srednje svetla koža, sastanak, srednje svetla koža, svetla koža
🫱🏻‍🫲🏽	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: svetla koža i ni svetla ni tamna koža, sastanak, svetla koža
🫱🏻‍🫲🏾	dogovor, dogovoreno, rukovanje, rukovanje: svetla koža i srednje tamna koža, sastanak, srednje tamna koža, svetla koža
🫱🏻‍🫲🏿	dogovor, dogovoreno, rukovanje, rukovanje: svetla koža i tamna koža, sastanak, svetla koža, tamna koža
🫱🏼‍🫲🏻	dogovor, dogovoreno, rukovanje, rukovanje: srednje svetla koža i svetla koža, sastanak, srednje svetla koža, svetla koža
🫱🏼‍🫲🏽	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: srednje svetla koža i ni svetla ni tamna koža, sastanak, srednje svetla koža
🫱🏼‍🫲🏾	dogovor, dogovoreno, rukovanje, rukovanje: srednje svetla koža i srednje tamna koža, sastanak, srednje svetla koža, srednje tamna koža
🫱🏼‍🫲🏿	dogovor, dogovoreno, rukovanje, rukovanje: srednje svetla koža i tamna koža, sastanak, srednje svetla koža, tamna koža
🫱🏽‍🫲🏻	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: ni svetla ni tamna koža i svetla koža, sastanak, svetla koža
🫱🏽‍🫲🏼	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: ni svetla ni tamna koža i srednje svetla koža, sastanak, srednje svetla koža
🫱🏽‍🫲🏾	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: ni svetla ni tamna koža i srednje tamna koža, sastanak, srednje tamna koža
🫱🏽‍🫲🏿	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: ni svetla ni tamna koža i tamna koža, sastanak, tamna koža
🫱🏾‍🫲🏻	dogovor, dogovoreno, rukovanje, rukovanje: srednje tamna koža i svetla koža, sastanak, srednje tamna koža, svetla koža
🫱🏾‍🫲🏼	dogovor, dogovoreno, rukovanje, rukovanje: srednje tamna koža i srednje svetla koža, sastanak, srednje svetla koža, srednje tamna koža
🫱🏾‍🫲🏽	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: srednje tamna koža i ni svetla ni tamna koža, sastanak, srednje tamna koža
🫱🏾‍🫲🏿	dogovor, dogovoreno, rukovanje, rukovanje: srednje tamna koža i tamna koža, sastanak, srednje tamna koža, tamna koža
🫱🏿‍🫲🏻	dogovor, dogovoreno, rukovanje, rukovanje: tamna koža i svetla koža, sastanak, svetla koža, tamna koža
🫱🏿‍🫲🏼	dogovor, dogovoreno, rukovanje, rukovanje: tamna koža i srednje svetla koža, sastanak, srednje svetla koža, tamna koža
🫱🏿‍🫲🏽	dogovor, dogovoreno, ni svetla ni tamna koža, rukovanje, rukovanje: tamna koža i ni svetla ni tamna koža, sastanak, tamna koža
🫱🏿‍🫲🏾	dogovor, dogovoreno, rukovanje, rukovanje: tamna koža i srednje tamna koža, sastanak, srednje tamna koža, tamna koža
🫲	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo, rukovati, šaka
🫲🏻	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: svetla koža, rukovati, svetla koža, šaka
🫲🏼	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: srednje svetla koža, rukovati, srednje svetla koža, šaka
🫲🏽	dohvatiti, držati, levo, nalevo, ni svetla ni tamna koža, ruka okrenuta nalevo: ni svetla ni tamna koža, rukovati, šaka
🫲🏾	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: srednje tamna koža, rukovati, srednje tamna koža, šaka
🫲🏿	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: tamna koža, rukovati, tamna koža, šaka
🫳	dlan okrenut nadole, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, šaka
🫳🏻	dlan okrenut nadole: svetla koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, svetla koža, šaka
🫳🏼	dlan okrenut nadole: srednje svetla koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, srednje svetla koža, šaka
🫳🏽	dlan okrenut nadole: ni svetla ni tamna koža, ispustio, ispustiti, izabrati, ni svetla ni tamna koža, otpustiti, podignuti, poterati, šaka
🫳🏾	dlan okrenut nadole: srednje tamna koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, srednje tamna koža, šaka
🫳🏿	dlan okrenut nadole: tamna koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, tamna koža, šaka
🫴	dlan okrenut nagore, dozivati, dođi, držati, podići, ponuda, poziv, uhvatiti, šaka
🫴🏻	dlan okrenut nagore: svetla koža, dozivati, dođi, držati, podići, ponuda, poziv, svetla koža, uhvatiti, šaka
🫴🏼	dlan okrenut nagore: srednje svetla koža, dozivati, dođi, držati, podići, ponuda, poziv, srednje svetla koža, uhvatiti, šaka
🫴🏽	dlan okrenut nagore: ni svetla ni tamna koža, dozivati, dođi, držati, ni svetla ni tamna koža, podići, ponuda, poziv, uhvatiti, šaka
🫴🏾	dlan okrenut nagore: srednje tamna koža, dozivati, dođi, držati, podići, ponuda, poziv, srednje tamna koža, uhvatiti, šaka
🫴🏿	dlan okrenut nagore: tamna koža, dozivati, dođi, držati, podići, ponuda, poziv, tamna koža, uhvatiti, šaka
🫷	baci, nalevo, odbij, odgurni, pet, ruka gura ulevo, stop, čekaj, šaka
🫷🏻	baci, nalevo, odbij, odgurni, pet, ruka gura ulevo: svetla koža, stop, svetla koža, čekaj, šaka
🫷🏼	baci, nalevo, odbij, odgurni, pet, ruka gura ulevo: srednje svetla koža, srednje svetla koža, stop, čekaj, šaka
🫷🏽	baci, nalevo, ni svetla ni tamna koža, odbij, odgurni, pet, ruka gura ulevo: ni svetla ni tamna koža, stop, čekaj, šaka
🫷🏾	baci, nalevo, odbij, odgurni, pet, ruka gura ulevo: srednje tamna koža, srednje tamna koža, stop, čekaj, šaka
🫷🏿	baci, nalevo, odbij, odgurni, pet, ruka gura ulevo: tamna koža, stop, tamna koža, čekaj, šaka
🫸	baci, nadesno, odbij, odgurni, pet, ruka gura udesno, stop, čekaj, šaka
🫸🏻	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: svetla koža, stop, svetla koža, čekaj, šaka
🫸🏼	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: srednje svetla koža, srednje svetla koža, stop, čekaj, šaka
🫸🏽	baci, nadesno, ni svetla ni tamna koža, odbij, odgurni, pet, ruka gura udesno: ni svetla ni tamna koža, stop, čekaj, šaka
🫸🏾	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: srednje tamna koža, srednje tamna koža, stop, čekaj, šaka
🫸🏿	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: tamna koža, stop, tamna koža, čekaj, šaka
👌	OK, ekstra, ruka, strava, važi, znak rukom „u redu“, šaka
👌🏻	OK, ekstra, ruka, strava, svetla koža, važi, znak rukom „u redu“: svetla koža, šaka
👌🏼	OK, ekstra, ruka, srednje svetla koža, strava, važi, znak rukom „u redu“: srednje svetla koža, šaka
👌🏽	OK, ekstra, ni svetla ni tamna koža, ruka, strava, važi, znak rukom „u redu“: ni svetla ni tamna koža, šaka
👌🏾	OK, ekstra, ruka, srednje tamna koža, strava, važi, znak rukom „u redu“: srednje tamna koža, šaka
👌🏿	OK, ekstra, ruka, strava, tamna koža, važi, znak rukom „u redu“: tamna koža, šaka
🤌	prsti, prstohvat, ruka, sarkastično, skupljeni prsti, upitno, ućuti, začepi, čekaj
🤌🏻	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: svetla koža, svetla koža, upitno, ućuti, začepi, čekaj
🤌🏼	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: srednje svetla koža, srednje svetla koža, upitno, ućuti, začepi, čekaj
🤌🏽	ni svetla ni tamna koža, prsti, prstohvat, ruka, sarkastično, skupljeni prsti: ni svetla ni tamna koža, upitno, ućuti, začepi, čekaj
🤌🏾	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: srednje tamna koža, srednje tamna koža, upitno, ućuti, začepi, čekaj
🤌🏿	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: tamna koža, tamna koža, upitno, ućuti, začepi, čekaj
🤏	malkice, malo, prstohvat, ruka štipa, štipanje
🤏🏻	malkice, malo, prstohvat, ruka štipa: svetla koža, svetla koža, štipanje
🤏🏼	malkice, malo, prstohvat, ruka štipa: srednje svetla koža, srednje svetla koža, štipanje
🤏🏽	malkice, malo, ni svetla ni tamna koža, prstohvat, ruka štipa: ni svetla ni tamna koža, štipanje
🤏🏾	malkice, malo, prstohvat, ruka štipa: srednje tamna koža, srednje tamna koža, štipanje
🤏🏿	malkice, malo, prstohvat, ruka štipa: tamna koža, tamna koža, štipanje
✌️	pobeda, ruka, znak pobede, šaka
✌🏻	pobeda, ruka, svetla koža, znak pobede: svetla koža, šaka
✌🏼	pobeda, ruka, srednje svetla koža, znak pobede: srednje svetla koža, šaka
✌🏽	ni svetla ni tamna koža, pobeda, ruka, znak pobede: ni svetla ni tamna koža, šaka
✌🏾	pobeda, ruka, srednje tamna koža, znak pobede: srednje tamna koža, šaka
✌🏿	pobeda, ruka, tamna koža, znak pobede: tamna koža, šaka
🤞	katanac, obećanje, prekršteni prsti, prekršteno, prsti, ruka, sreća, šaka, želja
🤞🏻	katanac, obećanje, prekršteni prsti: svetla koža, prekršteno, prsti, ruka, sreća, svetla koža, šaka, želja
🤞🏼	katanac, obećanje, prekršteni prsti: srednje svetla koža, prekršteno, prsti, ruka, srednje svetla koža, sreća, šaka, želja
🤞🏽	katanac, ni svetla ni tamna koža, obećanje, prekršteni prsti: ni svetla ni tamna koža, prekršteno, prsti, ruka, sreća, šaka, želja
🤞🏾	katanac, obećanje, prekršteni prsti: srednje tamna koža, prekršteno, prsti, ruka, srednje tamna koža, sreća, šaka, želja
🤞🏿	katanac, obećanje, prekršteni prsti: tamna koža, prekršteno, prsti, ruka, sreća, tamna koža, šaka, želja
🫰	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom, skupo, srce
🫰🏻	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: svetla koža, skupo, srce, svetla koža
🫰🏼	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: srednje svetla koža, skupo, srce, srednje svetla koža
🫰🏽	<3, kažiprst, ljubav, ni svetla ni tamna koža, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: ni svetla ni tamna koža, skupo, srce
🫰🏾	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: srednje tamna koža, skupo, srce, srednje tamna koža
🫰🏿	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: tamna koža, skupo, srce, tamna koža
🤟	pokret volim te, prsti, ruka, tri, volim, šaka
🤟🏻	pokret volim te: svetla koža, prsti, ruka, svetla koža, tri, volim, šaka
🤟🏼	pokret volim te: srednje svetla koža, prsti, ruka, srednje svetla koža, tri, volim, šaka
🤟🏽	ni svetla ni tamna koža, pokret volim te: ni svetla ni tamna koža, prsti, ruka, tri, volim, šaka
🤟🏾	pokret volim te: srednje tamna koža, prsti, ruka, srednje tamna koža, tri, volim, šaka
🤟🏿	pokret volim te: tamna koža, prsti, ruka, tamna koža, tri, volim, šaka
🤘	metal, prst, rogovi, znak rogova, šaka
🤘🏻	metal, prst, rogovi, svetla koža, znak rogova: svetla koža, šaka
🤘🏼	metal, prst, rogovi, srednje svetla koža, znak rogova: srednje svetla koža, šaka
🤘🏽	metal, ni svetla ni tamna koža, prst, rogovi, znak rogova: ni svetla ni tamna koža, šaka
🤘🏾	metal, prst, rogovi, srednje tamna koža, znak rogova: srednje tamna koža, šaka
🤘🏿	metal, prst, rogovi, tamna koža, znak rogova: tamna koža, šaka
🤙	opušteno, ruka, znak rukom za telefon, zovi
🤙🏻	opušteno, ruka, svetla koža, znak rukom za telefon: svetla koža, zovi
🤙🏼	opušteno, ruka, srednje svetla koža, znak rukom za telefon: srednje svetla koža, zovi
🤙🏽	ni svetla ni tamna koža, opušteno, ruka, znak rukom za telefon: ni svetla ni tamna koža, zovi
🤙🏾	opušteno, ruka, srednje tamna koža, znak rukom za telefon: srednje tamna koža, zovi
🤙🏿	opušteno, ruka, tamna koža, znak rukom za telefon: tamna koža, zovi
👈️	kažiprst, kažiprst koji pokazuje ulevo, levo, pokazivanje, prst, šaka
👈🏻	kažiprst, kažiprst koji pokazuje ulevo: svetla koža, levo, pokazivanje, prst, svetla koža, šaka
👈🏼	kažiprst, kažiprst koji pokazuje ulevo: srednje svetla koža, levo, pokazivanje, prst, srednje svetla koža, šaka
👈🏽	kažiprst, kažiprst koji pokazuje ulevo: ni svetla ni tamna koža, levo, ni svetla ni tamna koža, pokazivanje, prst, šaka
👈🏾	kažiprst, kažiprst koji pokazuje ulevo: srednje tamna koža, levo, pokazivanje, prst, srednje tamna koža, šaka
👈🏿	kažiprst, kažiprst koji pokazuje ulevo: tamna koža, levo, pokazivanje, prst, tamna koža, šaka
👉️	desno, kažiprst, kažiprst koji pokazuje udesno, pokazivanje, prst, šaka
👉🏻	desno, kažiprst, kažiprst koji pokazuje udesno: svetla koža, pokazivanje, prst, svetla koža, šaka
👉🏼	desno, kažiprst, kažiprst koji pokazuje udesno: srednje svetla koža, pokazivanje, prst, srednje svetla koža, šaka
👉🏽	desno, kažiprst, kažiprst koji pokazuje udesno: ni svetla ni tamna koža, ni svetla ni tamna koža, pokazivanje, prst, šaka
👉🏾	desno, kažiprst, kažiprst koji pokazuje udesno: srednje tamna koža, pokazivanje, prst, srednje tamna koža, šaka
👉🏿	desno, kažiprst, kažiprst koji pokazuje udesno: tamna koža, pokazivanje, prst, tamna koža, šaka
👆️	gore, kažiprst, kažiprst koji pokazuje nagore otpozadi, nagore, pokazivanje, prst, šaka
👆🏻	gore, kažiprst, kažiprst koji pokazuje nagore otpozadi: svetla koža, nagore, pokazivanje, prst, svetla koža, šaka
👆🏼	gore, kažiprst, kažiprst koji pokazuje nagore otpozadi: srednje svetla koža, nagore, pokazivanje, prst, srednje svetla koža, šaka
👆🏽	gore, kažiprst, kažiprst koji pokazuje nagore otpozadi: ni svetla ni tamna koža, nagore, ni svetla ni tamna koža, pokazivanje, prst, šaka
