‾	үстіңгі сызық
🤚	алақан, алақан сырты, алақан сыртын көрсету, алақанын көрсетті, көрсету, қол көтеру
🤚🏻	1–2 тері түсі, алақан, алақан сырты, алақан сыртын көрсету, алақан сыртын көрсету: 1–2 тері түсі, алақанын көрсетті, көрсету, қол көтеру
🤚🏼	3-тері түрі, алақан, алақан сырты, алақан сыртын көрсету, алақан сыртын көрсету: 3-тері түрі, алақанын көрсетті, көрсету, қол көтеру
🤚🏽	4-тері түсі, алақан, алақан сырты, алақан сыртын көрсету, алақан сыртын көрсету: 4-тері түсі, алақанын көрсетті, көрсету, қол көтеру
🤚🏾	5-тері түсі, алақан, алақан сырты, алақан сыртын көрсету, алақан сыртын көрсету: 5-тері түсі, алақанын көрсетті, көрсету, қол көтеру
🤚🏿	6-тері түсі, алақан, алақан сырты, алақан сыртын көрсету, алақан сыртын көрсету: 6-тері түсі, алақанын көрсетті, көрсету, қол көтеру
🖐️	дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, тоқта, қол, қолды көтеру
🖐🏻	1–2 тері түсі, дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, саусақтарының арасын ашып, қолды көтеру: 1–2 тері түсі, тоқта, қол, қолды көтеру
🖐🏼	3-тері түрі, дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, саусақтарының арасын ашып, қолды көтеру: 3-тері түрі, тоқта, қол, қолды көтеру
🖐🏽	4-тері түсі, дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, саусақтарының арасын ашып, қолды көтеру: 4-тері түсі, тоқта, қол, қолды көтеру
🖐🏾	5-тері түсі, дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, саусақтарының арасын ашып, қолды көтеру: 5-тері түсі, тоқта, қол, қолды көтеру
🖐🏿	6-тері түсі, дене, жайылған, саусақ, саусақтарының арасын ашып, саусақтарының арасын ашып, қолды көтеру, саусақтарының арасын ашып, қолды көтеру: 6-тері түсі, тоқта, қол, қолды көтеру
✋️	дене, тоқта, қол, қол көтеру, қолды көтеру, әкел 5ті, әкел бесті
✋🏻	1–2 тері түсі, дене, тоқта, қол, қол көтеру, қол көтеру: 1–2 тері түсі, қолды көтеру, әкел 5ті, әкел бесті
✋🏼	3-тері түрі, дене, тоқта, қол, қол көтеру, қол көтеру: 3-тері түрі, қолды көтеру, әкел 5ті, әкел бесті
✋🏽	4-тері түсі, дене, тоқта, қол, қол көтеру, қол көтеру: 4-тері түсі, қолды көтеру, әкел 5ті, әкел бесті
✋🏾	5-тері түсі, дене, тоқта, қол, қол көтеру, қол көтеру: 5-тері түсі, қолды көтеру, әкел 5ті, әкел бесті
✋🏿	6-тері түсі, дене, тоқта, қол, қол көтеру, қол көтеру: 6-тері түсі, қолды көтеру, әкел 5ті, әкел бесті
🖖	вулкан, вулканша сәлемдесу, саусақ, спок, қол
🖖🏻	1–2 тері түсі, вулкан, вулканша сәлемдесу, вулканша сәлемдесу: 1–2 тері түсі, саусақ, спок, қол
🖖🏼	3-тері түрі, вулкан, вулканша сәлемдесу, вулканша сәлемдесу: 3-тері түрі, саусақ, спок, қол
🖖🏽	4-тері түсі, вулкан, вулканша сәлемдесу, вулканша сәлемдесу: 4-тері түсі, саусақ, спок, қол
🖖🏾	5-тері түсі, вулкан, вулканша сәлемдесу, вулканша сәлемдесу: 5-тері түсі, саусақ, спок, қол
🖖🏿	6-тері түсі, вулкан, вулканша сәлемдесу, вулканша сәлемдесу: 6-тері түсі, саусақ, спок, қол
🫱	оң, оңға қаратылған қол, қол, қол алысу, қол созу, ұстау
🫱🏻	1–2 тері түсі, оң, оңға қаратылған қол, оңға қаратылған қол: 1–2 тері түсі, қол, қол алысу, қол созу, ұстау
🫱🏼	3-тері түрі, оң, оңға қаратылған қол, оңға қаратылған қол: 3-тері түрі, қол, қол алысу, қол созу, ұстау
🫱🏽	4-тері түсі, оң, оңға қаратылған қол, оңға қаратылған қол: 4-тері түсі, қол, қол алысу, қол созу, ұстау
🫱🏾	5-тері түсі, оң, оңға қаратылған қол, оңға қаратылған қол: 5-тері түсі, қол, қол алысу, қол созу, ұстау
🫱🏿	6-тері түсі, оң, оңға қаратылған қол, оңға қаратылған қол: 6-тері түсі, қол, қол алысу, қол созу, ұстау
🫱🏻‍🫲🏼	1–2 тері түсі, 3-тері түрі, алысты, кездесу, келісім, қол, қол алысу, қол алысу: 1–2 тері түсі 3-тері түрі
🫱🏻‍🫲🏽	1–2 тері түсі, 4-тері түсі, алысты, кездесу, келісім, қол, қол алысу, қол алысу: 1–2 тері түсі 4-тері түсі
