‾	ülakriips
😾	kass, mossis, mossitav kass, nägu
🙈	ahv, kaetud silmadega ahv, keelatud, keeld, kuri, nägu, vaatamine
🙉	ahv, kaetud kõrvadega ahv, keelatud, keeld, kuri, kuulamine, nägu
🙊	ahv, kaetud suuga ahv, keelatud, keeld, kuri, nägu, rääkimine
💌	armastus, armastuskiri, kiri, romantika, süda
💘	nool, noolega süda, romantika, süda
💝	lindiga süda, lint, sõbrapäev, süda
💖	elevil, sädelev süda, sära, süda
💗	kasvav, kasvav süda, närviline, pulss, põnev, süda
💓	löök, pulss, süda, tukslev süda
💞	pöörlev, pöörlevad südamed, süda
💕	armastus, kaks südant, süda
💟	süda, südamekujuline kaunistus
❣️	hüüumärk, kirjavahemärk, märk, süda, südamega hüüumärk
💔	emotsioon, kurb, murtud, murtud süda, süda, üksik
❤‍🔥	armastus, kirg, leegitsev süda, põlev, püha süda, süda
❤‍🩹	hästi, kosumine, paranemine, taastumine, tervem, tervenemine, tervenev süda
❤️	armastus, emotsioon, punane süda, süda
🩷	armas, armastan, armastus, emotsioon, eriline, meeldib, nunnu, roosa, roosa süda, süda, tunne
🧡	oranž, oranž süda
💛	armastus, emotsioon, kollane, kollane süda, süda
💚	armastus, emotsioon, roheline, roheline süda, romantika, süda
💙	armastus, emotsioon, romantika, sinine, sinine süda, süda
🩵	armas, armastan, armastus, emotsioon, eriline, helesinine, helesinine süda, meeldib, rohekassinine, sinakasroheline, süda, taevasinine, tsüaan
💜	armastus, emotsioon, lilla, lilla süda, parimat, süda
🤎	pruun, pruun süda, süda
🖤	kuri, must, must süda, süda
🩶	armastan, armastus, emotsioon, eriline, hall, hall süda, hõbedane, meeldib, paehall, süda
🤍	süda, valge, valge süda
💋	huuled, musi, romantika, suudluse jälg, süda
💯	100, punkt, sada, sada punkti, täis
💢	koomiks, tige, viha sümbol, vihane
💥	kokkupõrge, koomiks, pauk, piraki, plahvatama, pomm, põrkuma
💫	koomiks, peadpööritav, täht
💦	higi, higipiisad, koomiks, märg, piisad, piisk, pritsima, pritsimine, tilgad, tilk, trenn, töö, vesi
💨	jooksmine, kiirustamine, koomiks
🕳️	auk
💬	dialoog, jutt, jutumull, koomiks, mull
👁‍🗨	dialoog, jutumull, silm, silm jutumullis, tunnistaja
🗨️	dialoog, jutt, jutumull suunaga vasakule
🗯️	mull, tige, vihamull suunaga paremale, vihane
💭	koomiks, mull, mõte, mõttemull
💤	head, koomiks, magamine, uni, unine, väsinud, zzz, ööd
👋	head aega, hei, käsi, lehvitav käsi, lehvitus, nägemist, tere, tervitus, tsau
👋🏻	head aega, hei, hele nahatoon, käsi, lehvitav käsi, lehvitav käsi: hele nahatoon, lehvitus, nägemist, tere, tervitus, tsau
👋🏼	head aega, hei, keskmiselt hele nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmiselt hele nahatoon, lehvitus, nägemist, tere, tervitus, tsau
👋🏽	head aega, hei, keskmine nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmine nahatoon, lehvitus, nägemist, tere, tervitus, tsau
👋🏾	head aega, hei, keskmiselt tume nahatoon, käsi, lehvitav käsi, lehvitav käsi: keskmiselt tume nahatoon, lehvitus, nägemist, tere, tervitus, tsau
👋🏿	head aega, hei, käsi, lehvitav käsi, lehvitav käsi: tume nahatoon, lehvitus, nägemist, tere, tervitus, tsau, tume nahatoon
🤚	käsi, tõstetud, tõstetud käsi
🤚🏻	hele nahatoon, käsi, tõstetud, tõstetud käsi: hele nahatoon
🤚🏼	keskmiselt hele nahatoon, käsi, tõstetud, tõstetud käsi: keskmiselt hele nahatoon
🤚🏽	keskmine nahatoon, käsi, tõstetud, tõstetud käsi: keskmine nahatoon
🤚🏾	keskmiselt tume nahatoon, käsi, tõstetud, tõstetud käsi: keskmiselt tume nahatoon
🤚🏿	käsi, tume nahatoon, tõstetud, tõstetud käsi: tume nahatoon
🖐️	harali, harali sõrmedega käsi, keha, käsi, sõrm
🖐🏻	harali, harali sõrmedega käsi, harali sõrmedega käsi: hele nahatoon, hele nahatoon, keha, käsi, sõrm
🖐🏼	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmiselt hele nahatoon, keha, keskmiselt hele nahatoon, käsi, sõrm
🖐🏽	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmine nahatoon, keha, keskmine nahatoon, käsi, sõrm
🖐🏾	harali, harali sõrmedega käsi, harali sõrmedega käsi: keskmiselt tume nahatoon, keha, keskmiselt tume nahatoon, käsi, sõrm
🖐🏿	harali, harali sõrmedega käsi, harali sõrmedega käsi: tume nahatoon, keha, käsi, sõrm, tume nahatoon
✋️	keha, käsi, ülestõstetud käsi
✋🏻	hele nahatoon, keha, käsi, ülestõstetud käsi, ülestõstetud käsi: hele nahatoon
✋🏼	keha, keskmiselt hele nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmiselt hele nahatoon
✋🏽	keha, keskmine nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmine nahatoon
✋🏾	keha, keskmiselt tume nahatoon, käsi, ülestõstetud käsi, ülestõstetud käsi: keskmiselt tume nahatoon
✋🏿	keha, käsi, tume nahatoon, ülestõstetud käsi, ülestõstetud käsi: tume nahatoon
🖖	keha, käsi, spock, sõrm, vulcan, vulcanite tervitus
🖖🏻	hele nahatoon, keha, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: hele nahatoon
🖖🏼	keha, keskmiselt hele nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmiselt hele nahatoon
🖖🏽	keha, keskmine nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmine nahatoon
🖖🏾	keha, keskmiselt tume nahatoon, käsi, spock, sõrm, vulcan, vulcanite tervitus, vulcanite tervitus: keskmiselt tume nahatoon
🖖🏿	keha, käsi, spock, sõrm, tume nahatoon, vulcan, vulcanite tervitus, vulcanite tervitus: tume nahatoon
🫱	hoidma, käepigistus, käsi, käsi paremale, parem, paremale, sirutama
🫱🏻	hele nahatoon, hoidma, käepigistus, käsi, käsi paremale: hele nahatoon, parem, paremale, sirutama
🫱🏼	hoidma, keskmiselt hele nahatoon, käepigistus, käsi, käsi paremale: keskmiselt hele nahatoon, parem, paremale, sirutama
🫱🏽	hoidma, keskmine nahatoon, käepigistus, käsi, käsi paremale: keskmine nahatoon, parem, paremale, sirutama
🫱🏾	hoidma, keskmiselt tume nahatoon, käepigistus, käsi, käsi paremale: keskmiselt tume nahatoon, parem, paremale, sirutama
🫱🏿	hoidma, käepigistus, käsi, käsi paremale: tume nahatoon, parem, paremale, sirutama, tume nahatoon
🫱🏻‍🫲🏼	hele nahatoon, keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: hele nahatoon, keskmiselt hele nahatoon, käsi, tervitus
🫱🏻‍🫲🏽	hele nahatoon, keskmine nahatoon, kohtumine, käepigistus, käepigistus: hele nahatoon, keskmine nahatoon, käsi, tervitus
🫱🏻‍🫲🏾	hele nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: hele nahatoon, keskmiselt tume nahatoon, käsi, tervitus
🫱🏻‍🫲🏿	hele nahatoon, kohtumine, käepigistus, käepigistus: hele nahatoon, tume nahatoon, käsi, tervitus, tume nahatoon
🫱🏼‍🫲🏻	hele nahatoon, keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt hele nahatoon, hele nahatoon, käsi, tervitus
🫱🏼‍🫲🏽	keskmine nahatoon, keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt hele nahatoon, keskmine nahatoon, käsi, tervitus
🫱🏼‍🫲🏾	keskmiselt hele nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt hele nahatoon, keskmiselt tume nahatoon, käsi, tervitus
🫱🏼‍🫲🏿	keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt hele nahatoon, tume nahatoon, käsi, tervitus, tume nahatoon
🫱🏽‍🫲🏻	hele nahatoon, keskmine nahatoon, kohtumine, käepigistus, käepigistus: keskmine nahatoon, hele nahatoon, käsi, tervitus
🫱🏽‍🫲🏼	keskmine nahatoon, keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: keskmine nahatoon, keskmiselt hele nahatoon, käsi, tervitus
🫱🏽‍🫲🏾	keskmine nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmine nahatoon, keskmiselt tume nahatoon, käsi, tervitus
🫱🏽‍🫲🏿	keskmine nahatoon, kohtumine, käepigistus, käepigistus: keskmine nahatoon, tume nahatoon, käsi, tervitus, tume nahatoon
🫱🏾‍🫲🏻	hele nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt tume nahatoon, hele nahatoon, käsi, tervitus
🫱🏾‍🫲🏼	keskmiselt hele nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt tume nahatoon, keskmiselt hele nahatoon, käsi, tervitus
🫱🏾‍🫲🏽	keskmine nahatoon, keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt tume nahatoon, keskmine nahatoon, käsi, tervitus
🫱🏾‍🫲🏿	keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: keskmiselt tume nahatoon, tume nahatoon, käsi, tervitus, tume nahatoon
🫱🏿‍🫲🏻	hele nahatoon, kohtumine, käepigistus, käepigistus: tume nahatoon, hele nahatoon, käsi, tervitus, tume nahatoon
🫱🏿‍🫲🏼	keskmiselt hele nahatoon, kohtumine, käepigistus, käepigistus: tume nahatoon, keskmiselt hele nahatoon, käsi, tervitus, tume nahatoon
🫱🏿‍🫲🏽	keskmine nahatoon, kohtumine, käepigistus, käepigistus: tume nahatoon, keskmine nahatoon, käsi, tervitus, tume nahatoon
🫱🏿‍🫲🏾	keskmiselt tume nahatoon, kohtumine, käepigistus, käepigistus: tume nahatoon, keskmiselt tume nahatoon, käsi, tervitus, tume nahatoon
🫲	hoidma, käepigistus, käsi, käsi vasakule, sirutama, vasak, vasakule
🫲🏻	hele nahatoon, hoidma, käepigistus, käsi, käsi vasakule: hele nahatoon, sirutama, vasak, vasakule
🫲🏼	hoidma, keskmiselt hele nahatoon, käepigistus, käsi, käsi vasakule: keskmiselt hele nahatoon, sirutama, vasak, vasakule
🫲🏽	hoidma, keskmine nahatoon, käepigistus, käsi, käsi vasakule: keskmine nahatoon, sirutama, vasak, vasakule
🫲🏾	hoidma, keskmiselt tume nahatoon, käepigistus, käsi, käsi vasakule: keskmiselt tume nahatoon, sirutama, vasak, vasakule
🫲🏿	hoidma, käepigistus, käsi, käsi vasakule: tume nahatoon, sirutama, tume nahatoon, vasak, vasakule
🫳	kukkuma, kukutama, käsi, käsi peopesaga allapoole, kõss, lahti laskma, loobuma, üles võtma
🫳🏻	hele nahatoon, kukkuma, kukutama, käsi, käsi peopesaga allapoole, käsi peopesaga allapoole: hele nahatoon, kõss, lahti laskma, loobuma, üles võtma
🫳🏼	keskmiselt hele nahatoon, kukkuma, kukutama, käsi, käsi peopesaga allapoole, käsi peopesaga allapoole: keskmiselt hele nahatoon, kõss, lahti laskma, loobuma, üles võtma
🫳🏽	keskmine nahatoon, kukkuma, kukutama, käsi, käsi peopesaga allapoole, käsi peopesaga allapoole: keskmine nahatoon, kõss, lahti laskma, loobuma, üles võtma
🫳🏾	keskmiselt tume nahatoon, kukkuma, kukutama, käsi, käsi peopesaga allapoole, käsi peopesaga allapoole: keskmiselt tume nahatoon, kõss, lahti laskma, loobuma, üles võtma
🫳🏿	kukkuma, kukutama, käsi, käsi peopesaga allapoole, käsi peopesaga allapoole: tume nahatoon, kõss, lahti laskma, loobuma, tume nahatoon, üles võtma
🫴	ei tea, hoidma, kutsuma, käsi, käsi peopesaga ülespoole, pakkuma, püüdma, tule, tõstma, ütle mulle
🫴🏻	ei tea, hele nahatoon, hoidma, kutsuma, käsi, käsi peopesaga ülespoole, käsi peopesaga ülespoole: hele nahatoon, pakkuma, püüdma, tule, tõstma, ütle mulle
🫴🏼	ei tea, hoidma, keskmiselt hele nahatoon, kutsuma, käsi, käsi peopesaga ülespoole, käsi peopesaga ülespoole: keskmiselt hele nahatoon, pakkuma, püüdma, tule, tõstma, ütle mulle
🫴🏽	ei tea, hoidma, keskmine nahatoon, kutsuma, käsi, käsi peopesaga ülespoole, käsi peopesaga ülespoole: keskmine nahatoon, pakkuma, püüdma, tule, tõstma, ütle mulle
🫴🏾	ei tea, hoidma, keskmiselt tume nahatoon, kutsuma, käsi, käsi peopesaga ülespoole, käsi peopesaga ülespoole: keskmiselt tume nahatoon, pakkuma, püüdma, tule, tõstma, ütle mulle
🫴🏿	ei tea, hoidma, kutsuma, käsi, käsi peopesaga ülespoole, käsi peopesaga ülespoole: tume nahatoon, pakkuma, püüdma, tule, tume nahatoon, tõstma, ütle mulle
🫷	keeldu, keeldumine, käsi, lükka, lükkamine, oota, stopp, vasakule, vasakule lükkav käsi, viska viis
🫷🏻	hele nahatoon, keeldu, keeldumine, käsi, lükka, lükkamine, oota, stopp, vasakule, vasakule lükkav käsi, vasakule lükkav käsi: hele nahatoon, viska viis
🫷🏼	keeldu, keeldumine, keskmiselt hele nahatoon, käsi, lükka, lükkamine, oota, stopp, vasakule, vasakule lükkav käsi, vasakule lükkav käsi: keskmiselt hele nahatoon, viska viis
🫷🏽	keeldu, keeldumine, keskmine nahatoon, käsi, lükka, lükkamine, oota, stopp, vasakule, vasakule lükkav käsi, vasakule lükkav käsi: keskmine nahatoon, viska viis
🫷🏾	keeldu, keeldumine, keskmiselt tume nahatoon, käsi, lükka, lükkamine, oota, stopp, vasakule, vasakule lükkav käsi, vasakule lükkav käsi: keskmiselt tume nahatoon, viska viis
🫷🏿	keeldu, keeldumine, käsi, lükka, lükkamine, oota, stopp, tume nahatoon, vasakule, vasakule lükkav käsi, vasakule lükkav käsi: tume nahatoon, viska viis
🫸	keeldu, keeldumine, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, stopp, viska viis
🫸🏻	hele nahatoon, keeldu, keeldumine, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, paremale lükkav käsi: hele nahatoon, stopp, viska viis
🫸🏼	keeldu, keeldumine, keskmiselt hele nahatoon, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, paremale lükkav käsi: keskmiselt hele nahatoon, stopp, viska viis
🫸🏽	keeldu, keeldumine, keskmine nahatoon, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, paremale lükkav käsi: keskmine nahatoon, stopp, viska viis
🫸🏾	keeldu, keeldumine, keskmiselt tume nahatoon, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, paremale lükkav käsi: keskmiselt tume nahatoon, stopp, viska viis
🫸🏿	keeldu, keeldumine, käsi, lükka, lükkamine, oota, paremale, paremale lükkav käsi, paremale lükkav käsi: tume nahatoon, stopp, tume nahatoon, viska viis
👌	OK, OK-käemärk, hästi, kindlasti, kolm, korras, käsi, näpistama, okei, selge, vinge, äge
👌🏻	OK, OK-käemärk: hele nahatoon, hele nahatoon, hästi, kindlasti, kolm, korras, käsi, näpistama, okei, selge, vinge, äge
👌🏼	OK, OK-käemärk: keskmiselt hele nahatoon, hästi, keskmiselt hele nahatoon, kindlasti, kolm, korras, käsi, näpistama, okei, selge, vinge, äge
👌🏽	OK, OK-käemärk: keskmine nahatoon, hästi, keskmine nahatoon, kindlasti, kolm, korras, käsi, näpistama, okei, selge, vinge, äge
👌🏾	OK, OK-käemärk: keskmiselt tume nahatoon, hästi, keskmiselt tume nahatoon, kindlasti, kolm, korras, käsi, näpistama, okei, selge, vinge, äge
👌🏿	OK, OK-käemärk: tume nahatoon, hästi, kindlasti, kolm, korras, käsi, näpistama, okei, selge, tume nahatoon, vinge, äge
🤌	hoidma, kannatlkkus, kokkusurutud, kokkusurutud sõrmed, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, žest
🤌🏻	hele nahatoon, hoidma, kannatlkkus, kokkusurutud, kokkusurutud sõrmed: hele nahatoon, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, žest
🤌🏼	hoidma, kannatlkkus, keskmiselt hele nahatoon, kokkusurutud, kokkusurutud sõrmed: keskmiselt hele nahatoon, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, žest
🤌🏽	hoidma, kannatlkkus, keskmine nahatoon, kokkusurutud, kokkusurutud sõrmed: keskmine nahatoon, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, žest
🤌🏾	hoidma, kannatlkkus, keskmiselt tume nahatoon, kokkusurutud, kokkusurutud sõrmed: keskmiselt tume nahatoon, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, žest
🤌🏿	hoidma, kannatlkkus, kokkusurutud, kokkusurutud sõrmed: tume nahatoon, käsi, küsima, lõõgastus, mida, sarkastiline, sõrmed, tume nahatoon, žest
🤏	näpistav käsi, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, väike, väike kogus
🤏🏻	hele nahatoon, näpistav käsi, näpistav käsi: hele nahatoon, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, väike, väike kogus
🤏🏼	keskmiselt hele nahatoon, näpistav käsi, näpistav käsi: keskmiselt hele nahatoon, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, väike, väike kogus
🤏🏽	keskmine nahatoon, näpistav käsi, näpistav käsi: keskmine nahatoon, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, väike, väike kogus
🤏🏾	keskmiselt tume nahatoon, näpistav käsi, näpistav käsi: keskmiselt tume nahatoon, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, väike, väike kogus
🤏🏿	näpistav käsi, näpistav käsi: tume nahatoon, pisut, pöialt ja nimetissõrme lähestikku hoidev käsi, tume nahatoon, väike, väike kogus
✌️	käsi, rahu, v, võit
✌🏻	hele nahatoon, käsi, rahu, v, võit, võit: hele nahatoon
✌🏼	keskmiselt hele nahatoon, käsi, rahu, v, võit, võit: keskmiselt hele nahatoon
✌🏽	keskmine nahatoon, käsi, rahu, v, võit, võit: keskmine nahatoon
✌🏾	keskmiselt tume nahatoon, käsi, rahu, v, võit, võit: keskmiselt tume nahatoon
✌🏿	käsi, rahu, tume nahatoon, v, võit, võit: tume nahatoon
🤞	käsi, risti, sõrmed, sõrmed risti, õnn
🤞🏻	hele nahatoon, käsi, risti, sõrmed, sõrmed risti: hele nahatoon, õnn
🤞🏼	keskmiselt hele nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmiselt hele nahatoon, õnn
🤞🏽	keskmine nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmine nahatoon, õnn
🤞🏾	keskmiselt tume nahatoon, käsi, risti, sõrmed, sõrmed risti: keskmiselt tume nahatoon, õnn
🤞🏿	käsi, risti, sõrmed, sõrmed risti: tume nahatoon, tume nahatoon, õnn
🫰	<3, armastus, kallis, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, raha, süda
🫰🏻	<3, armastus, hele nahatoon, kallis, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, pöialt ja nimetissõrme risti hoidev käsi: hele nahatoon, raha, süda
🫰🏼	<3, armastus, kallis, keskmiselt hele nahatoon, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, pöialt ja nimetissõrme risti hoidev käsi: keskmiselt hele nahatoon, raha, süda
🫰🏽	<3, armastus, kallis, keskmine nahatoon, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, pöialt ja nimetissõrme risti hoidev käsi: keskmine nahatoon, raha, süda
🫰🏾	<3, armastus, kallis, keskmiselt tume nahatoon, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, pöialt ja nimetissõrme risti hoidev käsi: keskmiselt tume nahatoon, raha, süda
🫰🏿	<3, armastus, kallis, käsi, nips, pöialt ja nimetissõrme risti hoidev käsi, pöialt ja nimetissõrme risti hoidev käsi: tume nahatoon, raha, süda, tume nahatoon
🤟	armastan, armastus, armastust väljendav žest, kolm, käsi, sind, sõrmed, žest
🤟🏻	armastan, armastus, armastust väljendav žest: hele nahatoon, hele nahatoon, kolm, käsi, sind, sõrmed, žest
🤟🏼	armastan, armastus, armastust väljendav žest: keskmiselt hele nahatoon, keskmiselt hele nahatoon, kolm, käsi, sind, sõrmed, žest
