‾	traço sobrescrito
🫱🏿‍🫲🏾	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 6 e tipo de pele 5, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 5, tipo de pele 6
🫲	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, para a esquerda
🫲🏻	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, mão para a esquerda: tipo de pele 1–2, para a esquerda, tipo de pele 1–2
🫲🏼	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, mão para a esquerda: tipo de pele 3, para a esquerda, tipo de pele 3
🫲🏽	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, mão para a esquerda: tipo de pele 4, para a esquerda, tipo de pele 4
🫲🏾	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, mão para a esquerda: tipo de pele 5, para a esquerda, tipo de pele 5
🫲🏿	aperto de mão, esquerda, mão, mão estendida para a esquerda, mão para a esquerda, mão para a esquerda: tipo de pele 6, para a esquerda, tipo de pele 6
🫳	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, xô
🫳🏻	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, mão com a palma para baixo: tipo de pele 1–2, tipo de pele 1–2, xô
🫳🏼	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, mão com a palma para baixo: tipo de pele 3, tipo de pele 3, xô
🫳🏽	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, mão com a palma para baixo: tipo de pele 4, tipo de pele 4, xô
🫳🏾	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, mão com a palma para baixo: tipo de pele 5, tipo de pele 5, xô
🫳🏿	apanhar, cair, deixar cair, descartar, largar, mão, mão com a palma para baixo, mão com a palma para baixo: tipo de pele 6, tipo de pele 6, xô
🫴	deitar a mão, mão com a palma para cima, oferecer, segurar, vem, venha
🫴🏻	deitar a mão, mão com a palma para cima, mão com a palma para cima: tipo de pele 1–2, oferecer, segurar, tipo de pele 1–2, vem, venha
🫴🏼	deitar a mão, mão com a palma para cima, mão com a palma para cima: tipo de pele 3, oferecer, segurar, tipo de pele 3, vem, venha
🫴🏽	deitar a mão, mão com a palma para cima, mão com a palma para cima: tipo de pele 4, oferecer, segurar, tipo de pele 4, vem, venha
🫴🏾	deitar a mão, mão com a palma para cima, mão com a palma para cima: tipo de pele 5, oferecer, segurar, tipo de pele 5, vem, venha
🫴🏿	deitar a mão, mão com a palma para cima, mão com a palma para cima: tipo de pele 6, oferecer, segurar, tipo de pele 6, vem, venha
🫷	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, parar, recusar, toca aqui
🫷🏻	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, mão a empurrar para a esquerda: tipo de pele 1–2, parar, recusar, tipo de pele 1–2, toca aqui
🫷🏼	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, mão a empurrar para a esquerda: tipo de pele 3, parar, recusar, tipo de pele 3, toca aqui
🫷🏽	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, mão a empurrar para a esquerda: tipo de pele 4, parar, recusar, tipo de pele 4, toca aqui
🫷🏾	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, mão a empurrar para a esquerda: tipo de pele 5, parar, recusar, tipo de pele 5, toca aqui
🫷🏿	aguardar, empurrar, esperar, esquerda, mais cinco, mão a empurrar para a esquerda, mão a empurrar para a esquerda: tipo de pele 6, parar, recusar, tipo de pele 6, toca aqui
🫸	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, parar, recusar, toca aqui
🫸🏻	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, mão a empurrar para a direita: tipo de pele 1–2, parar, recusar, tipo de pele 1–2, toca aqui
🫸🏼	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, mão a empurrar para a direita: tipo de pele 3, parar, recusar, tipo de pele 3, toca aqui
🫸🏽	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, mão a empurrar para a direita: tipo de pele 4, parar, recusar, tipo de pele 4, toca aqui
🫸🏾	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, mão a empurrar para a direita: tipo de pele 5, parar, recusar, tipo de pele 5, toca aqui
🫸🏿	aguardar, direita, empurrar, esperar, mais cinco, mão a empurrar para a direita, mão a empurrar para a direita: tipo de pele 6, parar, recusar, tipo de pele 6, toca aqui
👌	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, mão, mão com gesto de OK, ok, sinal de OK com a mão
👌🏻	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, gesto de OK: tipo de pele 1–2, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 1–2
👌🏼	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, gesto de OK: tipo de pele 3, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 3
👌🏽	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, gesto de OK: tipo de pele 4, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 4
👌🏾	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, gesto de OK: tipo de pele 5, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 5
👌🏿	OK com a mão, beliscão, compreendi, concordo, corpo, gesto de OK, gesto de OK: tipo de pele 6, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 6
🤌	dedos, dedos comprimidos, gesto de mão, mão, sarcástico
🤌🏻	dedos, dedos comprimidos, dedos comprimidos: tipo de pele 1–2, gesto de mão, mão, sarcástico, tipo de pele 1–2
🤌🏼	dedos, dedos comprimidos, dedos comprimidos: tipo de pele 3, gesto de mão, mão, sarcástico, tipo de pele 3
🤌🏽	dedos, dedos comprimidos, dedos comprimidos: tipo de pele 4, gesto de mão, mão, sarcástico, tipo de pele 4
🤌🏾	dedos, dedos comprimidos, dedos comprimidos: tipo de pele 5, gesto de mão, mão, sarcástico, tipo de pele 5
🤌🏿	dedos, dedos comprimidos, dedos comprimidos: tipo de pele 6, gesto de mão, mão, sarcástico, tipo de pele 6
🤏	dedos, mão a dar um beliscão, pequena quantidade, um pouco
🤏🏻	dedos, mão a dar um beliscão, mão a dar um beliscão: tipo de pele 1–2, pequena quantidade, tipo de pele 1–2, um pouco
🤏🏼	dedos, mão a dar um beliscão, mão a dar um beliscão: tipo de pele 3, pequena quantidade, tipo de pele 3, um pouco
🤏🏽	dedos, mão a dar um beliscão, mão a dar um beliscão: tipo de pele 4, pequena quantidade, tipo de pele 4, um pouco
🤏🏾	dedos, mão a dar um beliscão, mão a dar um beliscão: tipo de pele 5, pequena quantidade, tipo de pele 5, um pouco
🤏🏿	dedos, mão a dar um beliscão, mão a dar um beliscão: tipo de pele 6, pequena quantidade, tipo de pele 6, um pouco
✌️	corpo, mão, mão com sinal de vitória, mão em V de vitória, v, vitória
✌🏻	corpo, mão, mão com sinal de vitória, mão em V de vitória, mão em V de vitória: tipo de pele 1–2, tipo de pele 1–2, v, vitória
✌🏼	corpo, mão, mão com sinal de vitória, mão em V de vitória, mão em V de vitória: tipo de pele 3, tipo de pele 3, v, vitória
✌🏽	corpo, mão, mão com sinal de vitória, mão em V de vitória, mão em V de vitória: tipo de pele 4, tipo de pele 4, v, vitória
✌🏾	corpo, mão, mão com sinal de vitória, mão em V de vitória, mão em V de vitória: tipo de pele 5, tipo de pele 5, v, vitória
✌🏿	corpo, mão, mão com sinal de vitória, mão em V de vitória, mão em V de vitória: tipo de pele 6, tipo de pele 6, v, vitória
🤞	cruzados, dedos, figas, mão, sorte
🤞🏻	cruzados, dedos, figas, figas: tipo de pele 1–2, mão, sorte, tipo de pele 1–2
🤞🏼	cruzados, dedos, figas, figas: tipo de pele 3, mão, sorte, tipo de pele 3
🤞🏽	cruzados, dedos, figas, figas: tipo de pele 4, mão, sorte, tipo de pele 4
🤞🏾	cruzados, dedos, figas, figas: tipo de pele 5, mão, sorte, tipo de pele 5
🤞🏿	cruzados, dedos, figas, figas: tipo de pele 6, mão, sorte, tipo de pele 6
🫰	caro, dinheiro, dispendioso, gesto de esfregar os dedos
🫰🏻	caro, dinheiro, dispendioso, gesto de esfregar os dedos, mão com dedo indicador e polegar cruzados: tipo de pele 1–2, tipo de pele 1–2
🫰🏼	caro, dinheiro, dispendioso, gesto de esfregar os dedos, mão com dedo indicador e polegar cruzados: tipo de pele 3, tipo de pele 3
🫰🏽	caro, dinheiro, dispendioso, gesto de esfregar os dedos, mão com dedo indicador e polegar cruzados: tipo de pele 4, tipo de pele 4
🫰🏾	caro, dinheiro, dispendioso, gesto de esfregar os dedos, mão com dedo indicador e polegar cruzados: tipo de pele 5, tipo de pele 5
🫰🏿	caro, dinheiro, dispendioso, gesto de esfregar os dedos, mão com dedo indicador e polegar cruzados: tipo de pele 6, tipo de pele 6
🤟	amo-te, gesto "amo-te", gesto de amo-te, mão, três dedos
🤟🏻	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 1–2, gesto de amo-te, mão, tipo de pele 1–2, três dedos
🤟🏼	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 3, gesto de amo-te, mão, tipo de pele 3, três dedos
🤟🏽	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 4, gesto de amo-te, mão, tipo de pele 4, três dedos
🤟🏾	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 5, gesto de amo-te, mão, tipo de pele 5, três dedos
🤟🏿	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 6, gesto de amo-te, mão, tipo de pele 6, três dedos
🤘	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, rock, rock’n’roll, saudação do rock
🤘🏻	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 1–2, rock, rock’n’roll, saudação do rock, tipo de pele 1–2
🤘🏼	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 3, rock, rock’n’roll, saudação do rock, tipo de pele 3
🤘🏽	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 4, rock, rock’n’roll, saudação do rock, tipo de pele 4
🤘🏾	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 5, rock, rock’n’roll, saudação do rock, tipo de pele 5
🤘🏿	chifres, cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 6, rock, rock’n’roll, saudação do rock, tipo de pele 6
🤙	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, ligar, mão
🤙🏻	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 1–2, ligar, mão, tipo de pele 1–2
🤙🏼	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 3, ligar, mão, tipo de pele 3
🤙🏽	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 4, ligar, mão, tipo de pele 4
🤙🏾	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 5, ligar, mão, tipo de pele 5
🤙🏿	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 6, ligar, mão, tipo de pele 6
👈️	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, dedo, indicador, mão
👈🏻	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 1–2, dedo, indicador, mão, tipo de pele 1–2
👈🏼	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 3, dedo, indicador, mão, tipo de pele 3
👈🏽	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 4, dedo, indicador, mão, tipo de pele 4
👈🏾	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 5, dedo, indicador, mão, tipo de pele 5
👈🏿	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 6, dedo, indicador, mão, tipo de pele 6
👉️	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, dedo, indicador, mão
👉🏻	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 1–2, dedo, indicador, mão, tipo de pele 1–2
👉🏼	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 3, dedo, indicador, mão, tipo de pele 3
👉🏽	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 4, dedo, indicador, mão, tipo de pele 4
👉🏾	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 5, dedo, indicador, mão, tipo de pele 5
👉🏿	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 6, dedo, indicador, mão, tipo de pele 6
👆️	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, dedo, indicador, mão, para cima
👆🏻	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 1–2, dedo, indicador, mão, para cima, tipo de pele 1–2
👆🏼	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 3, dedo, indicador, mão, para cima, tipo de pele 3
👆🏽	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 4, dedo, indicador, mão, para cima, tipo de pele 4
👆🏾	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 5, dedo, indicador, mão, para cima, tipo de pele 5
👆🏿	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 6, dedo, indicador, mão, para cima, tipo de pele 6
